step,env_id,time_s,soc,voltage_ratio
0,0,0.0,0.7966038584709167,0.9389811754226685
0,1,0.0,0.5266309976577759,0.8579893112182617
0,2,0.0,0.574863076210022,0.8724589347839355
0,3,0.0,0.6006564497947693,0.8801969289779663
0,4,0.0,0.9634524583816528,0.9890357255935669
0,5,0.0,0.9378171563148499,0.9813451766967773
0,6,0.0,0.9888820052146912,0.9966646432876587
0,7,0.0,0.8350411653518677,0.9505123496055603
1,0,0.01,0.7965231537818909,0.9389569759368896
1,1,0.01,0.5265927314758301,0.8579778075218201
1,2,0.01,0.5748396515846252,0.872451901435852
1,3,0.01,0.6006312370300293,0.8801893591880798
1,4,0.01,0.9633703231811523,0.9890111088752747
1,5,0.01,0.9377625584602356,0.9813287258148193
1,6,0.01,0.9888195991516113,0.9966458678245544
1,7,0.01,0.8350194096565247,0.9505058526992798
2,0,0.02,0.796442449092865,0.9389327168464661
2,1,0.02,0.5265544652938843,0.8579663038253784
2,2,0.02,0.5748162269592285,0.8724448680877686
2,3,0.02,0.6006060242652893,0.8801817893981934
2,4,0.02,0.9632881879806519,0.9889864921569824
2,5,0.02,0.9377079606056213,0.9813123941421509
2,6,0.02,0.9887571930885315,0.996627151966095
2,7,0.02,0.8349976539611816,0.9504992961883545
3,0,0.03,0.7963617444038391,0.9389085173606873
3,1,0.03,0.5265161991119385,0.8579548597335815
3,2,0.03,0.5747928023338318,0.8724378347396851
3,3,0.03,0.6005808115005493,0.8801742196083069
3,4,0.03,0.9632060527801514,0.9889618158340454
3,5,0.03,0.9376533627510071,0.9812960028648376
3,6,0.03,0.9886947870254517,0.9966084361076355
3,7,0.03,0.8349758982658386,0.9504927396774292
4,0,0.04,0.7962810397148132,0.9388843178749084
4,1,0.04,0.5264779329299927,0.8579433560371399
4,2,0.04,0.5747693777084351,0.8724308013916016
4,3,0.04,0.6005555987358093,0.8801666498184204
4,4,0.04,0.9631239175796509,0.9889371395111084
4,5,0.04,0.9375987648963928,0.9812796115875244
4,6,0.04,0.9886323809623718,0.996589720249176
4,7,0.04,0.8349541425704956,0.9504862427711487
5,0,0.05,0.7962003350257874,0.9388601183891296
5,1,0.05,0.5264396667480469,0.857931911945343
5,2,0.05,0.5747459530830383,0.8724237680435181
5,3,0.05,0.6005303859710693,0.8801591396331787
5,4,0.05,0.9630417823791504,0.9889125227928162
5,5,0.05,0.9375441670417786,0.981263279914856
5,6,0.05,0.988569974899292,0.9965710043907166
5,7,0.05,0.8349323868751526,0.9504797458648682
6,0,0.06,0.7961196303367615,0.938835859298706
6,1,0.06,0.5264014005661011,0.8579204082489014
6,2,0.06,0.5747225284576416,0.8724167346954346
6,3,0.06,0.6005051732063293,0.8801515102386475
6,4,0.06,0.9629596471786499,0.9888879060745239
6,5,0.06,0.9374895691871643,0.981246829032898
6,6,0.06,0.9885075688362122,0.9965522289276123
6,7,0.06,0.8349106311798096,0.9504731893539429
7,0,0.07,0.7960389256477356,0.9388116598129272
7,1,0.07,0.5263631343841553,0.8579089641571045
7,2,0.07,0.5746991038322449,0.8724097013473511
7,3,0.07,0.6004799604415894,0.8801440000534058
7,4,0.07,0.9628775119781494,0.9888632297515869
7,5,0.07,0.93743497133255,0.9812304973602295
7,6,0.07,0.9884451627731323,0.9965335130691528
7,7,0.07,0.8348888754844666,0.9504666328430176
8,0,0.08,0.7959582209587097,0.9387874603271484
8,1,0.08,0.5263248682022095,0.8578974604606628
8,2,0.08,0.5746756792068481,0.8724026679992676
8,3,0.08,0.6004547476768494,0.8801364302635193
8,4,0.08,0.9627953767776489,0.9888386130332947
8,5,0.08,0.9373803734779358,0.9812141060829163
8,6,0.08,0.9883827567100525,0.9965147972106934
8,7,0.08,0.8348671197891235,0.9504601359367371
9,0,0.09,0.7958775162696838,0.9387632608413696
9,1,0.09,0.5262866020202637,0.8578859567642212
9,2,0.09,0.5746522545814514,0.8723956346511841
9,3,0.09,0.6004295349121094,0.8801288604736328
9,4,0.09,0.9627132415771484,0.9888139963150024
9,5,0.09,0.9373257756233215,0.981197714805603
9,6,0.09,0.9883203506469727,0.9964960813522339
9,7,0.09,0.8348453640937805,0.9504536390304565
10,0,0.1,0.795796811580658,0.9387390613555908
10,1,0.1,0.5262483358383179,0.8578745126724243
10,2,0.1,0.5746288299560547,0.8723886609077454
10,3,0.1,0.6004043221473694,0.8801212906837463
10,4,0.1,0.962631106376648,0.9887893199920654
10,5,0.1,0.9372711777687073,0.9811813831329346
10,6,0.1,0.9882579445838928,0.9964773654937744
10,7,0.1,0.8348236083984375,0.9504470825195312
11,0,0.11,0.7957161068916321,0.938714861869812
11,1,0.11,0.5262100696563721,0.8578630089759827
11,2,0.11,0.574605405330658,0.8723816275596619
11,3,0.11,0.6003791093826294,0.8801137208938599
11,4,0.11,0.9625489711761475,0.9887647032737732
11,5,0.11,0.937216579914093,0.9811649322509766
11,6,0.11,0.988195538520813,0.9964586496353149
11,7,0.11,0.8348018527030945,0.950440526008606
12,0,0.12,0.7956354022026062,0.9386906027793884
12,1,0.12,0.5261718034744263,0.857851505279541
12,2,0.12,0.5745819807052612,0.8723745942115784
12,3,0.12,0.6003538966178894,0.8801061511039734
12,4,0.12,0.962466835975647,0.988740086555481
12,5,0.12,0.9371619820594788,0.9811486005783081
12,6,0.12,0.9881331324577332,0.9964399337768555
12,7,0.12,0.8347800970077515,0.9504340291023254
13,0,0.13,0.7955546975135803,0.9386664032936096
13,1,0.13,0.5261335372924805,0.8578400611877441
13,2,0.13,0.5745585560798645,0.8723675608634949
13,3,0.13,0.6003286838531494,0.8800985813140869
13,4,0.13,0.9623847007751465,0.988715410232544
13,5,0.13,0.9371073842048645,0.9811322093009949
13,6,0.13,0.9880707263946533,0.996421217918396
13,7,0.13,0.8347583413124084,0.9504275321960449
14,0,0.14,0.7954739928245544,0.9386422038078308
14,1,0.14,0.5260952711105347,0.8578285574913025
14,2,0.14,0.5745351314544678,0.8723605275154114
14,3,0.14,0.6003034710884094,0.8800910711288452
14,4,0.14,0.962302565574646,0.9886907339096069
14,5,0.14,0.9370527863502502,0.9811158180236816
14,6,0.14,0.9880083203315735,0.9964025020599365
14,7,0.14,0.8347365856170654,0.9504209756851196
15,0,0.15,0.7953932881355286,0.938618004322052
15,1,0.15,0.5260570049285889,0.8578171133995056
15,2,0.15,0.574511706829071,0.8723534941673279
15,3,0.15,0.6002782583236694,0.880083441734314
15,4,0.15,0.9622204303741455,0.9886661171913147
15,5,0.15,0.936998188495636,0.9810994863510132
15,6,0.15,0.9879459142684937,0.996383786201477
15,7,0.15,0.8347148299217224,0.9504144191741943
16,0,0.16,0.7953125834465027,0.9385937452316284
16,1,0.16,0.5260187387466431,0.857805609703064
16,2,0.16,0.5744882822036743,0.8723464608192444
16,3,0.16,0.6002530455589294,0.8800759315490723
16,4,0.16,0.962138295173645,0.9886415004730225
16,5,0.16,0.9369435906410217,0.9810830354690552
16,6,0.16,0.9878835082054138,0.9963650703430176
16,7,0.16,0.8346930742263794,0.9504079222679138
17,0,0.17,0.7952318787574768,0.9385695457458496
17,1,0.17,0.5259804725646973,0.8577941656112671
17,2,0.17,0.5744648575782776,0.8723394870758057
17,3,0.17,0.6002278327941895,0.8800683617591858
17,4,0.17,0.9620561599731445,0.9886168241500854
17,5,0.17,0.9368889927864075,0.9810667037963867
17,6,0.17,0.987821102142334,0.9963463544845581
17,7,0.17,0.8346713185310364,0.9504014253616333
18,0,0.18,0.7951511740684509,0.9385453462600708
18,1,0.18,0.5259422063827515,0.8577826619148254
18,2,0.18,0.5744414329528809,0.8723324537277222
18,3,0.18,0.6002026200294495,0.8800607919692993
18,4,0.18,0.961974024772644,0.9885922074317932
18,5,0.18,0.9368343949317932,0.9810503125190735
18,6,0.18,0.9877586960792542,0.9963276386260986
18,7,0.18,0.8346495628356934,0.950394868850708
19,0,0.19,0.795070469379425,0.938521146774292
19,1,0.19,0.5259039402008057,0.8577711582183838
19,2,0.19,0.5744180083274841,0.8723254203796387
19,3,0.19,0.6001774072647095,0.8800532221794128
19,4,0.19,0.9618918895721436,0.988567590713501
19,5,0.19,0.936779797077179,0.9810339212417603
19,6,0.19,0.9876962900161743,0.9963089227676392
19,7,0.19,0.8346278071403503,0.9503883123397827
20,0,0.2,0.7949897646903992,0.9384969472885132
20,1,0.2,0.5258656740188599,0.8577597141265869
20,2,0.2,0.5743945837020874,0.8723183870315552
20,3,0.2,0.6001521944999695,0.8800456523895264
20,4,0.2,0.9618097543716431,0.988542914390564
20,5,0.2,0.9367251992225647,0.9810175895690918
20,6,0.2,0.9876338839530945,0.9962902069091797
20,7,0.2,0.8346060514450073,0.9503818154335022
21,0,0.21,0.7949090600013733,0.9384727478027344
21,1,0.21,0.5258274078369141,0.8577482104301453
21,2,0.21,0.5743711590766907,0.8723113536834717
21,3,0.21,0.6001269817352295,0.8800380825996399
21,4,0.21,0.9617276191711426,0.9885182976722717
21,5,0.21,0.9366706013679504,0.9810011386871338
21,6,0.21,0.9875714778900146,0.9962714314460754
21,7,0.21,0.8345842957496643,0.9503753185272217
22,0,0.22,0.7948283553123474,0.9384484887123108
22,1,0.22,0.5257891416549683,0.8577367067337036
22,2,0.22,0.574347734451294,0.8723043203353882
22,3,0.22,0.6001017689704895,0.8800305128097534
22,4,0.22,0.9616454839706421,0.9884936809539795
22,5,0.22,0.9366160035133362,0.9809848070144653
22,6,0.22,0.9875090718269348,0.996252715587616
22,7,0.22,0.8345625400543213,0.9503687620162964
23,0,0.23,0.7947476506233215,0.938424289226532
23,1,0.23,0.5257508754730225,0.8577252626419067
23,2,0.23,0.5743243098258972,0.8722972869873047
23,3,0.23,0.6000765562057495,0.8800229430198669
23,4,0.23,0.9615633487701416,0.9884690046310425
23,5,0.23,0.9365614056587219,0.9809684157371521
23,6,0.23,0.987446665763855,0.9962339997291565
23,7,0.23,0.8345407843589783,0.9503622055053711
24,0,0.24,0.7946669459342957,0.9384000897407532
24,1,0.24,0.5257126092910767,0.8577137589454651
24,2,0.24,0.5743008852005005,0.8722902536392212
24,3,0.24,0.6000513434410095,0.8800153732299805
24,4,0.24,0.9614812135696411,0.9884443283081055
24,5,0.24,0.9365068078041077,0.9809520244598389
24,6,0.24,0.9873842597007751,0.996215283870697
24,7,0.24,0.8345190286636353,0.9503557085990906
25,0,0.25,0.7945862412452698,0.9383758902549744
25,1,0.25,0.5256743431091309,0.8577023148536682
25,2,0.25,0.5742774605751038,0.8722832202911377
25,3,0.25,0.6000261306762695,0.8800078630447388
25,4,0.25,0.9613990783691406,0.9884197115898132
25,5,0.25,0.9364522099494934,0.9809356927871704
25,6,0.25,0.9873218536376953,0.9961965680122375
25,7,0.25,0.8344972729682922,0.9503492116928101
26,0,0.26,0.7945055365562439,0.9383516311645508
26,1,0.26,0.5256360769271851,0.8576908111572266
26,2,0.26,0.574254035949707,0.8722761869430542
26,3,0.26,0.6000009179115295,0.8800002336502075
26,4,0.26,0.9613169431686401,0.988395094871521
26,5,0.26,0.9363976120948792,0.9809192419052124
26,6,0.26,0.9872594475746155,0.9961777925491333
26,7,0.26,0.8344755172729492,0.9503426551818848
27,0,0.27,0.794424831867218,0.938327431678772
27,1,0.27,0.5255978107452393,0.8576793670654297
27,2,0.27,0.5742306113243103,0.8722691535949707
27,3,0.27,0.5999757051467896,0.8799927234649658
27,4,0.27,0.9612348079681396,0.988370418548584
27,5,0.27,0.9363430142402649,0.980902910232544
27,6,0.27,0.9871970415115356,0.9961590766906738
27,7,0.27,0.8344537615776062,0.9503360986709595
28,0,0.28,0.7943441271781921,0.9383032321929932
28,1,0.28,0.5255595445632935,0.857667863368988
28,2,0.28,0.5742071866989136,0.8722621202468872
28,3,0.28,0.5999504923820496,0.8799851536750793
28,4,0.28,0.9611526727676392,0.9883458018302917
28,5,0.28,0.9362884163856506,0.9808865189552307
28,6,0.28,0.9871346354484558,0.9961403608322144
28,7,0.28,0.8344320058822632,0.950329601764679
29,0,0.29,0.7942634224891663,0.9382790327072144
29,1,0.29,0.5255212783813477,0.8576563596725464
29,2,0.29,0.5741837620735168,0.8722550868988037
29,3,0.29,0.5999252796173096,0.8799775838851929
29,4,0.29,0.9610705375671387,0.9883211851119995
29,5,0.29,0.9362338185310364,0.9808701276779175
29,6,0.29,0.987072229385376,0.9961216449737549
29,7,0.29,0.8344102501869202,0.9503231048583984
30,0,0.3,0.7941827178001404,0.9382548332214355
30,1,0.3,0.5254830121994019,0.8576449155807495
30,2,0.3,0.5741603374481201,0.872248113155365
30,3,0.3,0.5999000668525696,0.8799700140953064
30,4,0.3,0.9609884023666382,0.9882965087890625
30,5,0.3,0.9361792206764221,0.980853796005249
30,6,0.3,0.9870098233222961,0.9961029291152954
30,7,0.3,0.8343884944915771,0.9503165483474731
31,0,0.31,0.7941020131111145,0.9382306337356567
31,1,0.31,0.525444746017456,0.8576334118843079
31,2,0.31,0.5741369128227234,0.8722410798072815
31,3,0.31,0.5998748540878296,0.8799624443054199
31,4,0.31,0.9609062671661377,0.9882718920707703
31,5,0.31,0.9361246228218079,0.980837345123291
