n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017543499998282642,0.0003783762501552701,115.6788840267392
1,1,0.00016193292016396298,0.00037893582979450004,134.00790241466265
1,2,0.00016344959003617988,0.00037121624976862224,127.11360101083937
1,3,0.00016287750011542812,0.00037290084001142534,128.94558164704011
1,4,0.0001576408400433138,0.0003773812498548068,139.39307209420897
4,0,0.00016965707996860146,0.00038488707999931646,126.86178500216303
4,1,0.00016321292001521216,0.0003905637501156889,139.29707898081023
4,2,0.00016716124984668567,0.0003798637501313351,127.2439040027115
4,3,0.00016599458002019673,0.0016469095900538378,892.1466049394244
4,4,0.00017479874979471787,0.00039120333007304,123.80213275693663
16,0,0.00018111040990334004,0.0004146933401352726,128.97266941011148
16,1,0.0001830104101100005,0.0004035408401978202,120.50157690771105
16,2,0.00017700707976473496,0.00039911917003337293,125.48203753423499
16,3,0.0001723458297783509,0.0003921187500236556,127.51855993727754
16,4,0.00018605000019306317,0.00038918750011362135,109.18435888726867
64,0,0.0002359645802062005,0.0004719233399373479,99.99753332680356
64,1,0.00022086999990278855,0.000454132079903502,105.61057640393852
64,2,0.0002293058400391601,0.0004756595802609809,107.43456868771825
64,3,0.0002248220899491571,0.00044763749989215287,99.1074364593732
64,4,0.00022265042003709822,0.00047265542001696304,112.28588741858594
128,0,0.0002856879201135598,0.0006699508300516754,134.50443049372637
128,1,0.0002868145899265073,0.000697071659960784,143.03912159398863
128,2,0.0002894037499208935,0.0006513570799143054,125.06863856890223
128,3,0.0002857670802040957,0.0006339950000983662,121.85725509235186
128,4,0.00028443415998481215,0.0006486633300664834,128.0539475642166
