altitude_m,rotor_radius_m,delta_Fz_N
0.01,0.05,1.635
0.015,0.05,1.635
0.02,0.05,1.635
0.025,0.05,1.635
0.03,0.05,1.047476
0.035,0.05,0.729121
0.04,0.05,0.539875
0.045,0.05,0.417192
0.05,0.05,0.332712
0.055,0.05,0.271876
0.059,0.05,0.226519
0.064,0.05,0.191753
0.069,0.05,0.16449
0.074,0.05,0.142701
0.079,0.05,0.125003
0.084,0.05,0.110425
0.089,0.05,0.09827
0.094,0.05,0.088029
0.099,0.05,0.079316
0.104,0.05,0.071841
0.109,0.05,0.065379
0.114,0.05,0.059754
0.119,0.05,0.054828
0.124,0.05,0.050489
0.129,0.05,0.046647
0.134,0.05,0.043228
0.139,0.05,0.040173
0.144,0.05,0.037431
0.149,0.05,0.034962
0.154,0.05,0.032729
0.158,0.05,0.030704
0.163,0.05,0.028862
0.168,0.05,0.027181
0.173,0.05,0.025642
0.178,0.05,0.024231
0.183,0.05,0.022934
0.188,0.05,0.021738
0.193,0.05,0.020634
0.198,0.05,0.019612
0.203,0.05,0.0
0.208,0.05,0.0
0.213,0.05,0.0
0.218,0.05,0.0
0.223,0.05,0.0
0.228,0.05,0.0
0.233,0.05,0.0
0.238,0.05,0.0
0.243,0.05,0.0
0.248,0.05,0.0
0.253,0.05,0.0
0.257,0.05,0.0
0.262,0.05,0.0
0.267,0.05,0.0
0.272,0.05,0.0
0.277,0.05,0.0
0.282,0.05,0.0
0.287,0.05,0.0
0.292,0.05,0.0
0.297,0.05,0.0
0.302,0.05,0.0
0.307,0.05,0.0
0.312,0.05,0.0
0.317,0.05,0.0
0.322,0.05,0.0
0.327,0.05,0.0
0.332,0.05,0.0
0.337,0.05,0.0
0.342,0.05,0.0
0.347,0.05,0.0
0.352,0.05,0.0
0.356,0.05,0.0
0.361,0.05,0.0
0.366,0.05,0.0
0.371,0.05,0.0
0.376,0.05,0.0
0.381,0.05,0.0
0.386,0.05,0.0
0.391,0.05,0.0
0.396,0.05,0.0
0.401,0.05,0.0
0.406,0.05,0.0
0.411,0.05,0.0
0.416,0.05,0.0
0.421,0.05,0.0
0.426,0.05,0.0
0.431,0.05,0.0
0.436,0.05,0.0
0.441,0.05,0.0
0.446,0.05,0.0
0.451,0.05,0.0
0.455,0.05,0.0
0.46,0.05,0.0
0.465,0.05,0.0
0.47,0.05,0.0
0.475,0.05,0.0
0.48,0.05,0.0
0.485,0.05,0.0
0.49,0.05,0.0
0.495,0.05,0.0
0.5,0.05,0.0
0.01,0.1,1.635
0.015,0.1,1.635
0.02,0.1,1.635
0.025,0.1,1.635
0.03,0.1,1.635
0.035,0.1,1.635
0.04,0.1,1.635
0.045,0.1,1.635
0.05,0.1,1.635
0.055,0.1,1.304406
0.059,0.1,1.051799
0.064,0.1,0.86892
0.069,0.1,0.731562
0.074,0.1,0.62539
0.079,0.1,0.541403
0.084,0.1,0.473691
0.089,0.1,0.418219
0.094,0.1,0.37215
0.099,0.1,0.333437
0.104,0.1,0.300569
0.109,0.1,0.272408
0.114,0.1,0.248085
0.119,0.1,0.226922
0.124,0.1,0.208391
0.129,0.1,0.192066
0.134,0.1,0.177607
0.139,0.1,0.164738
0.144,0.1,0.153232
0.149,0.1,0.142901
0.154,0.1,0.13359
0.158,0.1,0.125166
0.163,0.1,0.117521
0.168,0.1,0.11056
0.173,0.1,0.104204
0.178,0.1,0.098384
0.183,0.1,0.093041
0.188,0.1,0.088125
0.193,0.1,0.083589
0.198,0.1,0.079398
0.203,0.1,0.075515
0.208,0.1,0.071911
0.213,0.1,0.068561
0.218,0.1,0.06544
0.223,0.1,0.062529
0.228,0.1,0.059808
0.233,0.1,0.057262
0.238,0.1,0.054876
0.243,0.1,0.052635
0.248,0.1,0.05053
0.253,0.1,0.04855
0.257,0.1,0.046684
0.262,0.1,0.044923
0.267,0.1,0.043261
0.272,0.1,0.041689
0.277,0.1,0.040202
0.282,0.1,0.038793
0.287,0.1,0.037457
0.292,0.1,0.03619
0.297,0.1,0.034985
0.302,0.1,0.03384
0.307,0.1,0.032751
0.312,0.1,0.031712
0.317,0.1,0.030724
0.322,0.1,0.02978
0.327,0.1,0.028879
0.332,0.1,0.028019
0.337,0.1,0.027197
0.342,0.1,0.02641
0.347,0.1,0.025658
0.352,0.1,0.024937
0.356,0.1,0.024245
0.361,0.1,0.023582
0.366,0.1,0.022947
0.371,0.1,0.022336
0.376,0.1,0.02175
0.381,0.1,0.021186
0.386,0.1,0.020644
0.391,0.1,0.020123
0.396,0.1,0.019622
0.401,0.1,0.0
0.406,0.1,0.0
0.411,0.1,0.0
0.416,0.1,0.0
0.421,0.1,0.0
0.426,0.1,0.0
0.431,0.1,0.0
0.436,0.1,0.0
0.441,0.1,0.0
0.446,0.1,0.0
0.451,0.1,0.0
0.455,0.1,0.0
0.46,0.1,0.0
0.465,0.1,0.0
0.47,0.1,0.0
0.475,0.1,0.0
0.48,0.1,0.0
0.485,0.1,0.0
0.49,0.1,0.0
0.495,0.1,0.0
0.5,0.1,0.0
0.01,0.15,1.635
0.015,0.15,1.635
0.02,0.15,1.635
0.025,0.15,1.635
0.03,0.15,1.635
0.035,0.15,1.635
0.04,0.15,1.635
0.045,0.15,1.635
0.05,0.15,1.635
0.055,0.15,1.635
0.059,0.15,1.635
0.064,0.15,1.635
0.069,0.15,1.635
0.074,0.15,1.635
0.079,0.15,1.413131
0.084,0.15,1.212128
0.089,0.15,1.053247
0.094,0.15,0.925071
0.099,0.15,0.819904
0.104,0.15,0.732379
0.109,0.15,0.658642
0.114,0.15,0.595862
0.119,0.15,0.541915
0.124,0.15,0.495176
0.129,0.15,0.454389
0.134,0.15,0.418561
0.139,0.15,0.386904
0.144,0.15,0.358783
0.149,0.15,0.33368
0.154,0.15,0.31117
0.158,0.15,0.290903
0.163,0.15,0.272586
0.168,0.15,0.255972
0.173,0.15,0.240855
0.178,0.15,0.227057
0.183,0.15,0.214427
0.188,0.15,0.202835
0.193,0.15,0.192171
0.198,0.15,0.182334
0.203,0.15,0.173242
0.208,0.15,0.164821
0.213,0.15,0.157005
0.218,0.15,0.149738
0.223,0.15,0.142968
0.228,0.15,0.136651
0.233,0.15,0.130747
0.238,0.15,0.125221
0.243,0.15,0.12004
0.248,0.15,0.115177
0.253,0.15,0.110605
0.257,0.15,0.106302
0.262,0.15,0.102248
0.267,0.15,0.098422
0.272,0.15,0.094809
0.277,0.15,0.091391
0.282,0.15,0.088157
0.287,0.15,0.085092
0.292,0.15,0.082185
0.297,0.15,0.079425
0.302,0.15,0.076803
0.307,0.15,0.074309
0.312,0.15,0.071935
0.317,0.15,0.069674
0.322,0.15,0.067518
0.327,0.15,0.065461
0.332,0.15,0.063497
0.337,0.15,0.06162
0.342,0.15,0.059826
0.347,0.15,0.05811
0.352,0.15,0.056466
0.356,0.15,0.054891
0.361,0.15,0.053382
0.366,0.15,0.051934
0.371,0.15,0.050545
0.376,0.15,0.04921
0.381,0.15,0.047928
0.386,0.15,0.046696
0.391,0.15,0.045511
0.396,0.15,0.04437
0.401,0.15,0.043272
0.406,0.15,0.042214
0.411,0.15,0.041195
0.416,0.15,0.040212
0.421,0.15,0.039264
0.426,0.15,0.03835
0.431,0.15,0.037467
0.436,0.15,0.036614
0.441,0.15,0.03579
0.446,0.15,0.034993
0.451,0.15,0.034223
0.455,0.15,0.033479
0.46,0.15,0.032758
0.465,0.15,0.03206
0.47,0.15,0.031384
0.475,0.15,0.03073
0.48,0.15,0.030096
0.485,0.15,0.029482
0.49,0.15,0.028886
0.495,0.15,0.028308
0.5,0.15,0.027747
