n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017543499998282642,0.00033875207998789846,93.09264401120608
1,1,0.00016193292016396298,0.0003131441699224524,93.37894333368567
1,2,0.00016344959003617988,0.00033041082991985604,102.14846048051815
1,3,0.00016287750011542812,0.00034274582983925936,110.43166158392783
1,4,0.0001576408400433138,0.0003313941601663828,110.22100622867026
4,0,0.00016965707996860146,0.00034040583996102213,100.64346269782625
4,1,0.00016321292001521216,0.0003479937498923391,113.2145848869713
4,2,0.00016716124984668567,0.00035234917013440283,110.78400075230648
4,3,0.00016599458002019673,0.000350962919765152,111.43034894419446
4,4,0.00017479874979471787,0.00034408750012516977,96.84780384829018
16,0,0.00018111040990334004,0.0003721079201204702,105.45915627879532
16,1,0.0001830104101100005,0.0003645458398386836,99.19404563902629
16,2,0.00017700707976473496,0.00036128709005424755,104.10883594850797
16,3,0.0001723458297783509,0.0003519170798244886,104.19239634465146
16,4,0.00018605000019306317,0.00034524916991358624,85.56794923693785
64,0,0.0002359645802062005,0.00040418291988316926,71.28965691798707
64,1,0.00022086999990278855,0.00041598625015467407,88.33986070437903
64,2,0.0002293058400391601,0.0004109158299979754,79.19989736318993
64,3,0.0002248220899491571,0.0003957220900338143,76.0156620389508
64,4,0.00022265042003709822,0.00038693832990247754,73.78737926387272
128,0,0.0002856879201135598,0.00046210041997255755,61.75007322286308
128,1,0.0002868145899265073,0.00045087957987561823,57.202456120224056
128,2,0.0002894037499208935,0.00045623291021911427,57.64581846082588
128,3,0.0002857670802040957,0.00048606333992211147,70.09073948439534
128,4,0.00028443415998481215,0.00045790333009790627,60.98746019899889
