n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017543499998282642,0.00016698499995982275,-4.81659875385804
1,1,0.00016193292016396298,0.00016152541997143999,-0.251647529180838
1,2,0.00016344959003617988,0.00016374750004615634,0.18226415245857522
1,3,0.00016287750011542812,0.00017609542002901434,8.115252201328564
1,4,0.0001576408400433138,0.00017273625009693206,9.575824418006542
4,0,0.00016965707996860146,0.00017103167017921807,0.8102168273030514
4,1,0.00016321292001521216,0.00018569583015050738,13.775202436914746
4,2,0.00016716124984668567,0.00019400040997425094,16.055850355379132
4,3,0.00016599458002019673,0.00018773124989820644,13.094806996327824
4,4,0.00017479874979471787,0.00017303083004662767,-1.0114029706542127
16,0,0.00018111040990334004,0.0001877570798387751,3.669954664109274
16,1,0.0001830104101100005,0.00018092250014888121,-1.1408695056550788
16,2,0.00017700707976473496,0.00019491707993438468,10.11823944751498
16,3,0.0001723458297783509,0.00018866083002649247,9.466431690934348
16,4,0.00018605000019306317,0.0001861145897419192,0.03471623154474781
64,0,0.0002359645802062005,0.00022678749985061586,-3.8891770737646816
64,1,0.00022086999990278855,0.00024112124985549598,9.168854965192466
64,2,0.0002293058400391601,0.00023149792017647996,0.9559635013855299
64,3,0.0002248220899491571,0.00022443499998189509,-0.17217612706542954
64,4,0.00022265042003709822,0.00022420416993554682,0.6978427878958015
128,0,0.0002856879201135598,0.0003000745800090954,5.035795664659867
128,1,0.0002868145899265073,0.0002926737497909926,2.042838847907505
128,2,0.0002894037499208935,0.00030495624989271167,5.373980114656202
128,3,0.0002857670802040957,0.00031756000011228024,11.12546619627354
128,4,0.00028443415998481215,0.00029693833988858387,4.396159696303496
