n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017543499998282642,0.00016340375004801898,-6.857953051549116
1,1,0.00016193292016396298,0.00016777958982856943,3.61055038017377
1,2,0.00016344959003617988,0.0001802874999702908,10.301592026253372
1,3,0.00016287750011542812,0.00016650459001539276,2.226882103049342
1,4,0.0001576408400433138,0.00018387457996141165,16.641461635760006
4,0,0.00016965707996860146,0.0001699924998683855,0.19770462856375745
4,1,0.00016321292001521216,0.0001860675000352785,14.002923308973452
4,2,0.00016716124984668567,0.00017905165994307027,7.113137827869838
4,3,0.00016599458002019673,0.00019165959005476907,15.46135423906591
4,4,0.00017479874979471787,0.00017832125013228506,2.0151747891240563
16,0,0.00018111040990334004,0.00018186583009082824,0.4171047859100825
16,1,0.0001830104101100005,0.00018349083984503523,0.2625149764682502
16,2,0.00017700707976473496,0.000180920000129845,2.2106010507098413
16,3,0.0001723458297783509,0.0001858954201452434,7.86186145862552
16,4,0.00018605000019306317,0.000181212910101749,-2.5998871734989266
64,0,0.0002359645802062005,0.00023344499990344048,-1.0677790287670474
64,1,0.00022086999990278855,0.00022943165997276081,3.876334528790918
64,2,0.0002293058400391601,0.00023636416997760534,3.0781291646300177
64,3,0.0002248220899491571,0.00022777750011300667,1.3145550619682997
64,4,0.00022265042003709822,0.00022517208999488502,1.1325691446558392
128,0,0.0002856879201135598,0.00029258416994707657,2.4139101964043634
128,1,0.0002868145899265073,0.00029419041995424776,2.571636969245675
128,2,0.0002894037499208935,0.00031014709005830807,7.167612770423546
128,3,0.0002857670802040957,0.00030078542011324316,5.255447862791383
128,4,0.00028443415998481215,0.0002931299997726455,3.0572417139691317
