n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017346833017654718,0.0001772674999665469,2.1901229960149546
1,1,0.00016158000013092534,0.00016645666997646913,3.0181147676645095
1,2,0.00016168000001925975,0.00017388292006216942,7.547575483334999
1,3,0.00017156124988105149,0.00016893083025934174,-1.5332247949542743
1,4,0.00018068541976390406,0.00016813292022561656,-6.9471568622910835
4,0,0.00017048707988578826,0.00018262666999362408,7.12053377649984
4,1,0.0001706266700057313,0.00017168833990581335,0.6222180272558774
4,2,0.00017132415989181026,0.00017071542009944096,-0.35531462273255
4,3,0.0001723883399972692,0.00017518665990792214,1.6232651875975284
4,4,0.0001721570800873451,0.0001702029100852087,-1.1351087048786674
16,0,0.00018773166986647992,0.0001869795800303109,-0.4006195846997603
16,1,0.00018167083006119357,0.00018716165999649092,3.0224059269437134
16,2,0.00017728083999827505,0.00018952916987473146,6.90899810525243
16,3,0.0001825870797620155,0.00017930916015757248,-1.795263722228025
16,4,0.0001793145900592208,0.00019387500011362136,8.120036439640415
64,0,0.00022718124993843957,0.00023658833000808955,4.140781896480921
64,1,0.00022715958009939641,0.0002520308300154284,10.948800796844782
64,2,0.00023088709014700725,0.00023530750011559575,1.914533188396976
64,3,0.00024587207997683435,0.00024416250002104787,-0.6953127642421051
64,4,0.0002285112498793751,0.00022665374999633058,-0.8128702127466519
128,0,0.0002877400000579655,0.000301984160032589,4.950357952232574
128,1,0.0002863408299162984,0.00029907707998063417,4.44793362792822
128,2,0.0002967212500516325,0.00029886749980505555,0.7233218898375388
128,3,0.0002849629099364392,0.0003026887500891462,6.220402562796927
128,4,0.00028621915989788247,0.00030405249999603255,6.230659088131165
