step,env_id,time_s,warmup_factor
0,0,0.0,1.2739734649658203
0,1,0.0,1.0071905851364136
0,2,0.0,1.1719708442687988
0,3,0.0,1.1223132610321045
0,4,0.0,1.1620038747787476
0,5,0.0,1.2156879901885986
0,6,0.0,1.018216848373413
0,7,0.0,1.1315690279006958
1,0,0.01,1.2685484886169434
1,1,0.01,1.00704824924469
1,2,0.01,1.1685656309127808
1,3,0.01,1.1198912858963013
1,4,0.01,1.158795952796936
1,5,0.01,1.2114170789718628
1,6,0.01,1.0178561210632324
1,7,0.01,1.128963828086853
2,0,0.02,1.263230800628662
2,1,0.02,1.006908655166626
2,2,0.02,1.1652277708053589
2,3,0.02,1.1175172328948975
2,4,0.02,1.155651569366455
2,5,0.02,1.207230806350708
2,6,0.02,1.0175025463104248
2,7,0.02,1.1264101266860962
3,0,0.03,1.2580184936523438
3,1,0.03,1.0067718029022217
3,2,0.03,1.1619560718536377
3,3,0.03,1.1151902675628662
3,4,0.03,1.1525694131851196
3,5,0.03,1.203127384185791
3,6,0.03,1.0171560049057007
3,7,0.03,1.1239070892333984
4,0,0.04,1.2529094219207764
4,1,0.04,1.006637692451477
4,2,0.04,1.1587491035461426
4,3,0.04,1.1129093170166016
4,4,0.04,1.1495482921600342
4,5,0.04,1.199105143547058
4,6,0.04,1.016816258430481
4,7,0.04,1.1214535236358643
5,0,0.05,1.247901439666748
5,1,0.05,1.0065062046051025
5,2,0.05,1.155605673789978
5,3,0.05,1.1106735467910767
5,4,0.05,1.1465870141983032
5,5,0.05,1.1951625347137451
5,6,0.05,1.0164833068847656
5,7,0.05,1.1190485954284668
6,0,0.06,1.242992639541626
6,1,0.06,1.0063773393630981
6,2,0.06,1.152524471282959
6,3,0.06,1.1084821224212646
6,4,0.06,1.1436843872070312
6,5,0.06,1.191298007965088
6,6,0.06,1.0161569118499756
6,7,0.06,1.1166912317276
7,0,0.07,1.2381811141967773
7,1,0.07,1.0062510967254639
7,2,0.07,1.14950430393219
7,3,0.07,1.1063339710235596
7,4,0.07,1.1408392190933228
7,5,0.07,1.1875100135803223
7,6,0.07,1.0158369541168213
7,7,0.07,1.1143805980682373
8,0,0.08,1.2334648370742798
8,1,0.08,1.0061273574829102
8,2,0.08,1.1465439796447754
8,3,0.08,1.1042283773422241
8,4,0.08,1.1380504369735718
8,5,0.08,1.1837971210479736
8,6,0.08,1.0155233144760132
8,7,0.08,1.112115740776062
9,0,0.09,1.2288419008255005
9,1,0.09,1.0060060024261475
9,2,0.09,1.1436421871185303
9,3,0.09,1.1021645069122314
9,4,0.09,1.1353168487548828
9,5,0.09,1.1801576614379883
9,6,0.09,1.0152158737182617
9,7,0.09,1.1098957061767578
10,0,0.1,1.2243105173110962
10,1,0.1,1.0058870315551758
10,2,0.1,1.1407978534698486
10,3,0.1,1.1001415252685547
10,4,0.1,1.13263738155365
10,5,0.1,1.1765903234481812
10,6,0.1,1.014914631843567
10,7,0.1,1.1077196598052979
11,0,0.11,1.2198688983917236
11,1,0.11,1.0057704448699951
11,2,0.11,1.1380099058151245
11,3,0.11,1.098158597946167
11,4,0.11,1.130010962486267
11,5,0.11,1.173093557357788
11,6,0.11,1.0146193504333496
11,7,0.11,1.1055866479873657
12,0,0.12,1.2155152559280396
12,1,0.12,1.005656123161316
12,2,0.12,1.1352771520614624
12,3,0.12,1.0962148904800415
12,4,0.12,1.127436637878418
12,5,0.12,1.169666051864624
12,6,0.12,1.0143299102783203
12,7,0.12,1.1034958362579346
13,0,0.13,1.2112478017807007
13,1,0.13,1.0055440664291382
13,2,0.13,1.1325985193252563
13,3,0.13,1.094309687614441
13,4,0.13,1.124913215637207
13,5,0.13,1.166306495666504
13,6,0.13,1.0140461921691895
13,7,0.13,1.101446509361267
14,0,0.14,1.2070648670196533
14,1,0.14,1.005434274673462
14,2,0.14,1.1299729347229004
14,3,0.14,1.092442274093628
14,4,0.14,1.1224397420883179
14,5,0.14,1.1630134582519531
14,6,0.14,1.0137680768966675
14,7,0.14,1.0994377136230469
15,0,0.15,1.2029646635055542
15,1,0.15,1.0053266286849976
15,2,0.15,1.1273993253707886
15,3,0.15,1.0906118154525757
15,4,0.15,1.120015263557434
15,5,0.15,1.1597856283187866
15,6,0.15,1.0134954452514648
15,7,0.15,1.0974687337875366
16,0,0.16,1.1989457607269287
16,1,0.16,1.0052211284637451
16,2,0.16,1.124876618385315
16,3,0.16,1.0888175964355469
16,4,0.16,1.1176388263702393
16,5,0.16,1.1566216945648193
16,6,0.16,1.013228178024292
16,7,0.16,1.0955387353897095
17,0,0.17,1.1950063705444336
17,1,0.17,1.0051177740097046
