n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017346833017654718,0.0001695383299374953,-2.2655433617491636
1,1,0.00016158000013092534,0.00017078791977837682,5.698675355854982
1,2,0.00016168000001925975,0.00017457417008699848,7.975117557027921
1,3,0.00017156124988105149,0.00017359290999593212,1.1842185320340401
1,4,0.00018068541976390406,0.0001657820798573084,-8.248224968051867
4,0,0.00017048707988578826,0.00017221457994310186,1.013273298170673
4,1,0.0001706266700057313,0.0001815462499507703,6.399691176456895
4,2,0.00017132415989181026,0.0001817424999899231,6.081068837396854
4,3,0.0001723883399972692,0.00017853833007393404,3.5675209104990806
4,4,0.0001721570800873451,0.00017557584011228754,1.9858375985512207
16,0,0.00018773166986647992,0.00019472291984129697,3.7240653001112847
16,1,0.00018167083006119357,0.0001846337498864159,1.6309276641848909
16,2,0.00017728083999827505,0.0001872804100275971,5.640524959955818
16,3,0.0001825870797620155,0.00019458916009170934,6.573345904506164
16,4,0.0001793145900592208,0.00017950541980098932,0.10642175949291006
64,0,0.00022718124993843957,0.0002380291698500514,4.7750067026003915
64,1,0.00022715958009939641,0.0002508862499962561,10.444934739920624
64,2,0.00023088709014700725,0.00024650499981362375,6.7643061622338765
64,3,0.00024587207997683435,0.00023751125001581386,-3.400479615989027
64,4,0.0002285112498793751,0.00022773459000745787,-0.33987817769462025
128,0,0.0002877400000579655,0.0003043820901075378,5.783724906589199
128,1,0.0002863408299162984,0.00029563040996436027,3.2442387104826658
128,2,0.0002967212500516325,0.00029401666979538276,-0.911488562338939
128,3,0.0002849629099364392,0.0003091304199188016,8.48093177731549
128,4,0.00028621915989788247,0.0002986879099626094,4.356364566640311
