n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017346833017654718,0.00018065124982967972,4.140767162410643
1,1,0.00016158000013092534,0.00016892667015781627,4.546769415112059
1,2,0.00016168000001925975,0.00016910042002564297,4.589571997463683
1,3,0.00017156124988105149,0.00016674958023941145,-2.804636621017922
1,4,0.00018068541976390406,0.0001657870798953809,-8.245457706543426
4,0,0.00017048707988578826,0.00016940500005148352,-0.6346990253042264
4,1,0.0001706266700057313,0.0001736299999174662,1.7601761269993867
4,2,0.00017132415989181026,0.00017066708009224384,-0.383530145416358
4,3,0.0001723883399972692,0.00017946500011021272,4.105068888682154
4,4,0.0001721570800873451,0.00016980916989268736,-1.3638185507482563
16,0,0.00018773166986647992,0.00018487916997401044,-1.5194558779018255
16,1,0.00018167083006119357,0.000188809169922024,3.9292713411536533
16,2,0.00017728083999827505,0.00018510958005208523,4.4160102433440365
16,3,0.0001825870797620155,0.00019845333008561283,8.689689513780195
16,4,0.0001793145900592208,0.00018864625017158687,5.204071854545785
64,0,0.00022718124993843957,0.00023418374999891966,3.0823406695656437
64,1,0.00022715958009939641,0.00023221291019581258,2.2245727405399407
64,2,0.00023088709014700725,0.0002460212502046488,6.554788337453399
64,3,0.00024587207997683435,0.00023961916973348708,-2.54315587354872
64,4,0.0002285112498793751,0.00023668042005738242,3.5749531729048845
128,0,0.0002877400000579655,0.000285823340236675,-0.6661082299660809
128,1,0.0002863408299162984,0.0002908370801014826,1.5702441689850914
128,2,0.0002967212500516325,0.0002951854199636728,-0.5176003025373079
128,3,0.0002849629099364392,0.00029840208997484297,4.716115525842063
128,4,0.00028621915989788247,0.0002946641700691543,2.9505397801757485
