step,env_id,time_s,efficiency
0,0,0.0,0.9997752904891968
0,1,0.0,0.9998660087585449
0,2,0.0,0.9998562335968018
0,3,0.0,0.9992930293083191
0,4,0.0,0.9993535280227661
0,5,0.0,0.9990116953849792
0,6,0.0,0.999794065952301
0,7,0.0,0.9995028972625732
1,0,0.01,0.9995505809783936
1,1,0.01,0.9997320175170898
1,2,0.01,0.9997124671936035
1,3,0.01,0.9985860586166382
1,4,0.01,0.9987070560455322
1,5,0.01,0.9980233907699585
1,6,0.01,0.999588131904602
1,7,0.01,0.9990057945251465
2,0,0.02,0.9993258714675903
2,1,0.02,0.9995980262756348
2,2,0.02,0.9995687007904053
2,3,0.02,0.9978790879249573
2,4,0.02,0.9980605840682983
2,5,0.02,0.9970350861549377
2,6,0.02,0.9993821978569031
2,7,0.02,0.9985086917877197
3,0,0.03,0.9991011619567871
3,1,0.03,0.9994640350341797
3,2,0.03,0.999424934387207
3,3,0.03,0.9971721172332764
3,4,0.03,0.9974141120910645
3,5,0.03,0.996046781539917
3,6,0.03,0.9991762638092041
3,7,0.03,0.998011589050293
4,0,0.04,0.9988764524459839
4,1,0.04,0.9993300437927246
4,2,0.04,0.9992811679840088
4,3,0.04,0.9964651465415955
4,4,0.04,0.9967676401138306
4,5,0.04,0.9950584769248962
4,6,0.04,0.9989703297615051
4,7,0.04,0.9975144863128662
5,0,0.05,0.9986517429351807
5,1,0.05,0.9991960525512695
5,2,0.05,0.9991374015808105
5,3,0.05,0.9957581758499146
5,4,0.05,0.9961211681365967
5,5,0.05,0.9940701723098755
5,6,0.05,0.9987643957138062
5,7,0.05,0.9970173835754395
6,0,0.06,0.9984270334243774
6,1,0.06,0.9990620613098145
6,2,0.06,0.9989936351776123
6,3,0.06,0.9950512051582336
6,4,0.06,0.9954746961593628
6,5,0.06,0.9930818676948547
6,6,0.06,0.9985584616661072
6,7,0.06,0.9965202808380127
7,0,0.07,0.9982023239135742
7,1,0.07,0.9989280700683594
7,2,0.07,0.9988498687744141
7,3,0.07,0.9943442344665527
7,4,0.07,0.9948282241821289
7,5,0.07,0.992093563079834
7,6,0.07,0.9983525276184082
7,7,0.07,0.9960231781005859
8,0,0.08,0.997977614402771
8,1,0.08,0.9987940788269043
8,2,0.08,0.9987061023712158
8,3,0.08,0.9936372637748718
8,4,0.08,0.994181752204895
8,5,0.08,0.9911052584648132
8,6,0.08,0.9981465935707092
8,7,0.08,0.9955260753631592
9,0,0.09,0.9977529048919678
9,1,0.09,0.9986600875854492
9,2,0.09,0.9985623359680176
9,3,0.09,0.9929302930831909
9,4,0.09,0.9935352802276611
9,5,0.09,0.9901169538497925
9,6,0.09,0.9979406595230103
9,7,0.09,0.9950289726257324
10,0,0.1,0.9975281953811646
10,1,0.1,0.9985260963439941
10,2,0.1,0.9984185695648193
10,3,0.1,0.99222332239151
10,4,0.1,0.9928888082504272
10,5,0.1,0.9891286492347717
10,6,0.1,0.9977347254753113
10,7,0.1,0.9945318698883057
11,0,0.11,0.9973034858703613
11,1,0.11,0.9983921051025391
11,2,0.11,0.9982748031616211
11,3,0.11,0.9915163516998291
11,4,0.11,0.9922423362731934
11,5,0.11,0.988140344619751
11,6,0.11,0.9975287914276123
11,7,0.11,0.9940347671508789
12,0,0.12,0.9970787763595581
12,1,0.12,0.998258113861084
12,2,0.12,0.9981310367584229
12,3,0.12,0.9908093810081482
12,4,0.12,0.9915958642959595
12,5,0.12,0.9871520400047302
12,6,0.12,0.9973228573799133
12,7,0.12,0.9935376644134521
13,0,0.13,0.9968540668487549
13,1,0.13,0.9981241226196289
13,2,0.13,0.9979872703552246
13,3,0.13,0.9901024103164673
13,4,0.13,0.9909493923187256
13,5,0.13,0.9861637353897095
13,6,0.13,0.9971169233322144
13,7,0.13,0.9930405616760254
14,0,0.14,0.9966293573379517
14,1,0.14,0.9979901313781738
14,2,0.14,0.9978435039520264
14,3,0.14,0.9893954396247864
14,4,0.14,0.9903029203414917
14,5,0.14,0.9851754307746887
14,6,0.14,0.9969109892845154
14,7,0.14,0.9925434589385986
15,0,0.15,0.9964046478271484
15,1,0.15,0.9978561401367188
15,2,0.15,0.9976997375488281
15,3,0.15,0.9886884689331055
15,4,0.15,0.9896564483642578
15,5,0.15,0.984187126159668
15,6,0.15,0.9967050552368164
15,7,0.15,0.9920463562011719
16,0,0.16,0.9961799383163452
16,1,0.16,0.9977221488952637
16,2,0.16,0.9975559711456299
16,3,0.16,0.9879814982414246
16,4,0.16,0.9890099763870239
16,5,0.16,0.9831988215446472
16,6,0.16,0.9964991211891174
16,7,0.16,0.9915492534637451
17,0,0.17,0.995955228805542
17,1,0.17,0.9975881576538086
17,2,0.17,0.9974122047424316
17,3,0.17,0.9872745275497437
17,4,0.17,0.98836350440979
17,5,0.17,0.9822105169296265
17,6,0.17,0.9962931871414185
17,7,0.17,0.9910521507263184
18,0,0.18,0.9957305192947388
18,1,0.18,0.9974541664123535
18,2,0.18,0.9972684383392334
18,3,0.18,0.9865675568580627
18,4,0.18,0.9877170324325562
18,5,0.18,0.9812222123146057
18,6,0.18,0.9960872530937195
18,7,0.18,0.9905550479888916
19,0,0.19,0.9955058097839355
19,1,0.19,0.9973201751708984
19,2,0.19,0.9971246719360352
19,3,0.19,0.9858605861663818
19,4,0.19,0.9870705604553223
19,5,0.19,0.980233907699585
19,6,0.19,0.9958813190460205
19,7,0.19,0.9900579452514648
20,0,0.2,0.9952811002731323
20,1,0.2,0.9971861839294434
20,2,0.2,0.9969809055328369
20,3,0.2,0.9851536154747009
20,4,0.2,0.9864240884780884
20,5,0.2,0.9792456030845642
20,6,0.2,0.9956753849983215
20,7,0.2,0.9895608425140381
21,0,0.21,0.9950563907623291
21,1,0.21,0.9970521926879883
21,2,0.21,0.9968371391296387
21,3,0.21,0.98444664478302
21,4,0.21,0.9857776165008545
21,5,0.21,0.9782572984695435
21,6,0.21,0.9954694509506226
21,7,0.21,0.9890637397766113
22,0,0.22,0.9948316812515259
22,1,0.22,0.9969182014465332
22,2,0.22,0.9966933727264404
22,3,0.22,0.9837396740913391
22,4,0.22,0.9851311445236206
22,5,0.22,0.9772689938545227
22,6,0.22,0.9952635169029236
22,7,0.22,0.9885666370391846
23,0,0.23,0.9946069717407227
23,1,0.23,0.9967842102050781
23,2,0.23,0.9965496063232422
23,3,0.23,0.9830327033996582
23,4,0.23,0.9844846725463867
23,5,0.23,0.976280689239502
23,6,0.23,0.9950575828552246
23,7,0.23,0.9880695343017578
24,0,0.24,0.9943822622299194
24,1,0.24,0.996650218963623
24,2,0.24,0.996405839920044
24,3,0.24,0.9823257327079773
24,4,0.24,0.9838382005691528
24,5,0.24,0.9752923846244812
24,6,0.24,0.9948516488075256
24,7,0.24,0.987572431564331
25,0,0.25,0.9941575527191162
25,1,0.25,0.996516227722168
25,2,0.25,0.9962620735168457
25,3,0.25,0.9816187620162964
25,4,0.25,0.983191728591919
25,5,0.25,0.9743040800094604
25,6,0.25,0.9946457147598267
25,7,0.25,0.9870753288269043
26,0,0.26,0.993932843208313
26,1,0.26,0.9963822364807129
26,2,0.26,0.9961183071136475
26,3,0.26,0.9809117913246155
26,4,0.26,0.9825452566146851
26,5,0.26,0.9733157753944397
26,6,0.26,0.9944397807121277
26,7,0.26,0.9865782260894775
27,0,0.27,0.9937081336975098
27,1,0.27,0.9962482452392578
27,2,0.27,0.9959745407104492
27,3,0.27,0.9802048206329346
27,4,0.27,0.9818987846374512
27,5,0.27,0.972327470779419
27,6,0.27,0.9942338466644287
27,7,0.27,0.9860811233520508
28,0,0.28,0.9934834241867065
28,1,0.28,0.9961142539978027
28,2,0.28,0.995830774307251
28,3,0.28,0.9794978499412537
28,4,0.28,0.9812523126602173
28,5,0.28,0.9713391661643982
28,6,0.28,0.9940279126167297
28,7,0.28,0.985584020614624
29,0,0.29,0.9932587146759033
29,1,0.29,0.9959802627563477
29,2,0.29,0.9956870079040527
29,3,0.29,0.9787908792495728
29,4,0.29,0.9806058406829834
29,5,0.29,0.9703508615493774
29,6,0.29,0.9938219785690308
29,7,0.29,0.9850869178771973
30,0,0.3,0.9930340051651001
30,1,0.3,0.9958462715148926
30,2,0.3,0.9955432415008545
30,3,0.3,0.9780839085578918
30,4,0.3,0.9799593687057495
30,5,0.3,0.9693625569343567
30,6,0.3,0.9936160445213318
30,7,0.3,0.9845898151397705
31,0,0.31,0.9928092956542969
31,1,0.31,0.9957122802734375
31,2,0.31,0.9953994750976562
31,3,0.31,0.9773769378662109
31,4,0.31,0.9793128967285156
31,5,0.31,0.9683742523193359
31,6,0.31,0.9934101104736328
31,7,0.31,0.9840927124023438
32,0,0.32,0.9925845861434937
32,1,0.32,0.9955782890319824
32,2,0.32,0.995255708694458
32,3,0.32,0.97666996717453
32,4,0.32,0.9786664247512817
32,5,0.32,0.9673859477043152
32,6,0.32,0.9932041764259338
32,7,0.32,0.983595609664917
33,0,0.33,0.9923598766326904
33,1,0.33,0.9954442977905273
33,2,0.33,0.9951119422912598
33,3,0.33,0.9759629964828491
33,4,0.33,0.9780199527740479
33,5,0.33,0.9663976430892944
33,6,0.33,0.9929982423782349
33,7,0.33,0.9830985069274902
34,0,0.34,0.9921351671218872
34,1,0.34,0.9953103065490723
34,2,0.34,0.9949681758880615
34,3,0.34,0.9752560257911682
34,4,0.34,0.977373480796814
34,5,0.34,0.9654093384742737
34,6,0.34,0.9927923083305359
34,7,0.34,0.9826014041900635
35,0,0.35,0.991910457611084
35,1,0.35,0.9951763153076172
35,2,0.35,0.9948244094848633
35,3,0.35,0.9745490550994873
35,4,0.35,0.9767270088195801
35,5,0.35,0.9644210338592529
35,6,0.35,0.9925863742828369
35,7,0.35,0.9821043014526367
36,0,0.36,0.9916857481002808
36,1,0.36,0.9950423240661621
36,2,0.36,0.994680643081665
36,3,0.36,0.9738420844078064
36,4,0.36,0.9760805368423462
36,5,0.36,0.9634327292442322
36,6,0.36,0.9923804402351379
36,7,0.36,0.98160719871521
37,0,0.37,0.9914610385894775
37,1,0.37,0.994908332824707
37,2,0.37,0.9945368766784668
37,3,0.37,0.9731351137161255
37,4,0.37,0.9754340648651123
37,5,0.37,0.9624444246292114
37,6,0.37,0.992174506187439
37,7,0.37,0.9811100959777832
38,0,0.38,0.9912363290786743
38,1,0.38,0.994774341583252
38,2,0.38,0.9943931102752686
38,3,0.38,0.9724281430244446
38,4,0.38,0.9747875928878784
38,5,0.38,0.9614561200141907
38,6,0.38,0.99196857213974
38,7,0.38,0.9806129932403564
39,0,0.39,0.9910116195678711
39,1,0.39,0.9946403503417969
39,2,0.39,0.9942493438720703
39,3,0.39,0.9717211723327637
39,4,0.39,0.9741411209106445
39,5,0.39,0.9604678153991699
39,6,0.39,0.991762638092041
39,7,0.39,0.9801158905029297
40,0,0.4,0.9907869100570679
40,1,0.4,0.9945063591003418
40,2,0.4,0.9941055774688721
40,3,0.4,0.9710142016410828
40,4,0.4,0.9734946489334106
40,5,0.4,0.9594795107841492
40,6,0.4,0.991556704044342
40,7,0.4,0.9796187877655029
41,0,0.41,0.9905622005462646
41,1,0.41,0.9943723678588867
41,2,0.41,0.9939618110656738
41,3,0.41,0.9703072309494019
41,4,0.41,0.9728481769561768
41,5,0.41,0.9584912061691284
41,6,0.41,0.9913507699966431
41,7,0.41,0.9791216850280762
42,0,0.42,0.9903374910354614
42,1,0.42,0.9942383766174316
42,2,0.42,0.9938180446624756
42,3,0.42,0.969600260257721
42,4,0.42,0.9722017049789429
42,5,0.42,0.9575029015541077
42,6,0.42,0.9911448359489441
42,7,0.42,0.9786245822906494
43,0,0.43,0.9901127815246582
43,1,0.43,0.9941043853759766
43,2,0.43,0.9936742782592773
43,3,0.43,0.96889328956604
43,4,0.43,0.971555233001709
43,5,0.43,0.9565145969390869
