n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017346833017654718,0.0001788320898776874,3.0920685612649073
1,1,0.00016158000013092534,0.00017937333992449567,11.012092944146998
1,2,0.00016168000001925975,0.00017539542022859678,8.483065442666508
1,3,0.00017156124988105149,0.00017679458018392323,3.050415117924455
1,4,0.00018068541976390406,0.0001747329201316461,-3.2943995370716213
4,0,0.00017048707988578826,0.00018919083988294005,10.97077855382455
4,1,0.0001706266700057313,0.00018627917015692219,9.173536675518038
4,2,0.00017132415989181026,0.00018937916989671068,10.538507830011836
4,3,0.0001723883399972692,0.00018455083976732568,7.055291425307035
4,4,0.0001721570800873451,0.00018339875008678065,6.529891186428115
16,0,0.00018773166986647992,0.00019729374995222315,5.0934826779861115
16,1,0.00018167083006119357,0.00019123542006127536,5.26479126938545
16,2,0.00017728083999827505,0.0001934708299813792,9.132396926403146
16,3,0.0001825870797620155,0.00019671124988235533,7.73558027147886
16,4,0.0001793145900592208,0.0001921341600245796,7.149206297783682
64,0,0.00022718124993843957,0.00023897167004179208,5.189873771073724
64,1,0.00022715958009939641,0.0002457770798355341,8.19578013306389
64,2,0.00023088709014700725,0.0002600270800758153,12.62088318158215
64,3,0.00024587207997683435,0.00025302791997091847,2.910391450203833
64,4,0.0002285112498793751,0.000252448329993058,10.475230487041074
128,0,0.0002877400000579655,0.00030285832996014507,5.254163445865704
128,1,0.0002863408299162984,0.00032346624997444453,12.965464991143053
128,2,0.0002967212500516325,0.0003025658300612122,1.9697207424687815
128,3,0.0002849629099364392,0.0003040787499048747,6.708185276708198
128,4,0.00028621915989788247,0.0002990974998101592,4.499468140732255
