step,env_id,time_s,rpm_motor0
0,0,0.0,15015.5537109375
0,1,0.0,14876.17578125
0,2,0.0,15342.1318359375
0,3,0.0,15018.5771484375
1,0,0.01,14984.4462890625
1,1,0.01,15123.8232421875
1,2,0.01,14657.869140625
1,3,0.01,14981.4228515625
2,0,0.02,15015.5537109375
2,1,0.02,14876.17578125
2,2,0.02,15342.1318359375
2,3,0.02,15018.5771484375
3,0,0.03,14984.4462890625
3,1,0.03,15123.8232421875
3,2,0.03,14657.8681640625
3,3,0.03,14981.421875
4,0,0.04,15015.5537109375
4,1,0.04,14876.17578125
4,2,0.04,15342.1318359375
4,3,0.04,15018.5771484375
5,0,0.05,14984.4462890625
5,1,0.05,15123.8232421875
5,2,0.05,14657.869140625
5,3,0.05,14981.4228515625
6,0,0.06,15015.5537109375
6,1,0.06,14876.17578125
6,2,0.06,15342.1298828125
6,3,0.06,15018.5771484375
7,0,0.07,14984.4462890625
7,1,0.07,15123.8232421875
7,2,0.07,14657.869140625
7,3,0.07,14981.4228515625
8,0,0.08,15015.5537109375
8,1,0.08,14876.17578125
8,2,0.08,15342.1298828125
8,3,0.08,15018.5771484375
9,0,0.09,14984.4462890625
9,1,0.09,15123.8232421875
9,2,0.09,14657.8681640625
9,3,0.09,14981.421875
10,0,0.1,15015.5537109375
10,1,0.1,14876.17578125
10,2,0.1,15342.1318359375
10,3,0.1,15018.5771484375
11,0,0.11,14984.4462890625
11,1,0.11,15123.8232421875
11,2,0.11,14657.869140625
11,3,0.11,14981.4228515625
12,0,0.12,15015.5537109375
12,1,0.12,14876.17578125
12,2,0.12,15342.1318359375
12,3,0.12,15018.5771484375
13,0,0.13,14984.4462890625
13,1,0.13,15123.8232421875
13,2,0.13,14657.869140625
13,3,0.13,14981.4228515625
14,0,0.14,15015.5546875
14,1,0.14,14876.17578125
14,2,0.14,15342.1298828125
14,3,0.14,15018.5771484375
15,0,0.15,14984.4462890625
15,1,0.15,15123.8232421875
15,2,0.15,14657.8701171875
15,3,0.15,14981.4228515625
16,0,0.16,15015.5546875
16,1,0.16,14876.17578125
16,2,0.16,15342.1298828125
16,3,0.16,15018.5771484375
17,0,0.17,14984.4462890625
17,1,0.17,15123.8232421875
17,2,0.17,14657.8671875
17,3,0.17,14981.4228515625
18,0,0.18,15015.5517578125
18,1,0.18,14876.17578125
18,2,0.18,15342.1357421875
18,3,0.18,15018.5771484375
19,0,0.19,14984.4482421875
19,1,0.19,15123.8232421875
19,2,0.19,14657.8623046875
19,3,0.19,14981.4208984375
20,0,0.2,15015.5498046875
20,1,0.2,14876.17578125
20,2,0.2,15342.138671875
20,3,0.2,15018.5791015625
21,0,0.21,14984.451171875
21,1,0.21,15123.8232421875
21,2,0.21,14657.8583984375
21,3,0.21,14981.419921875
22,0,0.22,15015.5478515625
22,1,0.22,14876.17578125
22,2,0.22,15342.14453125
22,3,0.22,15018.580078125
23,0,0.23,14984.453125
23,1,0.23,15123.8251953125
23,2,0.23,14657.853515625
23,3,0.23,14981.41796875
24,0,0.24,15015.5458984375
24,1,0.24,14876.17578125
24,2,0.24,15342.1474609375
24,3,0.24,15018.58203125
25,0,0.25,14984.4560546875
25,1,0.25,15123.8251953125
25,2,0.25,14657.849609375
25,3,0.25,14981.416015625
26,0,0.26,15015.5439453125
26,1,0.26,14876.17578125
26,2,0.26,15342.1533203125
26,3,0.26,15018.583984375
27,0,0.27,14984.45703125
27,1,0.27,15123.8251953125
27,2,0.27,14657.8447265625
27,3,0.27,14981.4140625
28,0,0.28,15015.541015625
28,1,0.28,14876.17578125
28,2,0.28,15342.1572265625
28,3,0.28,15018.5859375
29,0,0.29,14984.458984375
29,1,0.29,15123.8251953125
29,2,0.29,14657.8408203125
29,3,0.29,14981.412109375
30,0,0.3,15015.5390625
30,1,0.3,14876.17578125
30,2,0.3,15342.162109375
30,3,0.3,15018.587890625
31,0,0.31,14984.4619140625
31,1,0.31,15123.8251953125
31,2,0.31,14657.8349609375
31,3,0.31,14981.41015625
32,0,0.32,15015.537109375
32,1,0.32,14876.1748046875
32,2,0.32,15342.16796875
32,3,0.32,15018.58984375
33,0,0.33,14984.4619140625
33,1,0.33,15123.8251953125
33,2,0.33,14657.8310546875
33,3,0.33,14981.4091796875
34,0,0.34,15015.5390625
34,1,0.34,14876.17578125
34,2,0.34,15342.166015625
34,3,0.34,15018.58984375
35,0,0.35,14984.458984375
35,1,0.35,15123.8251953125
35,2,0.35,14657.8359375
35,3,0.35,14981.4111328125
36,0,0.36,15015.54296875
36,1,0.36,14876.17578125
36,2,0.36,15342.16015625
36,3,0.36,15018.587890625
37,0,0.37,14984.45703125
37,1,0.37,15123.8251953125
37,2,0.37,14657.841796875
37,3,0.37,14981.4130859375
38,0,0.38,15015.5439453125
38,1,0.38,14876.17578125
38,2,0.38,15342.1552734375
38,3,0.38,15018.5859375
39,0,0.39,14984.4541015625
39,1,0.39,15123.8251953125
39,2,0.39,14657.8466796875
39,3,0.39,14981.4150390625
40,0,0.4,15015.5478515625
40,1,0.4,14876.17578125
40,2,0.4,15342.1494140625
40,3,0.4,15018.583984375
41,0,0.41,14984.451171875
41,1,0.41,15123.8232421875
41,2,0.41,14657.8525390625
41,3,0.41,14981.41796875
42,0,0.42,15015.5498046875
42,1,0.42,14876.17578125
42,2,0.42,15342.14453125
42,3,0.42,15018.58203125
43,0,0.43,14984.4482421875
43,1,0.43,15123.8232421875
43,2,0.43,14657.857421875
43,3,0.43,14981.419921875
44,0,0.44,15015.5537109375
44,1,0.44,14876.17578125
44,2,0.44,15342.138671875
44,3,0.44,15018.5791015625
45,0,0.45,14984.4462890625
45,1,0.45,15123.8232421875
45,2,0.45,14657.8623046875
45,3,0.45,14981.4208984375
46,0,0.46,15015.5546875
46,1,0.46,14876.17578125
46,2,0.46,15342.1337890625
46,3,0.46,15018.5771484375
47,0,0.47,14984.4443359375
47,1,0.47,15123.8232421875
47,2,0.47,14657.8681640625
47,3,0.47,14981.4228515625
48,0,0.48,15015.556640625
48,1,0.48,14876.1767578125
48,2,0.48,15342.1279296875
48,3,0.48,15018.5751953125
49,0,0.49,14984.44140625
49,1,0.49,15123.8232421875
49,2,0.49,14657.8740234375
49,3,0.49,14981.42578125
50,0,0.5,15015.560546875
50,1,0.5,14876.1767578125
50,2,0.5,15342.123046875
50,3,0.5,15018.5732421875
