n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017346833017654718,0.0002791362500283867,60.914819289662915
1,1,0.00016158000013092534,0.00027048082993132996,67.39746856799373
1,2,0.00016168000001925975,0.0002841308299684897,75.73653509069972
1,3,0.00017156124988105149,0.00028768958000000564,67.68913737774082
1,4,0.00018068541976390406,0.00028642124991165477,58.51929297112759
4,0,0.00017048707988578826,0.0002944049998768605,72.68463984138074
4,1,0.0001706266700057313,0.0002792262498405762,63.64748244292472
4,2,0.00017132415989181026,0.0002914662502007559,70.1255972215561
4,3,0.0001723883399972692,0.00028917167015606537,67.7443324534862
4,4,0.0001721570800873451,0.0002988312498200685,73.58057517498227
16,0,0.00018773166986647992,0.0003030908299842849,61.448960742666216
16,1,0.00018167083006119357,0.00031205125007545577,71.76739379147725
16,2,0.00017728083999827505,0.0003111824998632073,75.53081306825663
16,3,0.0001825870797620155,0.00031544708996079863,72.76528567736187
16,4,0.0001793145900592208,0.0003232483298052102,80.2688390824492
64,0,0.00022718124993843957,0.00035433749988442284,55.97127843096181
64,1,0.00022715958009939641,0.0003565666699432768,56.96748065270095
64,2,0.00023088709014700725,0.00034327417000895366,48.67620783404947
64,3,0.00024587207997683435,0.00035964124981546775,46.271691299537764
64,4,0.0002285112498793751,0.00035528708016499875,55.47903236822922
128,0,0.0002877400000579655,0.0004159145799349062,44.54527693442686
128,1,0.0002863408299162984,0.0004205045799608342,46.85456491962877
128,2,0.0002967212500516325,0.0004205058299703524,41.717463746590475
128,3,0.0002849629099364392,0.0004064291701070033,42.62528769012677
128,4,0.00028621915989788247,0.0004114808401209302,43.764254030980574
