env_id,episode,delay_steps
0,0,4
1,0,1
2,0,4
3,0,0
4,0,2
5,0,5
6,0,5
7,0,1
8,0,1
9,0,3
10,0,1
11,0,3
12,0,2
13,0,0
14,0,2
15,0,4
0,1,1
1,1,3
2,1,2
3,1,0
4,1,2
5,1,1
6,1,0
7,1,4
8,1,4
9,1,1
10,1,4
11,1,2
12,1,2
13,1,3
14,1,2
15,1,5
0,2,1
1,2,2
2,2,0
3,2,5
4,2,4
5,2,1
6,2,3
7,2,4
8,2,4
9,2,2
10,2,1
11,2,4
12,2,2
13,2,5
14,2,3
15,2,0
0,3,4
1,3,0
2,3,4
3,3,1
4,3,1
5,3,2
6,3,3
7,3,2
8,3,0
9,3,4
10,3,2
11,3,1
12,3,1
13,3,1
14,3,3
15,3,3
0,4,3
1,4,5
2,4,2
3,4,4
4,4,4
5,4,2
6,4,2
7,4,4
8,4,3
9,4,5
10,4,2
11,4,2
12,4,2
13,4,2
14,4,5
15,4,4
0,5,2
1,5,4
2,5,1
3,5,2
4,5,3
5,5,4
6,5,2
7,5,3
8,5,0
9,5,3
10,5,2
11,5,1
12,5,3
13,5,4
14,5,1
15,5,3
0,6,2
1,6,1
2,6,1
3,6,0
4,6,2
5,6,1
6,6,1
7,6,5
8,6,5
9,6,4
10,6,3
11,6,1
12,6,1
13,6,0
14,6,1
15,6,3
0,7,4
1,7,3
2,7,1
3,7,4
4,7,5
5,7,3
6,7,0
7,7,3
8,7,2
9,7,3
10,7,4
11,7,4
12,7,1
13,7,1
14,7,5
15,7,3
0,8,1
1,8,4
2,8,0
3,8,5
4,8,1
5,8,0
6,8,3
7,8,3
8,8,5
9,8,4
10,8,4
11,8,2
12,8,4
13,8,0
14,8,1
15,8,5
0,9,1
1,9,3
2,9,4
3,9,3
4,9,3
5,9,2
6,9,2
7,9,3
8,9,2
9,9,3
10,9,1
11,9,1
12,9,3
13,9,3
14,9,4
15,9,2
0,10,5
1,10,5
2,10,1
3,10,0
4,10,4
5,10,3
6,10,3
7,10,1
8,10,0
9,10,5
10,10,3
11,10,4
12,10,1
13,10,5
14,10,2
15,10,3
0,11,3
1,11,5
2,11,3
3,11,3
4,11,4
5,11,4
6,11,2
7,11,1
8,11,4
9,11,1
10,11,1
11,11,1
12,11,5
13,11,2
14,11,3
15,11,2
0,12,4
1,12,0
2,12,1
3,12,3
4,12,2
5,12,5
6,12,0
7,12,4
8,12,5
9,12,1
10,12,4
11,12,3
12,12,1
13,12,3
14,12,4
15,12,0
0,13,2
1,13,0
2,13,2
3,13,3
4,13,3
5,13,2
6,13,1
7,13,2
8,13,1
9,13,5
10,13,1
11,13,1
12,13,1
13,13,2
14,13,1
15,13,3
0,14,0
1,14,1
2,14,3
3,14,3
4,14,1
5,14,4
6,14,4
7,14,3
8,14,2
9,14,5
10,14,5
11,14,3
12,14,1
13,14,2
14,14,1
15,14,1
0,15,5
1,15,2
2,15,4
3,15,3
4,15,0
5,15,0
6,15,4
7,15,0
8,15,4
9,15,5
10,15,2
11,15,1
12,15,2
13,15,0
14,15,2
15,15,4
0,16,1
1,16,1
2,16,0
3,16,4
4,16,2
5,16,3
6,16,4
7,16,2
8,16,3
9,16,3
10,16,3
11,16,1
12,16,4
13,16,0
14,16,3
15,16,2
0,17,3
1,17,0
2,17,3
3,17,2
4,17,3
5,17,4
6,17,2
7,17,2
8,17,3
9,17,3
10,17,4
11,17,1
12,17,0
13,17,4
14,17,1
15,17,1
0,18,2
1,18,1
2,18,1
3,18,0
4,18,3
5,18,5
6,18,0
7,18,0
8,18,0
9,18,2
10,18,3
11,18,1
12,18,2
13,18,2
14,18,2
15,18,3
0,19,5
1,19,4
2,19,2
3,19,3
4,19,2
5,19,2
6,19,4
7,19,2
8,19,4
9,19,3
10,19,0
11,19,3
12,19,2
13,19,4
14,19,1
15,19,0
0,20,1
1,20,2
2,20,5
3,20,5
4,20,2
5,20,5
6,20,4
7,20,3
8,20,1
9,20,5
10,20,1
11,20,2
12,20,3
13,20,5
14,20,2
15,20,1
0,21,2
1,21,1
2,21,1
3,21,2
4,21,4
5,21,4
6,21,5
7,21,3
8,21,1
9,21,4
10,21,0
11,21,3
12,21,0
13,21,3
14,21,4
15,21,3
0,22,3
1,22,2
2,22,1
3,22,1
4,22,3
5,22,0
6,22,4
7,22,5
8,22,2
9,22,0
10,22,0
11,22,3
12,22,5
13,22,4
14,22,5
15,22,4
0,23,1
1,23,2
2,23,1
3,23,5
4,23,2
5,23,2
6,23,5
7,23,3
8,23,4
9,23,3
10,23,4
11,23,4
12,23,5
13,23,5
14,23,2
15,23,4
0,24,3
1,24,1
2,24,4
3,24,4
4,24,2
5,24,3
6,24,4
7,24,4
8,24,3
9,24,2
10,24,2
11,24,2
12,24,4
13,24,1
14,24,0
15,24,2
0,25,3
1,25,1
2,25,1
3,25,2
4,25,1
5,25,1
6,25,3
7,25,4
8,25,2
9,25,0
10,25,1
11,25,3
12,25,2
13,25,1
14,25,3
15,25,2
0,26,1
1,26,4
2,26,2
3,26,2
4,26,3
5,26,2
6,26,2
7,26,3
8,26,2
9,26,0
10,26,4
11,26,1
12,26,0
13,26,0
14,26,4
15,26,2
0,27,2
1,27,2
2,27,3
3,27,4
4,27,5
5,27,4
6,27,4
7,27,3
8,27,5
9,27,3
10,27,3
11,27,2
12,27,0
13,27,1
14,27,2
15,27,3
0,28,2
1,28,1
2,28,1
3,28,1
4,28,5
5,28,3
6,28,1
7,28,4
8,28,4
9,28,2
10,28,1
11,28,5
12,28,0
13,28,2
14,28,5
15,28,1
0,29,3
1,29,5
2,29,3
3,29,3
4,29,3
5,29,3
6,29,3
7,29,0
8,29,4
9,29,3
10,29,1
11,29,1
12,29,3
13,29,5
14,29,3
15,29,3
