n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00016625458985799923,0.00021609666000586004,29.9793648947868
1,1,0.0001607429201249033,0.00021279290987877175,32.38089099875978
1,2,0.00015666040999349207,0.00020305957994423807,29.61767427563447
1,3,0.00015270499978214502,0.00019792209001025186,29.610746401634085
1,4,0.0001565000001573935,0.00020648542005801573,31.93956539958557
4,0,0.00016542291996302083,0.00021895916986977682,32.36326013270933
4,1,0.00016327708988683298,0.00019634917000075803,20.255187140368097
4,2,0.00016406582988565788,0.00020044125005370006,22.171234676588806
4,3,0.0001640766698983498,0.0002004279100219719,22.155032855154083
4,4,0.00016487584012793378,0.00020402624999405817,23.745389158136216
16,0,0.0001713154200115241,0.00020949041994754224,22.283458157736277
16,1,0.0001723404199583456,0.00020909707993268967,21.327939193387188
16,2,0.00018337082990910859,0.0002134729200042784,16.41596436581027
16,3,0.00017030667018843814,0.00021815707994392143,28.096615183972855
16,4,0.00017793000006349757,0.0002304679199005477,29.527297149609964
64,0,0.00022559791977982968,0.0002746008400572464,21.721352894229106
64,1,0.0002217858299263753,0.00028802874992834405,29.8679676803333
64,2,0.00021626166999340058,0.00026642874989192935,23.197397809819766
64,3,0.0002155358300660737,0.00027322124980855734,26.763726348793078
64,4,0.00021579124993877484,0.0002629475001594983,21.85271656478325
128,0,0.0002926266600843519,0.000317384589870926,8.460585846633876
128,1,0.0002975637500640005,0.0003242000000318512,8.951443165413052
128,2,0.00028502540983026847,0.0003358850002405234,17.843879407292707
128,3,0.0002967745900969021,0.00032937667012447494,10.985468808811326
128,4,0.00029784624988678845,0.00031820540985791015,6.835459563066593
