step,env_id,time_s,cumulative_drop_rate
0,0,0.0,0.0
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,1.0
0,7,0.0,0.0
1,0,0.01,0.0
1,1,0.01,0.5
1,2,0.01,0.5
1,3,0.01,0.0
1,4,0.01,0.0
1,5,0.01,0.0
1,6,0.01,0.5
1,7,0.01,0.0
2,0,0.02,0.0
2,1,0.02,0.333333
2,2,0.02,0.333333
2,3,0.02,0.333333
2,4,0.02,0.0
2,5,0.02,0.0
2,6,0.02,0.333333
2,7,0.02,0.0
3,0,0.03,0.0
3,1,0.03,0.25
3,2,0.03,0.25
3,3,0.03,0.5
3,4,0.03,0.0
3,5,0.03,0.0
3,6,0.03,0.25
3,7,0.03,0.0
4,0,0.04,0.0
4,1,0.04,0.2
4,2,0.04,0.2
4,3,0.04,0.4
4,4,0.04,0.0
4,5,0.04,0.0
4,6,0.04,0.2
4,7,0.04,0.0
5,0,0.05,0.0
5,1,0.05,0.166667
5,2,0.05,0.166667
5,3,0.05,0.333333
5,4,0.05,0.0
5,5,0.05,0.0
5,6,0.05,0.166667
5,7,0.05,0.0
6,0,0.06,0.142857
6,1,0.06,0.142857
6,2,0.06,0.142857
6,3,0.06,0.428571
6,4,0.06,0.0
6,5,0.06,0.0
6,6,0.06,0.142857
6,7,0.06,0.0
7,0,0.07,0.125
7,1,0.07,0.125
7,2,0.07,0.125
7,3,0.07,0.375
7,4,0.07,0.0
7,5,0.07,0.0
7,6,0.07,0.125
7,7,0.07,0.0
8,0,0.08,0.111111
8,1,0.08,0.111111
8,2,0.08,0.111111
8,3,0.08,0.333333
8,4,0.08,0.0
8,5,0.08,0.0
8,6,0.08,0.111111
8,7,0.08,0.0
9,0,0.09,0.1
9,1,0.09,0.1
9,2,0.09,0.2
9,3,0.09,0.3
9,4,0.09,0.0
9,5,0.09,0.0
9,6,0.09,0.1
9,7,0.09,0.1
10,0,0.1,0.090909
10,1,0.1,0.090909
10,2,0.1,0.181818
10,3,0.1,0.272727
10,4,0.1,0.0
10,5,0.1,0.0
10,6,0.1,0.090909
10,7,0.1,0.090909
11,0,0.11,0.083333
11,1,0.11,0.083333
11,2,0.11,0.166667
11,3,0.11,0.25
11,4,0.11,0.083333
11,5,0.11,0.0
11,6,0.11,0.083333
11,7,0.11,0.083333
12,0,0.12,0.076923
12,1,0.12,0.076923
12,2,0.12,0.230769
12,3,0.12,0.230769
12,4,0.12,0.076923
12,5,0.12,0.0
12,6,0.12,0.076923
12,7,0.12,0.076923
13,0,0.13,0.071429
13,1,0.13,0.071429
13,2,0.13,0.214286
13,3,0.13,0.214286
13,4,0.13,0.071429
13,5,0.13,0.0
13,6,0.13,0.071429
13,7,0.13,0.071429
14,0,0.14,0.066667
14,1,0.14,0.133333
14,2,0.14,0.2
14,3,0.14,0.2
14,4,0.14,0.066667
14,5,0.14,0.0
14,6,0.14,0.066667
14,7,0.14,0.066667
15,0,0.15,0.0625
15,1,0.15,0.125
15,2,0.15,0.25
15,3,0.15,0.1875
15,4,0.15,0.0625
15,5,0.15,0.0
15,6,0.15,0.0625
15,7,0.15,0.0625
16,0,0.16,0.058824
16,1,0.16,0.117647
16,2,0.16,0.235294
16,3,0.16,0.176471
16,4,0.16,0.058824
16,5,0.16,0.0
16,6,0.16,0.058824
16,7,0.16,0.058824
17,0,0.17,0.111111
17,1,0.17,0.111111
17,2,0.17,0.222222
17,3,0.17,0.166667
17,4,0.17,0.055556
17,5,0.17,0.0
17,6,0.17,0.055556
17,7,0.17,0.111111
18,0,0.18,0.105263
18,1,0.18,0.105263
18,2,0.18,0.210526
18,3,0.18,0.157895
18,4,0.18,0.052632
18,5,0.18,0.052632
18,6,0.18,0.052632
18,7,0.18,0.105263
19,0,0.19,0.1
19,1,0.19,0.1
19,2,0.19,0.2
19,3,0.19,0.15
19,4,0.19,0.05
19,5,0.19,0.05
19,6,0.19,0.05
19,7,0.19,0.1
20,0,0.2,0.095238
20,1,0.2,0.095238
20,2,0.2,0.190476
20,3,0.2,0.142857
20,4,0.2,0.047619
20,5,0.2,0.095238
20,6,0.2,0.095238
20,7,0.2,0.095238
21,0,0.21,0.090909
21,1,0.21,0.090909
21,2,0.21,0.181818
21,3,0.21,0.136364
21,4,0.21,0.045455
21,5,0.21,0.090909
21,6,0.21,0.090909
21,7,0.21,0.090909
22,0,0.22,0.086957
22,1,0.22,0.086957
22,2,0.22,0.173913
22,3,0.22,0.130435
22,4,0.22,0.043478
22,5,0.22,0.086957
22,6,0.22,0.086957
22,7,0.22,0.086957
23,0,0.23,0.083333
23,1,0.23,0.083333
23,2,0.23,0.166667
23,3,0.23,0.125
23,4,0.23,0.041667
23,5,0.23,0.083333
23,6,0.23,0.083333
23,7,0.23,0.083333
24,0,0.24,0.08
24,1,0.24,0.08
24,2,0.24,0.16
24,3,0.24,0.12
24,4,0.24,0.04
