step,env_id,time_s,dropped,drop_prob
0,0,0.0,0,0.1077
0,1,0.0,0,0.0104
0,2,0.0,0,0.2043
0,3,0.0,0,0.0186
0,4,0.0,0,0.0967
0,5,0.0,0,0.1866
0,6,0.0,1,0.2741
0,7,0.0,0,0.2969
1,0,0.01,0,0.2098
1,1,0.01,1,0.2029
1,2,0.01,1,0.1002
1,3,0.01,0,0.1925
1,4,0.01,0,0.2015
1,5,0.01,0,0.2912
1,6,0.01,0,0.2536
1,7,0.01,0,0.0729
2,0,0.02,0,0.0138
2,1,0.02,0,0.2602
2,2,0.02,0,0.2305
2,3,0.02,1,0.2501
2,4,0.02,0,0.0845
2,5,0.02,0,0.1778
2,6,0.02,0,0.1746
2,7,0.02,0,0.2341
3,0,0.03,0,0.1795
3,1,0.03,0,0.1356
3,2,0.03,0,0.2264
3,3,0.03,1,0.2064
3,4,0.03,0,0.2356
3,5,0.03,0,0.0197
3,6,0.03,0,0.1933
3,7,0.03,0,0.121
4,0,0.04,0,0.1523
4,1,0.04,0,0.0796
4,2,0.04,0,0.1372
4,3,0.04,0,0.0226
4,4,0.04,0,0.0313
4,5,0.04,0,0.0319
4,6,0.04,0,0.1079
4,7,0.04,0,0.1847
5,0,0.05,0,0.0305
5,1,0.05,0,0.0488
5,2,0.05,0,0.2092
5,3,0.05,0,0.261
5,4,0.05,0,0.2885
5,5,0.05,0,0.2501
5,6,0.05,0,0.1387
5,7,0.05,0,0.2429
6,0,0.06,1,0.2503
6,1,0.06,0,0.021
6,2,0.06,0,0.2078
6,3,0.06,1,0.0641
6,4,0.06,0,0.2523
6,5,0.06,0,0.0595
6,6,0.06,0,0.1811
6,7,0.06,0,0.1741
7,0,0.07,0,0.0467
7,1,0.07,0,0.0552
7,2,0.07,0,0.1996
7,3,0.07,0,0.0253
7,4,0.07,0,0.0159
7,5,0.07,0,0.0066
7,6,0.07,0,0.2726
7,7,0.07,0,0.246
8,0,0.08,0,0.0862
8,1,0.08,0,0.2256
8,2,0.08,0,0.1569
8,3,0.08,0,0.0494
8,4,0.08,0,0.2448
8,5,0.08,0,0.0538
8,6,0.08,0,0.1927
8,7,0.08,0,0.0786
9,0,0.09,0,0.196
9,1,0.09,0,0.0145
9,2,0.09,1,0.0375
9,3,0.09,0,0.1413
9,4,0.09,0,0.0501
9,5,0.09,0,0.2304
9,6,0.09,0,0.17
9,7,0.09,1,0.0905
10,0,0.1,0,0.1742
10,1,0.1,0,0.1809
10,2,0.1,0,0.207
10,3,0.1,0,0.2229
10,4,0.1,0,0.137
10,5,0.1,0,0.1132
10,6,0.1,0,0.0306
10,7,0.1,0,0.1501
11,0,0.11,0,0.0876
11,1,0.11,0,0.105
11,2,0.11,0,0.2134
11,3,0.11,0,0.2095
11,4,0.11,1,0.2837
11,5,0.11,0,0.1756
11,6,0.11,0,0.0547
11,7,0.11,0,0.138
12,0,0.12,0,0.1653
12,1,0.12,0,0.1074
12,2,0.12,1,0.1722
12,3,0.12,0,0.1101
12,4,0.12,0,0.2902
12,5,0.12,0,0.2224
12,6,0.12,0,0.1513
12,7,0.12,0,0.2461
13,0,0.13,0,0.0967
13,1,0.13,0,0.1849
13,2,0.13,0,0.1189
13,3,0.13,0,0.198
13,4,0.13,0,0.1281
13,5,0.13,0,0.1497
13,6,0.13,0,0.2117
13,7,0.13,0,0.1048
14,0,0.14,0,0.2928
14,1,0.14,1,0.2445
14,2,0.14,0,0.2288
14,3,0.14,0,0.1959
14,4,0.14,0,0.0895
14,5,0.14,0,0.001
14,6,0.14,0,0.0445
14,7,0.14,0,0.0611
15,0,0.15,0,0.2975
15,1,0.15,0,0.103
15,2,0.15,1,0.2295
15,3,0.15,0,0.2356
15,4,0.15,0,0.0088
15,5,0.15,0,0.2186
15,6,0.15,0,0.2925
15,7,0.15,0,0.0929
16,0,0.16,0,0.2768
16,1,0.16,0,0.1974
16,2,0.16,0,0.2051
16,3,0.16,0,0.1077
16,4,0.16,0,0.041
16,5,0.16,0,0.2805
16,6,0.16,0,0.1721
16,7,0.16,0,0.1137
17,0,0.17,1,0.1025
17,1,0.17,0,0.1001
17,2,0.17,0,0.1356
17,3,0.17,0,0.2805
17,4,0.17,0,0.0287
17,5,0.17,0,0.1607
17,6,0.17,0,0.2654
17,7,0.17,1,0.2024
18,0,0.18,0,0.0368
18,1,0.18,0,0.188
18,2,0.18,0,0.1544
18,3,0.18,0,0.2179
18,4,0.18,0,0.245
18,5,0.18,1,0.2892
18,6,0.18,0,0.1094
18,7,0.18,0,0.1506
19,0,0.19,0,0.0837
19,1,0.19,0,0.0744
19,2,0.19,0,0.0748
19,3,0.19,0,0.1268
19,4,0.19,0,0.2272
19,5,0.19,0,0.0246
19,6,0.19,0,0.2196
19,7,0.19,0,0.2858
20,0,0.2,0,0.0045
20,1,0.2,0,0.1372
20,2,0.2,0,0.1177
20,3,0.2,0,0.1897
20,4,0.2,0,0.0573
20,5,0.2,1,0.2999
20,6,0.2,1,0.0497
20,7,0.2,0,0.0254
21,0,0.21,0,0.2411
21,1,0.21,0,0.0675
21,2,0.21,0,0.0235
21,3,0.21,0,0.2505
21,4,0.21,0,0.253
21,5,0.21,0,0.0605
21,6,0.21,0,0.0157
21,7,0.21,0,0.2598
22,0,0.22,0,0.131
22,1,0.22,0,0.264
22,2,0.22,0,0.1667
22,3,0.22,0,0.1441
22,4,0.22,0,0.0824
22,5,0.22,0,0.1946
22,6,0.22,0,0.2711
22,7,0.22,0,0.0163
23,0,0.23,0,0.2648
23,1,0.23,0,0.2849
23,2,0.23,0,0.0614
23,3,0.23,0,0.1816
23,4,0.23,0,0.0379
23,5,0.23,0,0.1602
23,6,0.23,0,0.0488
23,7,0.23,0,0.1074
24,0,0.24,0,0.1033
24,1,0.24,0,0.2372
24,2,0.24,0,0.2635
24,3,0.24,0,0.26
24,4,0.24,0,0.152
24,5,0.24,0,0.0366
24,6,0.24,0,0.0378
24,7,0.24,0,0.0428
25,0,0.25,0,0.2182
25,1,0.25,1,0.2571
25,2,0.25,0,0.0125
25,3,0.25,0,0.2019
25,4,0.25,1,0.2861
25,5,0.25,0,0.1683
25,6,0.25,0,0.2071
25,7,0.25,0,0.2593
26,0,0.26,0,0.0982
26,1,0.26,0,0.1736
26,2,0.26,0,0.0094
26,3,0.26,0,0.1021
26,4,0.26,1,0.2186
26,5,0.26,0,0.2706
26,6,0.26,0,0.2926
26,7,0.26,0,0.1879
27,0,0.27,0,0.0061
27,1,0.27,0,0.0411
27,2,0.27,1,0.14
27,3,0.27,0,0.1254
27,4,0.27,1,0.1588
27,5,0.27,0,0.1412
27,6,0.27,0,0.0351
27,7,0.27,0,0.2408
28,0,0.28,0,0.2564
28,1,0.28,1,0.1492
28,2,0.28,0,0.2401
28,3,0.28,1,0.2722
28,4,0.28,0,0.0627
28,5,0.28,0,0.0445
28,6,0.28,0,0.0285
28,7,0.28,0,0.0202
29,0,0.29,0,0.0328
29,1,0.29,0,0.2268
29,2,0.29,0,0.1841
29,3,0.29,0,0.0962
29,4,0.29,0,0.031
29,5,0.29,0,0.2965
29,6,0.29,0,0.2628
29,7,0.29,0,0.0445
30,0,0.3,1,0.2177
30,1,0.3,1,0.2489
30,2,0.3,1,0.2664
30,3,0.3,0,0.0032
30,4,0.3,0,0.0763
30,5,0.3,0,0.0542
30,6,0.3,0,0.1327
30,7,0.3,0,0.0486
31,0,0.31,1,0.0864
31,1,0.31,0,0.2636
31,2,0.31,1,0.2622
31,3,0.31,0,0.1674
31,4,0.31,0,0.1323
31,5,0.31,1,0.1765
31,6,0.31,0,0.1711
31,7,0.31,1,0.2662
32,0,0.32,1,0.2313
32,1,0.32,0,0.1132
32,2,0.32,0,0.0611
32,3,0.32,0,0.2645
32,4,0.32,0,0.0517
32,5,0.32,0,0.1573
32,6,0.32,0,0.1056
32,7,0.32,1,0.2726
33,0,0.33,0,0.093
33,1,0.33,1,0.241
33,2,0.33,0,0.1002
33,3,0.33,1,0.1728
33,4,0.33,0,0.0431
33,5,0.33,0,0.1455
33,6,0.33,0,0.2703
33,7,0.33,1,0.0823
34,0,0.34,0,0.2627
34,1,0.34,0,0.1787
34,2,0.34,0,0.0035
34,3,0.34,0,0.1356
34,4,0.34,0,0.1278
34,5,0.34,0,0.0229
34,6,0.34,0,0.2193
34,7,0.34,0,0.0137
35,0,0.35,0,0.0096
35,1,0.35,0,0.2081
35,2,0.35,1,0.2932
35,3,0.35,0,0.0337
35,4,0.35,0,0.1934
35,5,0.35,0,0.0644
35,6,0.35,0,0.2531
35,7,0.35,0,0.1584
36,0,0.36,0,0.22
36,1,0.36,0,0.2356
36,2,0.36,1,0.1649
36,3,0.36,0,0.2472
36,4,0.36,0,0.2272
36,5,0.36,0,0.0507
36,6,0.36,0,0.2037
36,7,0.36,0,0.0958
37,0,0.37,0,0.0851
37,1,0.37,0,0.0681
37,2,0.37,1,0.2793
37,3,0.37,0,0.2218
37,4,0.37,0,0.1147
37,5,0.37,1,0.2201
37,6,0.37,0,0.0913
37,7,0.37,0,0.0143
38,0,0.38,0,0.0104
38,1,0.38,0,0.1297
38,2,0.38,0,0.052
38,3,0.38,0,0.189
38,4,0.38,0,0.0803
38,5,0.38,0,0.2659
38,6,0.38,0,0.1297
38,7,0.38,0,0.1575
39,0,0.39,0,0.0924
39,1,0.39,0,0.2773
39,2,0.39,0,0.1845
39,3,0.39,0,0.2951
39,4,0.39,1,0.1234
39,5,0.39,0,0.0763
39,6,0.39,0,0.2634
39,7,0.39,1,0.1977
40,0,0.4,0,0.0067
40,1,0.4,0,0.2724
40,2,0.4,0,0.0774
40,3,0.4,0,0.0994
40,4,0.4,0,0.0023
40,5,0.4,0,0.1429
40,6,0.4,0,0.021
40,7,0.4,0,0.1304
41,0,0.41,0,0.2573
41,1,0.41,0,0.1086
41,2,0.41,0,0.1455
41,3,0.41,0,0.0689
41,4,0.41,0,0.1317
41,5,0.41,0,0.0947
41,6,0.41,0,0.1613
41,7,0.41,0,0.2194
42,0,0.42,0,0.1106
42,1,0.42,0,0.2482
42,2,0.42,0,0.0837
42,3,0.42,0,0.2216
42,4,0.42,0,0.2209
42,5,0.42,0,0.2003
42,6,0.42,0,0.1598
42,7,0.42,0,0.0947
43,0,0.43,0,0.0586
43,1,0.43,0,0.2601
43,2,0.43,0,0.1298
43,3,0.43,0,0.1777
43,4,0.43,0,0.0874
43,5,0.43,1,0.2936
43,6,0.43,1,0.2714
43,7,0.43,0,0.2274
44,0,0.44,1,0.2398
44,1,0.44,1,0.2861
44,2,0.44,0,0.0052
44,3,0.44,1,0.1897
44,4,0.44,0,0.1666
44,5,0.44,1,0.1027
44,6,0.44,0,0.163
44,7,0.44,0,0.2158
45,0,0.45,0,0.2388
45,1,0.45,1,0.2071
45,2,0.45,0,0.0533
45,3,0.45,0,0.067
45,4,0.45,0,0.2219
45,5,0.45,0,0.2806
45,6,0.45,0,0.1732
45,7,0.45,0,0.2075
46,0,0.46,0,0.1281
46,1,0.46,0,0.2303
46,2,0.46,0,0.1824
46,3,0.46,0,0.0093
46,4,0.46,1,0.1411
46,5,0.46,0,0.1863
46,6,0.46,1,0.1757
46,7,0.46,0,0.2355
47,0,0.47,0,0.2782
47,1,0.47,0,0.0217
47,2,0.47,0,0.1794
47,3,0.47,0,0.1422
47,4,0.47,0,0.0735
47,5,0.47,0,0.1995
47,6,0.47,0,0.1261
47,7,0.47,0,0.1526
48,0,0.48,0,0.2186
48,1,0.48,0,0.2229
48,2,0.48,0,0.1944
48,3,0.48,0,0.2991
48,4,0.48,0,0.0418
48,5,0.48,0,0.2563
48,6,0.48,0,0.0963
48,7,0.48,0,0.2172
49,0,0.49,0,0.0882
49,1,0.49,0,0.1311
49,2,0.49,1,0.2675
49,3,0.49,0,0.2887
49,4,0.49,0,0.0532
49,5,0.49,0,0.2252
49,6,0.49,1,0.156
49,7,0.49,0,0.1095
50,0,0.5,0,0.0731
50,1,0.5,0,0.1076
50,2,0.5,0,0.0997
50,3,0.5,0,0.0429
50,4,0.5,0,0.1411
50,5,0.5,0,0.0495
50,6,0.5,0,0.1463
50,7,0.5,0,0.0247
51,0,0.51,0,0.1604
51,1,0.51,0,0.0441
51,2,0.51,1,0.2271
51,3,0.51,1,0.227
51,4,0.51,0,0.0547
51,5,0.51,0,0.1696
51,6,0.51,0,0.2391
51,7,0.51,0,0.1876
52,0,0.52,0,0.125
52,1,0.52,1,0.1273
52,2,0.52,0,0.1561
52,3,0.52,0,0.021
52,4,0.52,0,0.1293
52,5,0.52,0,0.1488
52,6,0.52,0,0.2043
52,7,0.52,0,0.1107
53,0,0.53,0,0.2097
53,1,0.53,0,0.1875
53,2,0.53,0,0.1324
53,3,0.53,0,0.2904
53,4,0.53,0,0.221
53,5,0.53,1,0.2205
53,6,0.53,0,0.2794
53,7,0.53,0,0.0936
54,0,0.54,0,0.0594
54,1,0.54,0,0.1067
54,2,0.54,0,0.0534
54,3,0.54,0,0.2363
54,4,0.54,1,0.0777
54,5,0.54,0,0.0463
54,6,0.54,0,0.1085
54,7,0.54,0,0.0928
55,0,0.55,0,0.1101
55,1,0.55,0,0.2191
55,2,0.55,0,0.0906
55,3,0.55,0,0.2052
55,4,0.55,0,0.0748
55,5,0.55,0,0.1301
55,6,0.55,1,0.2722
55,7,0.55,0,0.2714
56,0,0.56,0,0.2029
56,1,0.56,1,0.2146
56,2,0.56,0,0.0831
56,3,0.56,1,0.2716
56,4,0.56,0,0.1819
56,5,0.56,0,0.0509
56,6,0.56,0,0.1678
56,7,0.56,0,0.1114
57,0,0.57,0,0.2571
57,1,0.57,0,0.163
