n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001847312500467524,0.00019481958006508648,5.461084692373867
1,1,0.00019717250019311904,0.000201297499879729,2.0920765738476508
1,2,0.00018964624992804603,0.0001933654199820012,1.9611091995577357
1,3,0.00018538667005486788,0.0001919491699663922,3.539898477912176
1,4,0.00018408875010209158,0.00019630666996818037,6.63697257942867
4,0,0.00017021625011693687,0.00020536875003017484,20.651670970949336
4,1,0.00016845749982167036,0.0002017833400168456,19.782936485733245
4,2,0.0001638637500582263,0.00020165166992228479,23.060573098462093
4,3,0.0001700070800143294,0.00020067208999535068,18.03748995538104
4,4,0.00016889082995476202,0.00020582249999279156,21.867184883822176
16,0,0.00017743333999533205,0.00022162666980875655,24.907004407732586
16,1,0.00018240541976410896,0.00020558292017085477,12.706585383657737
16,2,0.0001826775001245551,0.00022640334005700425,23.93608402930604
16,3,0.00016717708000214772,0.00021427667001262308,28.17347330738776
16,4,0.00016920416004722938,0.00021400458994321524,26.477144464699258
64,0,0.00024085917015327142,0.00027300957997795195,13.348219129137384
64,1,0.00022680708003463223,0.0002777533300104551,22.462371971828947
64,2,0.0002342120898538269,0.0002644024998880923,12.890201378206992
64,3,0.00021863750007469207,0.0002694320800947025,23.23232748392099
64,4,0.00023435207986040042,0.0002702383400173858,15.31296849524963
128,0,0.0002865958301117644,0.00033264458004850895,16.0674877644894
128,1,0.00028230124997207894,0.00031324584007961674,10.961549093600674
128,2,0.00028359875024762003,0.0003185966701130383,12.34064671824553
128,3,0.00027185958024347203,0.00032511625002371145,19.589771209292607
128,4,0.0002739854098763317,0.0003318583400687203,21.122632120633945
