step,env_id,time_s,value
0,0,0.0,-0.013421416282653809
0,1,0.0,0.11149343103170395
0,2,0.0,-1.118370771408081
0,3,0.0,0.7156282067298889
1,0,0.01,0.09122008085250854
1,1,0.01,0.015962736681103706
1,2,0.01,-0.8989061713218689
1,3,0.01,0.6068423390388489
2,0,0.02,0.327112078666687
2,1,0.02,0.0013581803068518639
2,2,0.02,-1.0487024784088135
2,3,0.02,0.5241540670394897
3,0,0.03,0.1481565535068512
3,1,0.03,-0.06935485452413559
3,2,0.03,-1.0921568870544434
3,3,0.03,0.43179094791412354
4,0,0.04,0.17760299146175385
4,1,0.04,0.016794264316558838
4,2,0.04,-1.0209660530090332
4,3,0.04,0.4484272599220276
5,0,0.05,0.07729192078113556
5,1,0.05,-0.08868358284235
5,2,0.05,-0.9015842080116272
5,3,0.05,0.5350331664085388
6,0,0.06,0.23534949123859406
6,1,0.06,0.008563297800719738
6,2,0.06,-0.9236913323402405
6,3,0.06,0.5877060294151306
7,0,0.07,0.081946462392807
7,1,0.07,0.19920802116394043
7,2,0.07,-1.0957355499267578
7,3,0.07,0.5493156313896179
8,0,0.08,0.22001643478870392
8,1,0.08,-0.1492544710636139
8,2,0.08,-0.9527410864830017
8,3,0.08,0.40013331174850464
9,0,0.09,0.11490805447101593
9,1,0.09,0.03189912438392639
9,2,0.09,-0.821882426738739
9,3,0.09,0.6268842816352844
10,0,0.1,0.14134396612644196
10,1,0.1,-0.05411817133426666
10,2,0.1,-0.9777019619941711
10,3,0.1,0.43619978427886963
11,0,0.11,0.13438132405281067
11,1,0.11,-0.032683201134204865
11,2,0.11,-0.9643984436988831
11,3,0.11,0.7150469422340393
12,0,0.12,0.1647290736436844
12,1,0.12,0.27036938071250916
12,2,0.12,-0.9159995913505554
12,3,0.12,0.5330395102500916
13,0,0.13,0.3085573613643646
13,1,0.13,-0.016157014295458794
13,2,0.13,-0.8788006901741028
13,3,0.13,0.42504534125328064
14,0,0.14,0.044425904750823975
14,1,0.14,0.07565513998270035
14,2,0.14,-0.9068365693092346
14,3,0.14,0.4725527763366699
15,0,0.15,0.18316273391246796
15,1,0.15,-0.15315784513950348
15,2,0.15,-1.197627305984497
15,3,0.15,0.41732192039489746
16,0,0.16,0.13128730654716492
16,1,0.16,0.049567703157663345
16,2,0.16,-1.1492098569869995
16,3,0.16,0.39436644315719604
17,0,0.17,0.1401050090789795
17,1,0.17,-0.01661163941025734
17,2,0.17,-0.8529729247093201
17,3,0.17,0.6493427753448486
18,0,0.18,0.18335819244384766
18,1,0.18,0.10246516019105911
18,2,0.18,-0.972681999206543
18,3,0.18,0.4807649850845337
19,0,0.19,0.26172855496406555
19,1,0.19,0.09785465151071548
19,2,0.19,-1.1014094352722168
19,3,0.19,0.6366117596626282
20,0,0.2,-0.10769080370664597
20,1,0.2,0.018321309238672256
20,2,0.2,-0.9390562772750854
20,3,0.2,0.5076199173927307
21,0,0.21,0.11047802865505219
21,1,0.21,-0.07120595872402191
21,2,0.21,-0.9873912334442139
21,3,0.21,0.5560370683670044
22,0,0.22,0.11641045659780502
22,1,0.22,-0.006293958052992821
22,2,0.22,-0.9855049848556519
22,3,0.22,0.5802887678146362
23,0,0.23,0.18430756032466888
23,1,0.23,-0.1513255536556244
23,2,0.23,-1.0746217966079712
23,3,0.23,0.5529373288154602
24,0,0.24,0.07664667814970016
24,1,0.24,0.33373263478279114
24,2,0.24,-0.9354441165924072
24,3,0.24,0.6329565644264221
25,0,0.25,0.022619178518652916
25,1,0.25,-0.10049016028642654
25,2,0.25,-0.8792963624000549
25,3,0.25,0.5293358564376831
26,0,0.26,0.029624661430716515
26,1,0.26,-0.0807916671037674
26,2,0.26,-0.9665322303771973
26,3,0.26,0.5327890515327454
27,0,0.27,0.10834643244743347
27,1,0.27,0.2054433375597
27,2,0.27,-1.0809944868087769
27,3,0.27,0.41438746452331543
28,0,0.28,0.03968331217765808
28,1,0.28,0.213369220495224
28,2,0.28,-1.1436052322387695
28,3,0.28,0.5432824492454529
29,0,0.29,0.10598082095384598
29,1,0.29,-0.11568920314311981
29,2,0.29,-1.035886526107788
29,3,0.29,0.6573155522346497
30,0,0.3,0.07554971426725388
30,1,0.3,-0.1097625195980072
30,2,0.3,-0.9974502325057983
30,3,0.3,0.4269239008426666
