step,env_id,time_s,value
0,0,0.0,-0.10862745344638824
0,1,0.0,-0.09799890965223312
0,2,0.0,0.13772964477539062
0,3,0.0,-0.10293000191450119
1,0,0.01,0.05442272871732712
1,1,0.01,-0.1844407618045807
1,2,0.01,0.22173438966274261
1,3,0.01,-0.08861267566680908
2,0,0.02,0.25191569328308105
2,1,0.02,0.05040626972913742
2,2,0.02,0.18043752014636993
2,3,0.02,-0.09889324754476547
3,0,0.03,0.16684721410274506
3,1,0.03,-0.06601132452487946
3,2,0.03,0.07490851730108261
3,3,0.03,0.015436610206961632
4,0,0.04,-0.17582522332668304
4,1,0.04,0.005052451975643635
4,2,0.04,-0.013958938419818878
4,3,0.04,-0.046892035752534866
5,0,0.05,0.002776410663500428
5,1,0.05,0.10763027518987656
5,2,0.05,-0.0011605587787926197
5,3,0.05,0.0635060966014862
6,0,0.06,-0.03326631709933281
6,1,0.06,0.0687025785446167
6,2,0.06,-0.1637597233057022
6,3,0.06,0.07084687799215317
7,0,0.07,-0.12745510041713715
7,1,0.07,-0.14958225190639496
7,2,0.07,0.008884785696864128
7,3,0.07,0.09052975475788116
8,0,0.08,0.1536451280117035
8,1,0.08,0.11030145734548569
8,2,0.08,-0.08653419464826584
8,3,0.08,0.051133546978235245
9,0,0.09,-0.18338216841220856
9,1,0.09,0.09221062809228897
9,2,0.09,0.06633932888507843
9,3,0.09,-0.2640252113342285
10,0,0.1,-0.0135353310033679
10,1,0.1,-0.05271902680397034
10,2,0.1,-0.08877092599868774
10,3,0.1,0.10223500430583954
11,0,0.11,0.03189213201403618
11,1,0.11,0.0007578725344501436
11,2,0.11,0.07531440258026123
11,3,0.11,0.058466557413339615
12,0,0.12,-0.1594458371400833
12,1,0.12,0.028572026640176773
12,2,0.12,0.00867767445743084
12,3,0.12,0.07073474675416946
13,0,0.13,0.02113036997616291
13,1,0.13,0.09357333928346634
13,2,0.13,-0.014753816649317741
13,3,0.13,0.03139165788888931
14,0,0.14,-0.0027379251550883055
14,1,0.14,-0.05340186879038811
14,2,0.14,-0.017237797379493713
14,3,0.14,0.057684242725372314
15,0,0.15,0.08793585002422333
15,1,0.15,0.1057845875620842
15,2,0.15,0.060378946363925934
15,3,0.15,0.08207152038812637
16,0,0.16,-0.08693354576826096
16,1,0.16,0.014552745036780834
16,2,0.16,0.056690722703933716
16,3,0.16,0.024494314566254616
17,0,0.17,-0.09010951220989227
17,1,0.17,-0.20335310697555542
17,2,0.17,-0.08297105878591537
17,3,0.17,-0.20878061652183533
18,0,0.18,-0.021801376715302467
18,1,0.18,0.033994585275650024
18,2,0.18,-0.07158534228801727
18,3,0.18,-0.09323843568563461
19,0,0.19,-0.022668002173304558
19,1,0.19,-0.02661317214369774
19,2,0.19,-0.1426333487033844
19,3,0.19,0.1154048815369606
20,0,0.2,-0.093683160841465
20,1,0.2,0.06429281830787659
20,2,0.2,0.20714741945266724
20,3,0.2,-0.01740468293428421
21,0,0.21,-0.11984449625015259
21,1,0.21,0.1530323177576065
21,2,0.21,0.07984020560979843
21,3,0.21,-0.05795406177639961
22,0,0.22,0.06239309161901474
22,1,0.22,0.02458629384636879
22,2,0.22,-0.01745511218905449
22,3,0.22,0.028540894389152527
23,0,0.23,-0.014676403254270554
23,1,0.23,-0.06453216075897217
23,2,0.23,-0.01596628874540329
23,3,0.23,0.07529854029417038
24,0,0.24,-0.15382017195224762
24,1,0.24,0.15797045826911926
24,2,0.24,0.08089794218540192
24,3,0.24,0.12002357840538025
25,0,0.25,-0.08067291229963303
25,1,0.25,-0.06962811201810837
25,2,0.25,0.08088096231222153
25,3,0.25,0.008017506450414658
26,0,0.26,-0.23072174191474915
26,1,0.26,-0.04217785596847534
26,2,0.26,-0.030082525685429573
26,3,0.26,0.028958002105355263
27,0,0.27,-0.11907974630594254
27,1,0.27,-0.03534359857439995
27,2,0.27,-0.202616348862648
27,3,0.27,0.06827522814273834
28,0,0.28,0.23913632333278656
28,1,0.28,-0.021310953423380852
28,2,0.28,-0.0740114375948906
28,3,0.28,-0.08273033052682877
29,0,0.29,0.09785146266222
29,1,0.29,0.08958806842565536
29,2,0.29,0.03573223948478699
29,3,0.29,-0.048942506313323975
30,0,0.3,-0.04391903430223465
30,1,0.3,0.0038926065899431705
30,2,0.3,0.06004251539707184
30,3,0.3,0.005426665768027306
31,0,0.31,-0.003359183669090271
31,1,0.31,-0.03221225365996361
31,2,0.31,0.02524072490632534
31,3,0.31,0.15127234160900116
32,0,0.32,-0.05263221636414528
32,1,0.32,0.11412905156612396
32,2,0.32,0.08082716912031174
32,3,0.32,-0.21777041256427765
33,0,0.33,0.03247653692960739
33,1,0.33,0.08770748227834702
33,2,0.33,0.11607211083173752
33,3,0.33,-0.021602049469947815
34,0,0.34,0.09046966582536697
34,1,0.34,-0.12648321688175201
34,2,0.34,-0.028137002140283585
34,3,0.34,0.05010713264346123
35,0,0.35,-0.05259624496102333
35,1,0.35,-0.03791332617402077
35,2,0.35,0.11333116888999939
35,3,0.35,-0.0738891214132309
36,0,0.36,0.09984077513217926
36,1,0.36,-0.07572454959154129
36,2,0.36,0.1150946319103241
36,3,0.36,0.003551705041900277
37,0,0.37,0.13219912350177765
37,1,0.37,0.08244290202856064
37,2,0.37,-0.011490916833281517
37,3,0.37,-0.050423670560121536
38,0,0.38,0.043691426515579224
38,1,0.38,0.003494842443615198
38,2,0.38,0.0926799401640892
38,3,0.38,0.1334516555070877
39,0,0.39,0.1331714242696762
39,1,0.39,-0.04554479196667671
39,2,0.39,0.0842435210943222
39,3,0.39,0.08956863731145859
40,0,0.4,0.18767409026622772
40,1,0.4,0.25111693143844604
40,2,0.4,-0.20209741592407227
40,3,0.4,0.01702326349914074
41,0,0.41,0.041125744581222534
41,1,0.41,-0.12318192422389984
41,2,0.41,-0.07023976743221283
41,3,0.41,0.06778464466333389
42,0,0.42,-0.04731571674346924
42,1,0.42,0.1530432254076004
42,2,0.42,-0.043318457901477814
42,3,0.42,-0.07808585464954376
43,0,0.43,0.019408389925956726
43,1,0.43,-0.01045325119048357
43,2,0.43,0.022709911689162254
43,3,0.43,0.03680407255887985
44,0,0.44,-0.030913792550563812
44,1,0.44,0.03244573995471001
44,2,0.44,0.09139334410429001
44,3,0.44,-0.004804015625268221
45,0,0.45,0.3408242464065552
45,1,0.45,-0.0008310968987643719
45,2,0.45,0.0064049940556287766
45,3,0.45,-0.1158924475312233
46,0,0.46,0.12493667006492615
46,1,0.46,-0.02222723886370659
46,2,0.46,0.25634628534317017
46,3,0.46,0.012859001755714417
47,0,0.47,-0.14273761212825775
47,1,0.47,0.0704713836312294
47,2,0.47,0.07917457073926926
47,3,0.47,-0.011425862088799477
48,0,0.48,-0.07487673312425613
48,1,0.48,-0.21933229267597198
48,2,0.48,0.004871946293860674
48,3,0.48,-0.008697587996721268
49,0,0.49,-0.13478411734104156
49,1,0.49,0.047947730869054794
49,2,0.49,0.059288784861564636
49,3,0.49,-0.21659860014915466
50,0,0.5,0.05211220681667328
50,1,0.5,-0.07679738104343414
50,2,0.5,-0.047497525811195374
50,3,0.5,-0.04929446056485176
51,0,0.51,0.14236903190612793
51,1,0.51,0.01869381219148636
51,2,0.51,-0.08638748526573181
51,3,0.51,-0.01377958245575428
52,0,0.52,0.057887736707925797
52,1,0.52,-0.06492776423692703
52,2,0.52,-0.06743385642766953
52,3,0.52,0.04496213421225548
53,0,0.53,0.027580654248595238
53,1,0.53,-0.03844651207327843
53,2,0.53,0.06764402240514755
53,3,0.53,0.007281274534761906
54,0,0.54,0.10076840966939926
54,1,0.54,-0.05780892074108124
54,2,0.54,-0.08887827396392822
54,3,0.54,-0.03761573135852814
55,0,0.55,-0.13254456222057343
55,1,0.55,-0.013470114208757877
55,2,0.55,0.11930596828460693
55,3,0.55,0.043559543788433075
56,0,0.56,0.08767703920602798
56,1,0.56,-0.016987131908535957
56,2,0.56,-0.022239912301301956
56,3,0.56,-0.06660373508930206
57,0,0.57,-0.0022073304280638695
57,1,0.57,-0.19175635278224945
57,2,0.57,0.03010811097919941
57,3,0.57,0.13441935181617737
58,0,0.58,-0.12266100198030472
58,1,0.58,0.03694538027048111
58,2,0.58,0.09433794021606445
58,3,0.58,0.0017942674458026886
59,0,0.59,-0.06638535857200623
59,1,0.59,-0.2199525237083435
59,2,0.59,0.053586624562740326
59,3,0.59,0.02936134859919548
60,0,0.6,-0.019671546295285225
60,1,0.6,-0.098512664437294
60,2,0.6,0.10810727626085281
60,3,0.6,-0.05760566145181656
61,0,0.61,-0.2079298496246338
61,1,0.61,-0.06934218108654022
61,2,0.61,0.11313839256763458
61,3,0.61,-0.05804508924484253
62,0,0.62,0.004852859303355217
62,1,0.62,-0.08971955627202988
62,2,0.62,0.027472171932458878
62,3,0.62,0.14435723423957825
63,0,0.63,-0.14510029554367065
63,1,0.63,0.1527467668056488
63,2,0.63,-0.11451170593500137
63,3,0.63,-0.08121529966592789
64,0,0.64,0.1070748120546341
64,1,0.64,-0.10543057322502136
64,2,0.64,-0.06809163093566895
64,3,0.64,-0.004497358575463295
65,0,0.65,-0.12728744745254517
65,1,0.65,-0.17482779920101166
65,2,0.65,-0.05351866036653519
65,3,0.65,-0.0257168747484684
66,0,0.66,0.09354153275489807
66,1,0.66,0.03326772525906563
66,2,0.66,-0.20414376258850098
66,3,0.66,-0.0931040495634079
67,0,0.67,0.011471044272184372
67,1,0.67,-0.11860537528991699
67,2,0.67,-0.13335151970386505
67,3,0.67,-0.1683470904827118
68,0,0.68,0.05268504470586777
68,1,0.68,-0.11712418496608734
68,2,0.68,0.012538082897663116
68,3,0.68,0.02980157546699047
69,0,0.69,0.025089392438530922
69,1,0.69,-0.07972294837236404
69,2,0.69,0.0937172994017601
69,3,0.69,0.07032142579555511
70,0,0.7,-0.2546018362045288
70,1,0.7,-0.1305147260427475
70,2,0.7,-0.007670658640563488
70,3,0.7,0.1751372069120407
71,0,0.71,-0.07486800849437714
71,1,0.71,-0.19767369329929352
71,2,0.71,-0.023454777896404266
71,3,0.71,-0.024540027603507042
72,0,0.72,-0.0976138487458229
72,1,0.72,-0.02956036478281021
72,2,0.72,0.05054616555571556
72,3,0.72,-0.008499054238200188
73,0,0.73,-0.12824736535549164
73,1,0.73,0.06539148837327957
73,2,0.73,-0.1224018931388855
73,3,0.73,-0.030427828431129456
74,0,0.74,-0.0598304346203804
74,1,0.74,0.01606368087232113
74,2,0.74,0.06578775495290756
74,3,0.74,-0.04434859752655029
75,0,0.75,0.04670707508921623
75,1,0.75,-0.04835643619298935
75,2,0.75,0.105245441198349
75,3,0.75,-0.14445003867149353
76,0,0.76,0.027568185701966286
76,1,0.76,-0.1721578687429428
76,2,0.76,-0.017961323261260986
76,3,0.76,-0.06482215225696564
