step,env_id,time_s,phase_offset_s
0,0,0.0,4.967274094269669e-07
0,1,0.0,3.6519836044135445e-07
0,2,0.0,1.9938056539103854e-07
0,3,0.0,4.6589218527515186e-07
1,0,0.01,2.9771149456792045e-07
1,1,0.01,6.755059871466074e-07
1,2,0.01,-1.2036508678647806e-08
1,3,0.01,7.053415629343363e-10
2,0,0.02,5.614657538899337e-07
2,1,0.02,8.426373483416683e-07
2,2,0.02,3.963442054555344e-07
2,3,0.02,1.4352694677199906e-07
3,0,0.03,3.4486623690099805e-07
3,1,0.03,7.347704240601161e-07
3,2,0.03,6.978993951634038e-07
3,3,0.03,-2.389448923167947e-07
4,0,0.04,3.1638910513720475e-07
4,1,0.04,7.751916086817801e-07
4,2,0.04,7.890498068263696e-07
4,3,0.04,-2.729610741880606e-07
5,0,0.05,4.722246558230836e-07
5,1,0.05,1.035358764056582e-06
5,2,0.05,3.8335539898071147e-07
5,3,0.05,-2.983192644023802e-07
6,0,0.06,4.1362096681041294e-07
6,1,0.06,1.1277661542408168e-06
6,2,0.06,4.153344264068437e-07
6,3,0.06,-2.9473309837158013e-07
7,0,0.07,1.291540456804796e-07
7,1,0.07,1.075059572031023e-06
7,2,0.07,8.201810715036117e-07
7,3,0.07,-1.714553832243837e-07
8,0,0.08,1.6549691395084665e-07
8,1,0.08,1.2441606713764486e-06
8,2,0.08,8.871352861206105e-07
8,3,0.08,3.2120237847266253e-07
9,0,0.09,-2.684269304609188e-07
9,1,0.09,1.729534460537252e-06
9,2,0.09,7.57709642584814e-07
9,3,0.09,5.555388611355738e-07
10,0,0.1,-5.730271368520334e-07
10,1,0.1,1.7710699466988444e-06
10,2,0.1,2.6157226784562226e-07
10,3,0.1,9.363623121316778e-07
11,0,0.11,-7.604545544381835e-07
11,1,0.11,1.6973682477328111e-06
11,2,0.11,-2.1221828205852944e-07
11,3,0.11,1.0717240002122708e-06
12,0,0.12,-7.379214821412461e-07
12,1,0.12,1.8306229776499094e-06
12,2,0.12,2.3944596705405274e-07
12,3,0.12,1.5506668660236755e-06
13,0,0.13,-8.721063977645827e-07
13,1,0.13,1.5789047438374837e-06
13,2,0.13,4.1048434695767355e-07
13,3,0.13,1.3600592865259387e-06
14,0,0.14,-9.560243370287935e-07
14,1,0.14,1.210575192089891e-06
14,2,0.14,4.1440591758146184e-07
14,3,0.14,1.7721781659929547e-06
15,0,0.15,-1.409301376043004e-06
15,1,0.15,1.2027132925140904e-06
15,2,0.15,4.304970957491605e-07
15,3,0.15,1.7812749320000876e-06
16,0,0.16,-1.6144324490596773e-06
16,1,0.16,1.1241723996135988e-06
16,2,0.16,2.930299558556726e-07
16,3,0.16,2.2739454834663775e-06
17,0,0.17,-1.5509506283706287e-06
17,1,0.17,1.0205419584963238e-06
17,2,0.17,7.159697190672887e-08
17,3,0.17,2.652747980391723e-06
18,0,0.18,-1.4162706065690145e-06
18,1,0.18,8.576784011893324e-07
18,2,0.18,5.714777557841444e-07
18,3,0.18,2.1660150650859578e-06
19,0,0.19,-9.42420967930957e-07
19,1,0.19,9.015172963700024e-07
19,2,0.19,3.0261676897680445e-07
19,3,0.19,1.8497119071980705e-06
20,0,0.2,-8.180113013622758e-07
20,1,0.2,1.3871341479898547e-06
20,2,0.2,3.380941109298874e-07
20,3,0.2,1.6398373645643005e-06
21,0,0.21,-7.059434778966533e-07
21,1,0.21,1.7269430827582255e-06
21,2,0.21,5.075847866464755e-07
21,3,0.21,1.429611415915133e-06
22,0,0.22,-3.9677297536400147e-07
22,1,0.22,1.557333462187671e-06
22,2,0.22,8.245199296652572e-07
22,3,0.22,1.8433174773235805e-06
23,0,0.23,-5.470537303153833e-07
23,1,0.23,1.989040811167797e-06
23,2,0.23,9.709684718473e-07
23,3,0.23,1.6272142602247186e-06
24,0,0.24,-1.0364949503127718e-06
24,1,0.24,2.4812345600366825e-06
24,2,0.24,1.3047966831436497e-06
24,3,0.24,1.7299757928412873e-06
25,0,0.25,-1.0497095672690193e-06
25,1,0.25,2.0699242213595426e-06
25,2,0.25,1.431794999007252e-06
25,3,0.25,1.294750404667866e-06
26,0,0.26,-1.0279985644956469e-06
26,1,0.26,1.8795038840835332e-06
26,2,0.26,1.4281667972682044e-06
26,3,0.26,1.5321269302148721e-06
27,0,0.27,-1.1957447441091063e-06
27,1,0.27,1.976118028323981e-06
27,2,0.27,1.3308193729244522e-06
27,3,0.27,1.4880006347084418e-06
28,0,0.28,-7.132618407013069e-07
28,1,0.28,1.6199675201278296e-06
28,2,0.28,9.14201393698022e-07
28,3,0.28,1.1554654975043377e-06
29,0,0.29,-1.1814761364803417e-06
29,1,0.29,1.8468253983883187e-06
29,2,0.29,7.945318998281437e-07
29,3,0.29,1.5461470184163773e-06
30,0,0.3,-1.5259581687132595e-06
30,1,0.3,1.3767114523943746e-06
30,2,0.3,6.849314218015934e-07
30,3,0.3,1.2328559932939243e-06
31,0,0.31,-1.924235675687669e-06
31,1,0.31,1.0080319725602749e-06
31,2,0.31,9.78312755250954e-07
31,3,0.31,1.291099465561274e-06
32,0,0.32,-2.011913466049009e-06
32,1,0.32,6.021851959303604e-07
32,2,0.32,1.1631136658252217e-06
32,3,0.32,1.7838183339335956e-06
33,0,0.33,-1.5613696859873016e-06
33,1,0.33,4.881555355495948e-07
33,2,0.33,6.689755878142023e-07
33,3,0.33,2.0561376459227176e-06
34,0,0.34,-1.4765219020773657e-06
34,1,0.34,4.967056952409621e-07
