n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001847312500467524,0.0002083312498871237,12.77531540245549
1,1,0.00019717250019311904,0.00021425458980957047,8.663525390062265
1,2,0.00018964624992804603,0.00021149792009964586,11.522331804552218
1,3,0.00018538667005486788,0.0002114454098045826,14.056425816377335
1,4,0.00018408875010209158,0.0002084204100538045,13.217353009469141
4,0,0.00017021625011693687,0.00021383624989539384,25.626225315438724
4,1,0.00016845749982167036,0.00021610666008200496,28.28556776087509
4,2,0.0001638637500582263,0.00022711041994625703,38.59710879651972
4,3,0.0001700070800143294,0.00022761166997952386,33.88364176382485
4,4,0.00016889082995476202,0.0002272066698060371,34.52871885755739
16,0,0.00017743333999533205,0.00021984791994327679,23.904515323366276
16,1,0.00018240541976410896,0.00021393834002083166,17.287271561065364
16,2,0.0001826775001245551,0.00024029791995417327,31.542154775673424
16,3,0.00016717708000214772,0.0002268424999783747,35.68995222040034
16,4,0.00016920416004722938,0.00022968499979469925,35.74429832610975
64,0,0.00024085917015327142,0.00027789499989012257,15.376549588410231
64,1,0.00022680708003463223,0.0002825366600882262,24.57135819793826
64,2,0.0002342120898538269,0.000290141669975128,23.879886028175175
64,3,0.00021863750007469207,0.0002939862498897128,34.46286652073853
64,4,0.00023435207986040042,0.0002859579198411666,22.02064518117651
128,0,0.0002865958301117644,0.00032083375001093375,11.946412439363664
128,1,0.00028230124997207894,0.0003174441700684838,12.448729893998237
128,2,0.00028359875024762003,0.00031395250000059604,10.70306188813353
128,3,0.00027185958024347203,0.00031529208004940304,15.97607844720194
128,4,0.0002739854098763317,0.00032743749994551763,19.50910090187376
