step,env_id,time_s,value
0,0,0.0,0.00012494402471929789
0,1,0.0,-0.00045807918650098145
0,2,0.0,0.0004876926832366735
0,3,0.0,-0.00024137891887221485
1,0,0.01,-0.0014437346253544092
1,1,0.01,-0.0014934760984033346
1,2,0.01,-0.00012448118650354445
1,3,0.01,0.00047810253454372287
2,0,0.02,0.00041178707033395767
2,1,0.02,-0.0016900827176868916
2,2,0.02,-0.0010623440612107515
2,3,0.02,-0.0007921854848973453
3,0,0.03,7.427329546771944e-05
3,1,0.03,-0.0014595689717680216
3,2,0.03,-0.00022389861987903714
3,3,0.03,-0.0003369464538991451
4,0,0.04,0.00036150991218164563
4,1,0.04,-0.0019675090443342924
4,2,0.04,0.0006306341965682805
4,3,0.04,-0.002293543191626668
5,0,0.05,0.00045706721721217036
5,1,0.05,-0.002233275678008795
5,2,0.05,0.0005806381814181805
5,3,0.05,-0.0006653973832726479
6,0,0.06,0.00043842793093062937
6,1,0.06,-0.0018295890185981989
6,2,0.06,-0.0011584279127418995
6,3,0.06,-0.0022954498417675495
7,0,0.07,-0.00145148322917521
7,1,0.07,-0.0023526859004050493
7,2,0.07,-0.0007893361616879702
7,3,0.07,-0.003842234145849943
8,0,0.08,-0.0010638298699632287
8,1,0.08,-0.00324274436570704
8,2,0.08,0.0005622580647468567
8,3,0.08,-0.0022629196755588055
9,0,0.09,-0.0004571611061692238
9,1,0.09,-0.003546128747984767
9,2,0.09,0.002242678077891469
9,3,0.09,-0.003521011443808675
10,0,0.1,-0.0006444101454690099
10,1,0.1,-0.004989756271243095
10,2,0.1,0.0006097129080444574
10,3,0.1,-0.0020281656179577112
11,0,0.11,-0.0011617483105510473
11,1,0.11,-0.003860853612422943
11,2,0.11,0.001848413492552936
11,3,0.11,-0.0015328028239309788
12,0,0.12,-3.6570592783391476e-05
12,1,0.12,-0.004407941829413176
12,2,0.12,0.002096370095387101
12,3,0.12,-0.0014303138013929129
13,0,0.13,-0.00081922224489972
13,1,0.13,-0.005758384242653847
13,2,0.13,0.0038744998164474964
13,3,0.13,-0.003167227376252413
14,0,0.14,-0.000884857086930424
14,1,0.14,-0.004098714329302311
14,2,0.14,0.0034411721862852573
14,3,0.14,-0.003053437452763319
15,0,0.15,0.000799447821918875
15,1,0.15,-0.0038521960377693176
15,2,0.15,0.004289322067052126
15,3,0.15,-0.004384941421449184
16,0,0.16,0.0002754927845671773
16,1,0.16,-0.004854210652410984
16,2,0.16,0.004290635231882334
16,3,0.16,-0.004588585812598467
17,0,0.17,0.0009114029235206544
17,1,0.17,-0.0037967930547893047
17,2,0.17,0.005425014533102512
17,3,0.17,-0.0038411342538893223
18,0,0.18,0.000619530794210732
18,1,0.18,-0.004402506165206432
18,2,0.18,0.005999373272061348
18,3,0.18,-0.005299507640302181
19,0,0.19,0.0004979556542821229
19,1,0.19,-0.004078391473740339
19,2,0.19,0.005493808537721634
19,3,0.19,-0.0054542990401387215
20,0,0.2,-0.00011463963892310858
20,1,0.2,-0.004824390169233084
20,2,0.2,0.006097788922488689
20,3,0.2,-0.005744508467614651
21,0,0.21,0.0005242471233941615
21,1,0.21,-0.0031377198174595833
21,2,0.21,0.0051980996504426
21,3,0.21,-0.005591103341430426
22,0,0.22,-0.0007087326957844198
22,1,0.22,-0.002123128157109022
22,2,0.22,0.004272243473678827
22,3,0.22,-0.004130149260163307
23,0,0.23,-0.0012987982481718063
23,1,0.23,-0.001854350441135466
23,2,0.23,0.0026270528323948383
23,3,0.23,-0.004361817613244057
24,0,0.24,-0.0014781525824218988
24,1,0.24,-0.0005906728329136968
24,2,0.24,0.004514776635915041
24,3,0.24,-0.002727529499679804
25,0,0.25,-0.001800244441255927
25,1,0.25,0.0010455686133354902
25,2,0.25,0.005273705814033747
25,3,0.25,-0.0032115019857883453
26,0,0.26,-0.0018766942666843534
26,1,0.26,0.00036125187762081623
26,2,0.26,0.0045098508708179
26,3,0.26,-0.005525347776710987
27,0,0.27,-0.0004522991366684437
27,1,0.27,-0.0012667664559558034
27,2,0.27,0.005189032293856144
