n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001847312500467524,0.0002038120900397189,10.328972487403977
1,1,0.00019717250019311904,0.0002245124999899417,13.866030896826246
1,2,0.00018964624992804603,0.00024734459002502264,30.424192473549056
1,3,0.00018538667005486788,0.00022035750007489696,18.863724133822004
1,4,0.00018408875010209158,0.00023089082998922094,25.42365020196723
4,0,0.00017021625011693687,0.00020908250007778406,22.83345446403999
4,1,0.00016845749982167036,0.00020430457982001827,21.2795987333872
4,2,0.0001638637500582263,0.00021631166018778458,32.007024195968775
4,3,0.0001700070800143294,0.0002001137498882599,17.709068276093504
4,4,0.00016889082995476202,0.00020714999991469085,22.653195540679544
16,0,0.00017743333999533205,0.00019668916997034102,10.852430538429564
16,1,0.00018240541976410896,0.00021087458997499198,15.607633944046201
16,2,0.0001826775001245551,0.00021540624991757794,17.916136235008356
16,3,0.00016717708000214772,0.00021217707981122658,26.91756537947711
16,4,0.00016920416004722938,0.00021335458004614338,26.092987303970805
64,0,0.00024085917015327142,0.0002684499998576939,11.455170956067393
64,1,0.00022680708003463223,0.00027655749989207834,21.935126473939654
64,2,0.0002342120898538269,0.00026509542018175123,13.186053011694993
64,3,0.00021863750007469207,0.00025847416021861135,18.220415130208714
64,4,0.00023435207986040042,0.00026351624983362855,12.444596177939077
128,0,0.0002865958301117644,0.00030625416984548793,6.859255323448828
128,1,0.00028230124997207894,0.0003125258401269093,10.70650241818615
128,2,0.00028359875024762003,0.0003229916701093316,13.890371458730414
128,3,0.00027185958024347203,0.0003249908398720436,19.54364072106205
128,4,0.0002739854098763317,0.00031215583003358917,13.931552112386711
