n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001847312500467524,0.00018113750003976748,-1.9453936494639588
1,1,0.00019717250019311904,0.00017169333004858346,-12.922273704284423
1,2,0.00018964624992804603,0.00017455374996643513,-7.958238018066356
1,3,0.00018538667005486788,0.00016699375002644955,-9.921382170020463
1,4,0.00018408875010209158,0.00016783625003881752,-8.828622093561279
4,0,0.00017021625011693687,0.00019419333984842523,14.086251879603937
4,1,0.00016845749982167036,0.00018050707993097603,7.152890267314546
4,2,0.0001638637500582263,0.00018077916989568622,10.322856538709333
4,3,0.0001700070800143294,0.00018512416019802913,8.892029780421822
4,4,0.00016889082995476202,0.00017985542013775556,6.492116940825291
16,0,0.00017743333999533205,0.00019091291003860532,7.59697700760629
16,1,0.00018240541976410896,0.00019482541014440358,6.809002932235485
16,2,0.0001826775001245551,0.00018956541985971854,3.770535359016332
16,3,0.00016717708000214772,0.00018893083994043992,13.01240573050608
16,4,0.00016920416004722938,0.0001870187500026077,10.528458609058907
64,0,0.00024085917015327142,0.00022174375015310944,-7.936347197409102
64,1,0.00022680708003463223,0.00022433917009038852,-1.0881097467798941
64,2,0.0002342120898538269,0.00022456540988059716,-4.118779683512622
64,3,0.00021863750007469207,0.00023403416998917236,7.042099323867316
64,4,0.00023435207986040042,0.00022502999985590577,-3.977809802263183
128,0,0.0002865958301117644,0.00028794749989174306,0.47162925554484375
128,1,0.00028230124997207894,0.0002983124999445863,5.671689365205055
128,2,0.00028359875024762003,0.0002958516700891778,4.320512636554046
128,3,0.00027185958024347203,0.00028795542020816357,5.9206447498655095
128,4,0.0002739854098763317,0.0002908137501799501,6.142057093921248
