n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001576762500917539,0.00029550333973020314,87.41144564146207
1,1,0.00015439582988619805,0.0002965908302576281,92.0976949158789
1,2,0.00016326208016835154,0.0002944000001298264,80.32356308718404
1,3,0.00015933125017909334,0.0002894641601596959,81.67444229197291
1,4,0.00016198166995309293,0.00028273207979509604,74.54572475822131
4,0,0.00016040332993725315,0.0002936016698367894,83.03963511957076
4,1,0.00016031625011237339,0.00151577874989016,845.4928922225148
4,2,0.0001557033398421481,0.00028711584018310533,84.39928165586113
4,3,0.00015833874989766626,0.0002939741700538434,85.66154541692278
4,4,0.0001607012501335703,0.00028958790993783624,80.20264913753878
16,0,0.00017350333015201614,0.0003085412498330697,77.83016012588298
16,1,0.00016779750003479422,0.00029560833994764837,76.16969256773879
16,2,0.00017503833019873129,0.00029930958990007637,70.99659803670009
16,3,0.00017710457992507146,0.00030476749991066755,72.08335325919131
16,4,0.0001732300000730902,0.00030856500001391396,78.12445874486083
64,0,0.00022952958010137082,0.00035925958974985405,56.51995250075763
64,1,0.0002151750001939945,0.0003492025000741705,62.287672712602
64,2,0.0002250458300113678,0.00034783791983500123,54.56314823404229
64,3,0.0002260062500135973,0.0003468741700635292,53.47990157027075
64,4,0.00022111958998721092,0.0003594874998088926,62.57605209456321
128,0,0.0002726274999440648,0.0004099750000750646,50.37918044187748
128,1,0.0002686724998056889,0.0004140470901620574,54.108474243365926
128,2,0.00027476624993141743,0.00041150332981487736,49.76487465894736
128,3,0.0002725474999169819,0.0004067300001042895,49.2327026401562
128,4,0.00027333792007993907,0.0004091683300794102,49.693218547849796
