step,env_id,time_s,value
0,0,0.0,-2.4787515940261073e-05
0,1,0.0,0.0018028462072834373
0,2,0.0,0.001909244921989739
0,3,0.0,-9.559607860865071e-06
1,0,0.01,0.00020583167497534305
1,1,0.01,0.0034009860828518867
1,2,0.01,-0.004583349917083979
1,3,0.01,0.0022865787614136934
2,0,0.02,-0.0011074661742895842
2,1,0.02,0.005667218007147312
2,2,0.02,-0.0036431753542274237
2,3,0.02,0.008105211891233921
3,0,0.03,-0.00021730829030275345
3,1,0.03,0.005997193045914173
3,2,0.03,0.001864012097939849
3,3,0.03,0.014280712231993675
4,0,0.04,-0.0007953955209814012
4,1,0.04,0.009701110422611237
4,2,0.04,0.002251923084259033
4,3,0.04,0.019636955112218857
5,0,0.05,-0.00023109029280021787
5,1,0.05,0.009946431033313274
5,2,0.05,0.0007248796755447984
5,3,0.05,0.012239305302500725
6,0,0.06,-0.0008717990713194013
6,1,0.06,0.008270922116935253
6,2,0.06,-0.0005491359625011683
6,3,0.06,0.011311541311442852
7,0,0.07,-0.0012105990899726748
7,1,0.07,0.008921755477786064
7,2,0.07,0.003495407523587346
7,3,0.07,0.013776363804936409
8,0,0.08,-0.0027861520648002625
8,1,0.08,0.007146064192056656
8,2,0.08,0.005485376343131065
8,3,0.08,0.011375640518963337
9,0,0.09,-0.003252082969993353
9,1,0.09,0.007170381490141153
9,2,0.09,0.0023689777590334415
9,3,0.09,0.013018372468650341
10,0,0.1,-0.0029482494574040174
10,1,0.1,0.007959268987178802
10,2,0.1,0.008975866250693798
10,3,0.1,0.012072012759745121
11,0,0.11,-0.0010945540852844715
11,1,0.11,0.006881395820528269
11,2,0.11,0.00853145495057106
11,3,0.11,0.007733592297881842
12,0,0.12,-0.0004398035816848278
12,1,0.12,0.008657376281917095
12,2,0.12,0.00472619291394949
12,3,0.12,0.0006086514331400394
13,0,0.13,0.0013450186233967543
13,1,0.13,0.00598896062001586
13,2,0.13,0.0007420536130666733
