altitude_m,diameter_m,delta_Fz_N
0.01,0.06,0.08829
0.015,0.06,0.08829
0.02,0.06,0.043857
0.025,0.06,0.026548
0.03,0.06,0.017914
0.035,0.06,0.012943
0.04,0.06,0.009804
0.045,0.06,0.007692
0.05,0.06,0.006199
0.055,0.06,0.005104
0.059,0.06,0.004277
0.064,0.06,0.003637
0.069,0.06,0.00313
0.074,0.06,0.002723
0.079,0.06,0.002391
0.084,0.06,0.002116
0.089,0.06,0.001886
0.094,0.06,0.001692
0.099,0.06,0.001526
0.104,0.06,0.001384
0.109,0.06,0.00126
0.114,0.06,0.001153
0.119,0.06,0.001058
0.124,0.06,0.000975
0.129,0.06,0.000901
0.134,0.06,0.000836
0.139,0.06,0.000777
0.144,0.06,0.000724
0.149,0.06,0.000677
0.154,0.06,0.000634
0.158,0.06,0.000594
0.163,0.06,0.000559
0.168,0.06,0.000527
0.173,0.06,0.000497
0.178,0.06,0.00047
0.183,0.06,0.0
0.188,0.06,0.0
0.193,0.06,0.0
0.198,0.06,0.0
0.203,0.06,0.0
0.208,0.06,0.0
0.213,0.06,0.0
0.218,0.06,0.0
0.223,0.06,0.0
0.228,0.06,0.0
0.233,0.06,0.0
0.238,0.06,0.0
0.243,0.06,0.0
0.248,0.06,0.0
0.253,0.06,0.0
0.257,0.06,0.0
0.262,0.06,0.0
0.267,0.06,0.0
0.272,0.06,0.0
0.277,0.06,0.0
0.282,0.06,0.0
0.287,0.06,0.0
0.292,0.06,0.0
0.297,0.06,0.0
0.302,0.06,0.0
0.307,0.06,0.0
0.312,0.06,0.0
0.317,0.06,0.0
0.322,0.06,0.0
0.327,0.06,0.0
0.332,0.06,0.0
0.337,0.06,0.0
0.342,0.06,0.0
0.347,0.06,0.0
0.352,0.06,0.0
0.356,0.06,0.0
0.361,0.06,0.0
0.366,0.06,0.0
0.371,0.06,0.0
0.376,0.06,0.0
0.381,0.06,0.0
0.386,0.06,0.0
0.391,0.06,0.0
0.396,0.06,0.0
0.401,0.06,0.0
0.406,0.06,0.0
0.411,0.06,0.0
0.416,0.06,0.0
0.421,0.06,0.0
0.426,0.06,0.0
0.431,0.06,0.0
0.436,0.06,0.0
0.441,0.06,0.0
0.446,0.06,0.0
0.451,0.06,0.0
0.455,0.06,0.0
0.46,0.06,0.0
0.465,0.06,0.0
0.47,0.06,0.0
0.475,0.06,0.0
0.48,0.06,0.0
0.485,0.06,0.0
0.49,0.06,0.0
