step,env_id,time_s,theta_x_rad,theta_dot_x_rads
0,0,0.0,-0.003810989437624812,0.0004001498455181718
0,1,0.0,-0.06411906331777573,0.007668282836675644
0,2,0.0,0.0539541132748127,-0.007975835353136063
0,3,0.0,0.05607219785451889,-0.006641837768256664
1,0,0.01,-0.0038029905408620834,0.0007998800138011575
1,1,0.01,-0.06396578997373581,0.015327418223023415
1,2,0.01,0.05379471555352211,-0.01593990996479988
1,3,0.01,0.0559394396841526,-0.013275825418531895
2,0,0.02,-0.0037910027895122766,0.0011987711768597364
2,1,0.02,-0.06373611092567444,0.022968269884586334
2,2,0.02,0.05355590954422951,-0.023880477994680405
2,3,0.02,0.05574049800634384,-0.019894123077392578
3,0,0.03,-0.003775038756430149,0.0015964049380272627
3,1,0.03,-0.0634302943944931,0.030581723898649216
3,2,0.03,0.05323805287480354,-0.03178583085536957
3,3,0.03,0.05547560751438141,-0.026488907635211945
4,0,0.04,-0.003755115205422044,0.001992364414036274
4,1,0.04,-0.06304870545864105,0.03815869614481926
4,2,0.04,0.052841611206531525,-0.039644308388233185
4,3,0.04,0.055145084857940674,-0.03305238485336304
5,0,0.05,-0.003731252858415246,0.002386234002187848
5,1,0.05,-0.0625918060541153,0.0456901453435421
5,2,0.05,0.05236716940999031,-0.04744432121515274
5,3,0.05,0.05474931746721268,-0.03957679867744446
6,0,0.06,-0.0037034768611192703,0.002777600660920143
6,1,0.06,-0.06206013634800911,0.05316708981990814
6,2,0.06,0.051815424114465714,-0.055174365639686584
6,3,0.06,0.054288774728775024,-0.04605443403124809
7,0,0.07,-0.0036718163173645735,0.0031660539098083973
7,1,0.07,-0.06145432963967323,0.060580603778362274
7,2,0.07,0.051187194883823395,-0.06282304227352142
7,3,0.07,0.05376399680972099,-0.0524776317179203
8,0,0.08,-0.003636304521933198,0.00355118652805686
8,1,0.08,-0.060775112360715866,0.06792183965444565
8,2,0.08,0.05048340559005737,-0.07037906348705292
8,3,0.08,0.053175609558820724,-0.058838799595832825
9,0,0.09,-0.0035969784948974848,0.003932594321668148
9,1,0.09,-0.060023292899131775,0.07518204301595688
9,2,0.09,0.04970509186387062,-0.07783128321170807
9,3,0.09,0.05252430588006973,-0.06513042002916336
10,0,0.1,-0.0035538796801120043,0.004309877287596464
10,1,0.1,-0.05919976904988289,0.08235254138708115
10,2,0.1,0.04885340481996536,-0.08516870439052582
10,3,0.1,0.0518108569085598,-0.07134505361318588
11,0,0.11,-0.0035070532467216253,0.004682639613747597
11,1,0.11,-0.0583055205643177,0.08942477405071259
11,2,0.11,0.04792959988117218,-0.09238050132989883
11,3,0.11,0.051036104559898376,-0.07747534662485123
12,0,0.12,-0.003456548321992159,0.005050490610301495
12,1,0.12,-0.05734161660075188,0.09639029949903488
12,2,0.12,0.04693504050374031,-0.09945603460073471
12,3,0.12,0.050200965255498886,-0.08351404964923859
13,0,0.13,-0.003402417991310358,0.00541304424405098
13,1,0.13,-0.056309208273887634,0.10324079543352127
13,2,0.13,0.04587119072675705,-0.10638485103845596
13,3,0.13,0.04930642619729042,-0.08945401757955551
14,0,0.14,-0.0033447188325226307,0.005769920069724321
14,1,0.14,-0.055209528654813766,0.10996808111667633
14,2,0.14,0.04473962262272835,-0.11315672844648361
14,3,0.14,0.04835354536771774,-0.0952882319688797
15,0,0.15,-0.003283511381596327,0.006120743695646524
15,1,0.15,-0.05404388904571533,0.11656412482261658
15,2,0.15,0.043542005121707916,-0.11976166814565659
15,3,0.15,0.04734344780445099,-0.1010097861289978
16,0,0.16,-0.003218859899789095,0.006465147715061903
16,1,0.16,-0.05281367897987366,0.12302104383707047
16,2,0.16,0.042280107736587524,-0.1261899173259735
16,3,0.16,0.046277329325675964,-0.10661190748214722
17,0,0.17,-0.0031508321408182383,0.006802770309150219
17,1,0.17,-0.051520366221666336,0.12933112680912018
17,2,0.17,0.040955789387226105,-0.1324319839477539
17,3,0.17,0.04515644907951355,-0.11208796501159668
18,0,0.18,-0.0030794995836913586,0.0071332575753331184
18,1,0.18,-0.05016549676656723,0.13548682630062103
18,2,0.18,0.03957100212574005,-0.13847863674163818
18,3,0.18,0.04398213326931,-0.11743147671222687
19,0,0.19,-0.0030049369670450687,0.0074562630616128445
19,1,0.19,-0.04875068739056587,0.14148077368736267
19,2,0.19,0.03812779113650322,-0.14432094991207123
19,3,0.19,0.042755771428346634,-0.12263611704111099
20,0,0.2,-0.0029272225219756365,0.007771447766572237
20,1,0.2,-0.047277629375457764,0.14730581641197205
20,2,0.2,0.03662828728556633,-0.1499502956867218
20,3,0.2,0.04147881269454956,-0.1276957243680954
21,0,0.21,-0.0028464377392083406,0.008078481070697308
21,1,0.21,-0.04574808105826378,0.15295498073101044
21,2,0.21,0.03507470339536667,-0.15535834431648254
21,3,0.21,0.04015276953577995,-0.13260431587696075
22,0,0.22,-0.0027626673690974712,0.00837704073637724
22,1,0.22,-0.044163867831230164,0.15842151641845703
22,2,0.22,0.03346933424472809,-0.16053710877895355
22,3,0.22,0.038779210299253464,-0.13735605776309967
23,0,0.23,-0.0026759991887956858,0.008666814304888248
23,1,0.23,-0.04252687841653824,0.16369886696338654
23,2,0.23,0.03181454539299011,-0.1654789298772812
23,3,0.23,0.037359755486249924,-0.14194534718990326
24,0,0.24,-0.002586524235084653,0.008947497233748436
24,1,0.24,-0.040839072316884995,0.16878072917461395
24,2,0.24,0.03011278063058853,-0.17017650604248047
24,3,0.24,0.03589608892798424,-0.14636673033237457
25,0,0.25,-0.002494336338713765,0.009218795225024223
25,1,0.25,-0.0391024611890316,0.1736610233783722
25,2,0.25,0.02836655080318451,-0.17462289333343506
25,3,0.25,0.03438993915915489,-0.15061496198177338
26,0,0.26,-0.002399532124400139,0.009480423294007778
26,1,0.26,-0.0373191237449646,0.17833389341831207
26,2,0.26,0.02657843567430973,-0.17881150543689728
26,3,0.26,0.03284309059381485,-0.15468502044677734
27,0,0.27,-0.0023022110108286142,0.009732107631862164
27,1,0.27,-0.03549118712544441,0.1827937513589859
27,2,0.27,0.024751074612140656,-0.18273614346981049
27,3,0.27,0.03125736862421036,-0.15857207775115967
28,0,0.28,-0.0022024752106517553,0.009973583742976189
28,1,0.28,-0.03362083435058594,0.18703524768352509
28,2,0.28,0.02288716472685337,-0.18639101088047028
28,3,0.28,0.02963465265929699,-0.16227151453495026
29,0,0.29,-0.0021004292648285627,0.010204599238932133
29,1,0.29,-0.03171030059456825,0.19105331599712372
29,2,0.29,0.02098945714533329,-0.1897706836462021
29,3,0.29,0.027976863086223602,-0.1657789647579193
30,0,0.3,-0.0019961800426244736,0.010424911044538021
30,1,0.3,-0.029761869460344315,0.194843128323555
30,2,0.3,0.019060755148530006,-0.19287018477916718
30,3,0.3,0.026285961270332336,-0.16909025609493256
31,0,0.31,-0.0018898372072726488,0.010634288191795349
31,1,0.31,-0.027777867391705513,0.19840015470981598
31,2,0.31,0.017103906720876694,-0.19568490982055664
31,3,0.31,0.024563945829868317,-0.17220145463943481
32,0,0.32,-0.001781512051820755,0.010832510888576508
32,1,0.32,-0.02576066553592682,0.20172011852264404
32,2,0.32,0.015121799893677235,-0.1982106864452362
32,3,0.32,0.02281285636126995,-0.1751088798046112
33,0,0.33,-0.001671318314038217,0.011019372381269932
33,1,0.33,-0.023712676018476486,0.20479904115200043
33,2,0.33,0.013117361813783646,-0.2004437893629074
33,3,0.33,0.021034765988588333,-0.17780908942222595
34,0,0.34,-0.0015593715943396091,0.011194675229489803
34,1,0.34,-0.021636344492435455,0.20763324201107025
34,2,0.34,0.01109355315566063,-0.20238091051578522
34,3,0.34,0.019231777638196945,-0.18029886484146118
35,0,0.35,-0.0014457892393693328,0.011358235962688923
35,1,0.35,-0.019534152001142502,0.21021930873394012
35,2,0.35,0.009053361602127552,-0.20401917397975922
35,3,0.35,0.017406025901436806,-0.1825752556324005
36,0,0.36,-0.0013306904584169388,0.011509883217513561
36,1,0.36,-0.01740861125290394,0.21255414187908173
36,2,0.36,0.006999799981713295,-0.2053561508655548
36,3,0.36,0.015559670515358448,-0.18463556468486786
37,0,0.37,-0.0012141958577558398,0.01164945773780346
37,1,0.37,-0.015262261964380741,0.2146349549293518
37,2,0.37,0.004935901612043381,-0.2063898742198944
37,3,0.37,0.013694897294044495,-0.18647734820842743
38,0,0.38,-0.0010964276734739542,0.011776813305914402
38,1,0.38,-0.013097669929265976,0.2164592444896698
38,2,0.38,0.0028647135477513075,-0.20711880922317505
38,3,0.38,0.011813913471996784,-0.18809841573238373
39,0,0.39,-0.0009775095386430621,0.01189181674271822
39,1,0.39,-0.01091742143034935,0.21802480518817902
39,2,0.39,0.0007892949506640434,-0.20754186809062958
39,3,0.39,0.009918944910168648,-0.18949684500694275
40,0,0.4,-0.0008575660758651793,0.011994346976280212
40,1,0.4,-0.008724123239517212,0.21932977437973022
40,2,0.4,-0.001287289196625352,-0.20765842497348785
40,3,0.4,0.008012235164642334,-0.19067096710205078
41,0,0.41,-0.0007367231301032007,0.012084295973181725
41,1,0.41,-0.006520397495478392,0.22037258744239807
41,2,0.41,-0.0033619722817093134,-0.20746831595897675
41,3,0.41,0.0060960412956774235,-0.1916193962097168
42,0,0.42,-0.0006151074194349349,0.012161570601165295
42,1,0.42,-0.0043088775128126144,0.22115199267864227
42,2,0.42,-0.005431690253317356,-0.20697182416915894
42,3,0.42,0.004172631539404392,-0.19234099984169006
43,0,0.43,-0.0004928465350531042,0.012226088903844357
43,1,0.43,-0.00209220708347857,0.22166705131530762
43,2,0.43,-0.007493386976420879,-0.20616967976093292
43,3,0.43,0.002244282281026244,-0.19283492863178253
44,0,0.44,-0.00037006870843470097,0.012277782894670963
44,1,0.44,0.00012696417979896069,0.22191713750362396
44,2,0.44,-0.009544017724692822,-0.2050630748271942
44,3,0.44,0.00031327642500400543,-0.19310058653354645
45,0,0.45,-0.00024690269492566586,0.012316599488258362
45,1,0.45,0.0023459838703274727,0.22190196812152863
45,2,0.45,-0.011580553837120533,-0.20365363359451294
45,3,0.45,-0.001618100330233574,-0.19313767552375793
46,0,0.46,-0.00012347773008514196,0.012342496775090694
46,1,0.46,0.004562199115753174,0.2216215431690216
46,2,0.46,-0.01359998807311058,-0.20194345712661743
46,3,0.46,-0.0035475618205964565,-0.19294613599777222
47,0,0.47,7.674680091440678e-08,0.012355448678135872
47,1,0.47,0.006772961467504501,0.22107620537281036
47,2,0.47,-0.015599338337779045,-0.19993507862091064
47,3,0.47,-0.005472823977470398,-0.1925262063741684
48,0,0.48,0.00012363115092739463,0.0123554402962327
48,1,0.48,0.008975627832114697,0.22026661038398743
48,2,0.48,-0.01757565326988697,-0.19763146340847015
48,3,0.48,-0.007391607854515314,-0.19187837839126587
49,0,0.49,0.00024705586838535964,0.012342472560703754
49,1,0.49,0.011167565360665321,0.2191937416791916
49,2,0.49,-0.019526014104485512,-0.19503602385520935
49,3,0.49,-0.009301641955971718,-0.19100341200828552
50,0,0.5,0.0003702214453369379,0.012316559441387653
50,1,0.5,0.013346154242753983,0.21785886585712433
50,2,0.5,-0.02144753932952881,-0.19215260446071625
50,3,0.5,-0.01120066549628973,-0.18990236520767212
51,0,0.51,0.0004929987480863929,0.012277727015316486
51,1,0.51,0.01550878956913948,0.21626359224319458
51,2,0.51,-0.02333739399909973,-0.18898548185825348
51,3,0.51,-0.013086430728435516,-0.18857653439044952
52,0,0.52,0.0006152589339762926,0.012226017192006111
52,1,0.52,0.017652887850999832,0.21440984308719635
52,2,0.52,-0.025192787870764732,-0.1855393350124359
52,3,0.52,-0.014956705272197723,-0.1870274841785431
53,0,0.53,0.0007368737715296447,0.01216148305684328
53,1,0.53,0.019775886088609695,0.21229983866214752
53,2,0.53,-0.027010980993509293,-0.18181926012039185
53,3,0.53,-0.01680927537381649,-0.18525707721710205
54,0,0.54,0.0008577157277613878,0.012084193527698517
54,1,0.54,0.021875247359275818,0.20993611216545105
54,2,0.54,-0.02878928929567337,-0.177830770611763
54,3,0.54,-0.018641948699951172,-0.18326739966869354
55,0,0.55,0.0009776579681783915,0.011994228698313236
55,1,0.55,0.023948462679982185,0.20732149481773376
55,2,0.55,-0.03052508644759655,-0.17357975244522095
55,3,0.55,-0.020452557131648064,-0.1810608208179474
56,0,0.56,0.0010965748224407434,0.011891682632267475
56,1,0.56,0.02599305287003517,0.20445911586284637
56,2,0.56,-0.03221581131219864,-0.16907250881195068
56,3,0.56,-0.0222389567643404,-0.1786399483680725
57,0,0.57,0.0012143414933234453,0.011776664294302464
57,1,0.57,0.028006576001644135,0.20135241746902466
57,2,0.57,-0.03385896980762482,-0.16431570053100586
57,3,0.57,-0.023999033495783806,-0.17600765824317932
58,0,0.58,0.0013308344641700387,0.011649292893707752
58,1,0.58,0.029986627399921417,0.19800512492656708
58,2,0.58,-0.035452134907245636,-0.15931636095046997
58,3,0.58,-0.02573070488870144,-0.17316707968711853
59,0,0.59,0.0014459314988926053,0.011509702540934086
59,1,0.59,0.031930841505527496,0.19442124664783478
59,2,0.59,-0.03699295222759247,-0.15408189594745636
59,3,0.59,-0.027431920170783997,-0.17012158036231995
60,0,0.6,0.0015595118748024106,0.011358040384948254
60,1,0.6,0.03383689373731613,0.19060508906841278
60,2,0.6,-0.03847915306687355,-0.14862002432346344
60,3,0.6,-0.02910066768527031,-0.16687476634979248
61,0,0.61,0.0016714564990252256,0.01119446475058794
61,1,0.61,0.035702504217624664,0.1865612119436264
61,2,0.61,-0.03990853950381279,-0.14293882250785828
61,3,0.61,-0.030734973028302193,-0.16343049705028534
62,0,0.62,0.0017816480249166489,0.011019147001206875
62,1,0.62,0.03752544894814491,0.18229447305202484
62,2,0.62,-0.041279006749391556,-0.1370466947555542
62,3,0.62,-0.032332900911569595,-0.15979285538196564
63,0,0.63,0.0018899707356467843,0.010832271538674831
63,1,0.63,0.03930354863405228,0.1778099685907364
63,2,0.63,-0.04258853197097778,-0.13095234334468842
63,3,0.63,-0.03389256075024605,-0.1559661626815796
64,0,0.64,0.0019963111262768507,0.010634033940732479
64,1,0.64,0.04103467985987663,0.17311307787895203
64,2,0.64,-0.04383517801761627,-0.1246647760272026
64,3,0.64,-0.03541211038827896,-0.15195494890213013
65,0,0.65,0.002100557554513216,0.010424642823636532
65,1,0.65,0.042716775089502335,0.16820943355560303
65,2,0.65,-0.04501711204648018,-0.11819327622652054
65,3,0.65,-0.03688975051045418,-0.14776396751403809
66,0,0.66,0.0022026007063686848,0.010204317048192024
66,1,0.66,0.04434782266616821,0.16310489177703857
