step,env_id,time_s,value
0,0,0.0,-0.011547116562724113
0,1,0.0,0.1789959967136383
0,2,0.0,-0.02587016671895981
0,3,0.0,-0.16836291551589966
1,0,0.01,0.03479409217834473
1,1,0.01,0.22397637367248535
1,2,0.01,0.07452376931905746
1,3,0.01,-0.07168218493461609
2,0,0.02,0.09487096965312958
2,1,0.02,0.03006187081336975
2,2,0.02,0.11419473588466644
2,3,0.02,0.044080913066864014
3,0,0.03,0.1681722104549408
3,1,0.03,0.18055766820907593
3,2,0.03,0.09330707788467407
3,3,0.03,0.25988340377807617
4,0,0.04,-0.08310213685035706
4,1,0.04,0.11053548753261566
4,2,0.04,0.033969659358263016
4,3,0.04,0.3450777232646942
5,0,0.05,-0.006226174533367157
5,1,0.05,-0.019898056983947754
5,2,0.05,0.08592739701271057
5,3,0.05,0.34642651677131653
6,0,0.06,0.041293155401945114
6,1,0.06,0.132135808467865
6,2,0.06,0.06352405995130539
6,3,0.06,0.5867935419082642
7,0,0.07,-0.03168921545147896
7,1,0.07,-0.00759415328502655
7,2,0.07,0.013661816716194153
7,3,0.07,0.7353643178939819
8,0,0.08,0.02184770628809929
8,1,0.08,-0.08165319263935089
8,2,0.08,-0.07853513211011887
8,3,0.08,0.33518099784851074
9,0,0.09,0.15299734473228455
9,1,0.09,-0.015726499259471893
9,2,0.09,-0.17332664132118225
9,3,0.09,0.28552356362342834
10,0,0.1,0.28380855917930603
10,1,0.1,0.1529756784439087
10,2,0.1,-0.1958184391260147
10,3,0.1,0.3536120653152466
11,0,0.11,0.3180239200592041
11,1,0.11,0.26080992817878723
11,2,0.11,-0.14469371736049652
11,3,0.11,0.11377258598804474
12,0,0.12,0.3020864427089691
12,1,0.12,0.34408459067344666
12,2,0.12,-0.19976398348808289
12,3,0.12,0.36996281147003174
13,0,0.13,0.27972379326820374
13,1,0.13,0.36638307571411133
13,2,0.13,-0.30203777551651
13,3,0.13,0.38467565178871155
14,0,0.14,0.30404743552207947
14,1,0.14,0.2048138976097107
14,2,0.14,-0.15257970988750458
14,3,0.14,0.3170514702796936
15,0,0.15,0.2446332424879074
15,1,0.15,0.30832839012145996
15,2,0.15,-0.07191186398267746
15,3,0.15,0.5382676124572754
16,0,0.16,0.34957802295684814
16,1,0.16,0.4854966998100281
16,2,0.16,-0.10016072541475296
16,3,0.16,0.6680287718772888
17,0,0.17,0.30239400267601013
17,1,0.17,0.43620553612709045
17,2,0.17,-0.06705070286989212
17,3,0.17,0.9458582401275635
