step,env_id,time_s,force_magnitude_N,active
0,0,0.0,0.0,0
0,1,0.0,0.0,0
0,2,0.0,0.0,0
0,3,0.0,0.0,0
0,4,0.0,0.0,0
0,5,0.0,0.0,0
0,6,0.0,0.0,0
0,7,0.0,0.0,0
1,0,0.01,0.0,0
1,1,0.01,0.0,0
1,2,0.01,0.0,0
1,3,0.01,0.0,0
1,4,0.01,0.0,0
1,5,0.01,0.0,0
1,6,0.01,0.0,0
1,7,0.01,0.0,0
2,0,0.02,0.0,0
2,1,0.02,0.0,0
2,2,0.02,0.0,0
2,3,0.02,0.0,0
2,4,0.02,0.0,0
2,5,0.02,0.0,0
2,6,0.02,0.0,0
2,7,0.02,0.0,0
3,0,0.03,0.0,0
3,1,0.03,0.0,0
3,2,0.03,0.0,0
3,3,0.03,0.0,0
3,4,0.03,0.0,0
3,5,0.03,0.0,0
3,6,0.03,0.0,0
3,7,0.03,0.0,0
4,0,0.04,8.201040267944336,1
4,1,0.04,0.0,0
4,2,0.04,0.0,0
4,3,0.04,0.0,0
4,4,0.04,0.0,0
4,5,0.04,0.0,0
4,6,0.04,0.0,0
4,7,0.04,0.0,0
5,0,0.05,8.201040267944336,1
5,1,0.05,0.0,0
5,2,0.05,0.0,0
5,3,0.05,0.0,0
5,4,0.05,0.0,0
5,5,0.05,6.4513092041015625,1
5,6,0.05,0.0,0
5,7,0.05,0.0,0
6,0,0.06,8.201040267944336,1
6,1,0.06,0.0,0
6,2,0.06,0.0,0
6,3,0.06,0.0,0
6,4,0.06,0.0,0
6,5,0.06,6.4513092041015625,1
6,6,0.06,0.0,0
6,7,0.06,0.0,0
7,0,0.07,0.0,0
7,1,0.07,0.0,0
7,2,0.07,0.0,0
7,3,0.07,5.310193061828613,1
7,4,0.07,0.0,0
7,5,0.07,6.4513092041015625,1
7,6,0.07,0.0,0
7,7,0.07,0.0,0
8,0,0.08,7.110121726989746,1
8,1,0.08,0.0,0
8,2,0.08,0.0,0
8,3,0.08,5.310193061828613,1
8,4,0.08,0.0,0
8,5,0.08,6.4513092041015625,1
8,6,0.08,0.0,0
8,7,0.08,4.827784061431885,1
9,0,0.09,7.110121726989746,1
9,1,0.09,0.0,0
9,2,0.09,0.0,0
9,3,0.09,5.310193061828613,1
9,4,0.09,0.0,0
9,5,0.09,6.4513092041015625,1
9,6,0.09,0.0,0
9,7,0.09,4.827784061431885,1
10,0,0.1,7.110121726989746,1
10,1,0.1,0.0,0
10,2,0.1,0.0,0
10,3,0.1,5.310193061828613,1
10,4,0.1,0.0,0
10,5,0.1,6.4513092041015625,1
10,6,0.1,0.0,0
10,7,0.1,4.827784061431885,1
11,0,0.11,7.110121726989746,1
11,1,0.11,2.5211453437805176,1
11,2,0.11,7.996190547943115,1
11,3,0.11,5.310193061828613,1
11,4,0.11,0.0,0
11,5,0.11,6.4513092041015625,1
11,6,0.11,0.0,0
11,7,0.11,4.827784061431885,1
12,0,0.12,7.110121726989746,1
12,1,0.12,2.5211453437805176,1
12,2,0.12,7.996190547943115,1
12,3,0.12,5.310193061828613,1
12,4,0.12,3.5427792072296143,1
12,5,0.12,6.4513092041015625,1
12,6,0.12,0.0,0
12,7,0.12,4.827784061431885,1
13,0,0.13,7.110121726989746,1
13,1,0.13,2.5211453437805176,1
13,2,0.13,7.996190547943115,1
