altitude_m,gradient,force_x_N
0.01,0.3,1e-06
0.04,0.3,1.5e-05
0.07,0.3,4.5e-05
0.101,0.3,9.1e-05
0.131,0.3,0.000154
0.161,0.3,0.000233
0.191,0.3,0.000329
0.221,0.3,0.000441
0.252,0.3,0.00057
0.282,0.3,0.000715
0.312,0.3,0.000876
0.342,0.3,0.001054
0.372,0.3,0.001248
0.403,0.3,0.001459
0.433,0.3,0.001686
0.463,0.3,0.00193
0.493,0.3,0.00219
0.523,0.3,0.002466
0.554,0.3,0.002759
0.584,0.3,0.003068
0.614,0.3,0.003393
0.644,0.3,0.003735
0.674,0.3,0.004094
0.705,0.3,0.004469
0.735,0.3,0.00486
0.765,0.3,0.005268
0.795,0.3,0.005692
0.825,0.3,0.006132
0.856,0.3,0.006589
0.886,0.3,0.007063
0.916,0.3,0.007553
0.946,0.3,0.008059
0.976,0.3,0.008581
1.007,0.3,0.00912
1.037,0.3,0.009676
1.067,0.3,0.010248
1.097,0.3,0.010836
1.127,0.3,0.011441
1.158,0.3,0.012062
1.188,0.3,0.0127
1.218,0.3,0.013353
1.248,0.3,0.014024
1.278,0.3,0.014711
1.309,0.3,0.015414
1.339,0.3,0.016134
1.369,0.3,0.01687
1.399,0.3,0.017622
1.429,0.3,0.018391
1.46,0.3,0.019176
1.49,0.3,0.019978
1.52,0.3,0.020796
1.55,0.3,0.021631
1.581,0.3,0.022482
1.611,0.3,0.023349
1.641,0.3,0.024233
1.671,0.3,0.025134
1.701,0.3,0.02605
1.732,0.3,0.026983
1.762,0.3,0.027933
1.792,0.3,0.028899
1.822,0.3,0.029881
1.852,0.3,0.03088
1.883,0.3,0.031895
1.913,0.3,0.032927
1.943,0.3,0.033975
1.973,0.3,0.035039
2.003,0.3,0.03612
2.034,0.3,0.037217
2.064,0.3,0.038331
2.094,0.3,0.039461
2.124,0.3,0.040608
2.154,0.3,0.041771
2.185,0.3,0.04295
2.215,0.3,0.044146
2.245,0.3,0.045358
2.275,0.3,0.046587
2.305,0.3,0.047832
2.336,0.3,0.049093
2.366,0.3,0.050371
2.396,0.3,0.051666
2.426,0.3,0.052976
2.456,0.3,0.054304
2.487,0.3,0.055647
2.517,0.3,0.057007
2.547,0.3,0.058384
2.577,0.3,0.059776
2.607,0.3,0.061186
2.638,0.3,0.062611
2.668,0.3,0.064053
2.698,0.3,0.065512
2.728,0.3,0.066987
2.758,0.3,0.068478
2.789,0.3,0.069986
2.819,0.3,0.07151
2.849,0.3,0.073051
2.879,0.3,0.074608
2.909,0.3,0.076181
2.94,0.3,0.077771
2.97,0.3,0.079377
3.0,0.3,0.081
0.01,0.75,6e-06
0.04,0.75,9.1e-05
0.07,0.75,0.000279
0.101,0.75,0.000569
0.131,0.75,0.000962
0.161,0.75,0.001458
0.191,0.75,0.002057
0.221,0.75,0.002758
0.252,0.75,0.003561
0.282,0.75,0.004467
0.312,0.75,0.005476
0.342,0.75,0.006588
0.372,0.75,0.007802
0.403,0.75,0.009119
0.433,0.75,0.010538
0.463,0.75,0.01206
0.493,0.75,0.013684
0.523,0.75,0.015412
0.554,0.75,0.017241
0.584,0.75,0.019174
0.614,0.75,0.021209
0.644,0.75,0.023346
0.674,0.75,0.025587
0.705,0.75,0.02793
0.735,0.75,0.030375
0.765,0.75,0.032923
0.795,0.75,0.035574
0.825,0.75,0.038327
0.856,0.75,0.041183
0.886,0.75,0.044142
0.916,0.75,0.047203
0.946,0.75,0.050367
0.976,0.75,0.053633
1.007,0.75,0.057002
1.037,0.75,0.060474
1.067,0.75,0.064048
1.097,0.75,0.067725
1.127,0.75,0.071505
1.158,0.75,0.075387
1.188,0.75,0.079372
1.218,0.75,0.083459
1.248,0.75,0.087649
1.278,0.75,0.091942
1.309,0.75,0.096337
1.339,0.75,0.100835
1.369,0.75,0.105436
1.399,0.75,0.110139
1.429,0.75,0.114944
1.46,0.75,0.119853
1.49,0.75,0.124864
1.52,0.75,0.129977
1.55,0.75,0.135193
1.581,0.75,0.140512
1.611,0.75,0.145934
1.641,0.75,0.151458
1.671,0.75,0.157084
1.701,0.75,0.162814
1.732,0.75,0.168646
1.762,0.75,0.17458
1.792,0.75,0.180617
1.822,0.75,0.186757
1.852,0.75,0.192999
1.883,0.75,0.199344
1.913,0.75,0.205792
1.943,0.75,0.212342
1.973,0.75,0.218995
2.003,0.75,0.225751
2.034,0.75,0.232609
2.064,0.75,0.239569
2.094,0.75,0.246633
2.124,0.75,0.253799
2.154,0.75,0.261067
2.185,0.75,0.268438
2.215,0.75,0.275912
2.245,0.75,0.283489
2.275,0.75,0.291168
2.305,0.75,0.298949
2.336,0.75,0.306834
2.366,0.75,0.31482
2.396,0.75,0.32291
2.426,0.75,0.331102
2.456,0.75,0.339397
2.487,0.75,0.347794
2.517,0.75,0.356294
2.547,0.75,0.364897
2.577,0.75,0.373602
2.607,0.75,0.38241
2.638,0.75,0.39132
2.668,0.75,0.400333
2.698,0.75,0.409449
2.728,0.75,0.418667
2.758,0.75,0.427988
2.789,0.75,0.437412
2.819,0.75,0.446938
2.849,0.75,0.456567
2.879,0.75,0.466298
2.909,0.75,0.476132
2.94,0.75,0.486069
2.97,0.75,0.496108
3.0,0.75,0.50625
0.01,1.5,2.3e-05
0.04,1.5,0.000364
0.07,1.5,0.001115
0.101,1.5,0.002277
0.131,1.5,0.00385
0.161,1.5,0.005833
0.191,1.5,0.008226
0.221,1.5,0.01103
0.252,1.5,0.014245
0.282,1.5,0.01787
0.312,1.5,0.021905
0.342,1.5,0.026351
0.372,1.5,0.031207
0.403,1.5,0.036474
0.433,1.5,0.042152
0.463,1.5,0.048239
0.493,1.5,0.054738
0.523,1.5,0.061646
0.554,1.5,0.068965
0.584,1.5,0.076695
0.614,1.5,0.084835
0.644,1.5,0.093386
0.674,1.5,0.102347
0.705,1.5,0.111718
0.735,1.5,0.121501
0.765,1.5,0.131693
0.795,1.5,0.142296
0.825,1.5,0.153309
0.856,1.5,0.164733
0.886,1.5,0.176568
0.916,1.5,0.188813
0.946,1.5,0.201468
0.976,1.5,0.214534
1.007,1.5,0.22801
1.037,1.5,0.241897
1.067,1.5,0.256194
1.097,1.5,0.270902
1.127,1.5,0.28602
1.158,1.5,0.301549
1.188,1.5,0.317488
1.218,1.5,0.333837
1.248,1.5,0.350597
1.278,1.5,0.367768
1.309,1.5,0.385349
1.339,1.5,0.40334
1.369,1.5,0.421742
1.399,1.5,0.440555
1.429,1.5,0.459778
1.46,1.5,0.479411
1.49,1.5,0.499455
1.52,1.5,0.519909
1.55,1.5,0.540774
1.581,1.5,0.562049
1.611,1.5,0.583735
1.641,1.5,0.605831
1.671,1.5,0.628338
1.701,1.5,0.651255
1.732,1.5,0.674583
1.762,1.5,0.698321
1.792,1.5,0.722469
1.822,1.5,0.747028
1.852,1.5,0.771998
1.883,1.5,0.797378
1.913,1.5,0.823168
1.943,1.5,0.849369
1.973,1.5,0.875981
2.003,1.5,0.903003
2.034,1.5,0.930435
2.064,1.5,0.958278
2.094,1.5,0.986531
2.124,1.5,1.015195
2.154,1.5,1.044269
2.185,1.5,1.073754
2.215,1.5,1.103649
2.245,1.5,1.133955
2.275,1.5,1.164671
2.305,1.5,1.195797
2.336,1.5,1.227334
2.366,1.5,1.259282
2.396,1.5,1.29164
2.426,1.5,1.324408
2.456,1.5,1.357588
2.487,1.5,1.391177
2.517,1.5,1.425177
2.547,1.5,1.459587
2.577,1.5,1.494408
2.607,1.5,1.529639
2.638,1.5,1.565281
2.668,1.5,1.601333
2.698,1.5,1.637796
2.728,1.5,1.67467
2.758,1.5,1.711953
2.789,1.5,1.749648
2.819,1.5,1.787752
2.849,1.5,1.826268
2.879,1.5,1.865193
2.909,1.5,1.904529
2.94,1.5,1.944275
2.97,1.5,1.984433
3.0,1.5,2.025
