n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001576762500917539,0.00029166749998694286,84.97871417998442
1,1,0.00015439582988619805,0.0002871887499350123,86.00810018424278
1,2,0.00016326208016835154,0.00029715542012127117,82.01129117971078
1,3,0.00015933125017909334,0.00028586790984263643,79.41735191389756
1,4,0.00016198166995309293,0.00030395790992770343,87.64957171741985
4,0,0.00016040332993725315,0.00029217750008683654,82.1517671741173
4,1,0.00016031625011237339,0.0002938087499933317,83.26822751117682
4,2,0.0001557033398421481,0.00029336667008465154,88.41385829107222
4,3,0.00015833874989766626,0.0002969795899116434,87.55964039351088
4,4,0.0001607012501335703,0.0002987887500785291,85.92808072755155
16,0,0.00017350333015201614,0.0003249358298489824,87.27930441697437
16,1,0.00016779750003479422,0.0003103708301205188,84.96749358969043
16,2,0.00017503833019873129,0.00031164625019300727,78.04457448787187
16,3,0.00017710457992507146,0.0003079358401009813,73.87231896050419
16,4,0.0001732300000730902,0.0003147250000620261,81.68042482782167
64,0,0.00022952958010137082,0.00036100124998483807,57.278748048684314
64,1,0.0002151750001939945,0.0003481512499274686,61.799116818211786
64,2,0.0002250458300113678,0.00035193666990380735,56.384443953496
64,3,0.0002260062500135973,0.0003525629200157709,55.996977957273096
64,4,0.00022111958998721092,0.0003624379201210104,63.91036187339756
128,0,0.0002726274999440648,0.00040605541988043115,48.94147507633746
128,1,0.0002686724998056889,0.00041292792011518034,53.69191875380652
128,2,0.00027476624993141743,0.0004071074997773394,48.16503114154478
128,3,0.0002725474999169819,0.00040826500015100464,49.79590723648626
128,4,0.00027333792007993907,0.00040825167001457886,49.357860737062595
