step,env_id,cutoff_hz,input_action,output_action
0,0,2.0,0.0,0.0
0,1,5.0,0.0,0.0
0,2,10.0,0.0,0.0
0,3,20.0,0.0,0.0
1,0,2.0,0.0,0.0
1,1,5.0,0.0,0.0
1,2,10.0,0.0,0.0
1,3,20.0,0.0,0.0
2,0,2.0,0.0,0.0
2,1,5.0,0.0,0.0
2,2,10.0,0.0,0.0
2,3,20.0,0.0,0.0
3,0,2.0,0.0,0.0
3,1,5.0,0.0,0.0
3,2,10.0,0.0,0.0
3,3,20.0,0.0,0.0
4,0,2.0,0.0,0.0
4,1,5.0,0.0,0.0
4,2,10.0,0.0,0.0
4,3,20.0,0.0,0.0
5,0,2.0,0.0,0.0
5,1,5.0,0.0,0.0
5,2,10.0,0.0,0.0
5,3,20.0,0.0,0.0
6,0,2.0,0.0,0.0
6,1,5.0,0.0,0.0
6,2,10.0,0.0,0.0
6,3,20.0,0.0,0.0
7,0,2.0,0.0,0.0
7,1,5.0,0.0,0.0
7,2,10.0,0.0,0.0
7,3,20.0,0.0,0.0
8,0,2.0,0.0,0.0
8,1,5.0,0.0,0.0
8,2,10.0,0.0,0.0
8,3,20.0,0.0,0.0
9,0,2.0,0.0,0.0
9,1,5.0,0.0,0.0
9,2,10.0,0.0,0.0
9,3,20.0,0.0,0.0
10,0,2.0,0.0,0.0
10,1,5.0,0.0,0.0
10,2,10.0,0.0,0.0
10,3,20.0,0.0,0.0
11,0,2.0,0.0,0.0
11,1,5.0,0.0,0.0
11,2,10.0,0.0,0.0
11,3,20.0,0.0,0.0
12,0,2.0,0.0,0.0
12,1,5.0,0.0,0.0
12,2,10.0,0.0,0.0
12,3,20.0,0.0,0.0
13,0,2.0,0.0,0.0
13,1,5.0,0.0,0.0
13,2,10.0,0.0,0.0
13,3,20.0,0.0,0.0
14,0,2.0,0.0,0.0
14,1,5.0,0.0,0.0
14,2,10.0,0.0,0.0
14,3,20.0,0.0,0.0
15,0,2.0,0.0,0.0
15,1,5.0,0.0,0.0
15,2,10.0,0.0,0.0
15,3,20.0,0.0,0.0
16,0,2.0,0.0,0.0
16,1,5.0,0.0,0.0
16,2,10.0,0.0,0.0
16,3,20.0,0.0,0.0
17,0,2.0,0.0,0.0
17,1,5.0,0.0,0.0
17,2,10.0,0.0,0.0
17,3,20.0,0.0,0.0
18,0,2.0,0.0,0.0
18,1,5.0,0.0,0.0
18,2,10.0,0.0,0.0
18,3,20.0,0.0,0.0
19,0,2.0,0.0,0.0
19,1,5.0,0.0,0.0
19,2,10.0,0.0,0.0
19,3,20.0,0.0,0.0
20,0,2.0,0.0,0.0
20,1,5.0,0.0,0.0
20,2,10.0,0.0,0.0
20,3,20.0,0.0,0.0
21,0,2.0,0.0,0.0
