n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001662574999500066,0.0002754991699475795,65.70631101178697
1,1,0.00016308457998093218,0.00028494750004028904,74.72375381756207
1,2,0.00017117541981860994,0.0002776208400609903,62.18499148719936
1,3,0.00015995541005395353,0.0002883520899922587,80.27029526228371
1,4,0.00015896083001280204,0.0002887208299944177,81.63017264766758
4,0,0.0001738649999606423,0.0002815125000779517,61.91441643900581
4,1,0.00017145999998319895,0.00027740874997107313,61.792108945675906
4,2,0.00017872791999252514,0.0002906370800337754,62.61425749593605
4,3,0.0001708312501432374,0.000290953750081826,70.31646717908411
4,4,0.00017291625001234935,0.00028273207979509604,63.50810278091495
16,0,0.0001785583302262239,0.00029755875002592804,66.6451235565078
16,1,0.00017907708999700844,0.00031424999993760137,75.4830838176179
16,2,0.00018016334011917935,0.00030761542002437635,70.74251610837507
16,3,0.00018351458013057709,0.00029532999993534757,60.92999244267669
16,4,0.00017986708000535144,0.00029812458000378684,65.74716173460811
64,0,0.00023137915995903314,0.0003536595799960196,52.848502025263144
64,1,0.00021573250007349997,0.00036180625000270083,67.71059060615976
64,2,0.00021855541999684646,0.0003651175001868978,67.05945805057868
64,3,0.00023042207991238683,0.0003869774998747744,67.9428898575668
64,4,0.00023195707995910198,0.00037668792007025334,62.395525989838255
128,0,0.0002940249998937361,0.0004234325001016259,44.01241399699315
128,1,0.0002928250000695698,0.0004105641599744558,40.2080286440411
128,2,0.00028442832990549505,0.0004247766698244959,49.344008722912164
128,3,0.00029327208991162477,0.000415987909946125,41.84367495436735
128,4,0.0002890429098624736,0.00041424459021072835,43.315949319713674
