n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001662574999500066,0.00017793750012060628,7.025247086063382
1,1,0.00016308457998093218,0.00017002624983433634,4.256484490572795
1,2,0.00017117541981860994,0.00016561791009735315,-3.2466750933901256
1,3,0.00015995541005395353,0.00016576958994846792,3.6348754271913926
1,4,0.00015896083001280204,0.00016644291987176984,4.70687644142599
4,0,0.0001738649999606423,0.00017611874995054677,1.2962643375116536
4,1,0.00017145999998319895,0.00017284417001064867,0.8072845139305679
4,2,0.00017872791999252514,0.00017059334000805394,-4.551376183872902
4,3,0.0001708312501432374,0.0001654533398686908,-3.1480834273807377
4,4,0.00017291625001234935,0.0001766554100322537,2.1624110051179803
16,0,0.0001785583302262239,0.00018631624989211558,4.3447537037688475
16,1,0.00017907708999700844,0.00017800292000174522,-0.5998366375515533
16,2,0.00018016334011917935,0.0001787845799117349,-0.7652834403116595
16,3,0.00018351458013057709,0.0001815250000800006,-1.084153667333041
16,4,0.00017986708000535144,0.00018362624978180976,2.089970980985777
64,0,0.00023137915995903314,0.00021987417014315724,-4.972353524800123
64,1,0.00021573250007349997,0.00022453124984167516,4.07854623905877
64,2,0.00021855541999684646,0.00023624208988621832,8.092533184318677
64,3,0.00023042207991238683,0.00023011624987702816,-0.1327260110988319
64,4,0.00023195707995910198,0.00022244916006457062,-4.098999649507473
128,0,0.0002940249998937361,0.0002930070902220905,-0.34619834096198554
128,1,0.0002928250000695698,0.00029527834005421027,0.8378178038274011
128,2,0.00028442832990549505,0.0003077083398238756,8.184842180142756
128,3,0.00029327208991162477,0.0002913624999928288,-0.6511325095311341
128,4,0.0002890429098624736,0.0002917975001037121,0.9530039130000133
