lag_steps,lag_s,autocorr
0,0.0,1.0
1,0.01,0.9821669608354568
2,0.02,0.9643582850694656
3,0.03,0.9467095136642456
4,0.04,0.9299025535583496
5,0.05,0.913325771689415
6,0.06,0.8976172208786011
7,0.07,0.8819720447063446
8,0.08,0.866692066192627
9,0.09,0.8515876233577728
10,0.1,0.8374678939580917
11,0.11,0.8238429129123688
12,0.12,0.8102836906909943
13,0.13,0.7962517589330673
14,0.14,0.7824804484844208
15,0.15,0.7692745625972748
16,0.16,0.7552683353424072
17,0.17,0.7418331652879715
18,0.18,0.7281917631626129
19,0.19,0.7145159393548965
20,0.2,0.7013951987028122
21,0.21,0.6894798278808594
22,0.22,0.6778627038002014
23,0.23,0.667037695646286
24,0.24,0.6567833125591278
25,0.25,0.6462642699480057
26,0.26,0.6360927373170853
27,0.27,0.6264867931604385
28,0.28,0.6166195273399353
29,0.29,0.6069974899291992
30,0.3,0.597529262304306
31,0.31,0.588920533657074
32,0.32,0.5806120187044144
33,0.33,0.572531133890152
34,0.34,0.5645339414477348
35,0.35000000000000003,0.5570201799273491
36,0.36,0.5495079159736633
37,0.37,0.5429853796958923
38,0.38,0.5358743518590927
39,0.39,0.5292489975690842
40,0.4,0.5221307799220085
41,0.41000000000000003,0.5151694938540459
42,0.42,0.5076060518622398
43,0.43,0.49975617974996567
44,0.44,0.49303366988897324
45,0.45,0.4860871657729149
46,0.46,0.47958801686763763
47,0.47000000000000003,0.4729580730199814
48,0.48,0.4664490669965744
49,0.49,0.45939022302627563
50,0.5,0.45148440450429916
51,0.51,0.44310684502124786
52,0.52,0.43519479036331177
53,0.53,0.42722316086292267
54,0.54,0.41945428401231766
55,0.55,0.41165685653686523
56,0.56,0.40426604449748993
57,0.5700000000000001,0.39731263369321823
58,0.58,0.39029622822999954
59,0.59,0.3832356780767441
60,0.6,0.37660567462444305
61,0.61,0.3707007020711899
62,0.62,0.36457500234246254
63,0.63,0.3593370020389557
64,0.64,0.35423536971211433
65,0.65,0.348778422921896
66,0.66,0.3432520516216755
67,0.67,0.33789268881082535
68,0.68,0.3324820399284363
69,0.6900000000000001,0.32708989828824997
70,0.7000000000000001,0.32182133197784424
71,0.71,0.31687336415052414
72,0.72,0.31124281138181686
73,0.73,0.3055843338370323
74,0.74,0.29959920421242714
75,0.75,0.2932900972664356
76,0.76,0.2864901013672352
77,0.77,0.2796448618173599
78,0.78,0.2725491486489773
79,0.79,0.26605770364403725
80,0.8,0.25954025611281395
81,0.81,0.2524630017578602
82,0.8200000000000001,0.24567962437868118
83,0.8300000000000001,0.23836666159331799
84,0.84,0.23127294331789017
85,0.85,0.2241279687732458
86,0.86,0.21703533828258514
87,0.87,0.209872180595994
88,0.88,0.2028299681842327
89,0.89,0.19517270475625992
90,0.9,0.1875397153198719
91,0.91,0.18006492778658867
92,0.92,0.1731961853802204
93,0.93,0.16614551097154617
94,0.9400000000000001,0.15951871685683727
95,0.9500000000000001,0.1533044371753931
96,0.96,0.14752021804451942
97,0.97,0.14266219548881054
98,0.98,0.13764741085469723
99,0.99,0.13289364986121655
100,1.0,0.1282343277707696
101,1.01,0.12358936201781034
102,1.02,0.11933372728526592
103,1.03,0.1157278954051435
104,1.04,0.11145811714231968
105,1.05,0.10772614157758653
106,1.06,0.10386580880731344
107,1.07,0.09988360467832536
108,1.08,0.09654662093817024
109,1.09,0.09429874952184036
110,1.1,0.0917012735735625
111,1.11,0.08893015678040683
112,1.12,0.08639765530824661
113,1.1300000000000001,0.08433062396943569
114,1.1400000000000001,0.08213763777166605
115,1.1500000000000001,0.08024973282590508
116,1.16,0.07836616085842252
117,1.17,0.07659029914066195
118,1.18,0.07493522064760327
119,1.19,0.07394572673365474
120,1.2,0.07255369983613491
121,1.21,0.07036964036524296
122,1.22,0.06849527067970484
123,1.23,0.06692654162179679
124,1.24,0.06611630273982882
125,1.25,0.06535948463715613
126,1.26,0.06519202864728868
127,1.27,0.06471517099998891
128,1.28,0.06391058349981904
129,1.29,0.0626278929412365
130,1.3,0.060937948524951935
131,1.31,0.058959418442100286
132,1.32,0.057641098392196
133,1.33,0.055954973795451224
134,1.34,0.054816729738377035
135,1.35,0.053572295466437936
136,1.36,0.05239032150711864
137,1.37,0.05068396497517824
138,1.3800000000000001,0.0487992987036705
139,1.3900000000000001,0.04666184668894857
140,1.4000000000000001,0.044786071171984076
141,1.41,0.04266252159141004
142,1.42,0.04070804303046316
143,1.43,0.03887743962695822
144,1.44,0.03754494833992794
145,1.45,0.035943758848588914
146,1.46,0.034633426112122834
147,1.47,0.03348575596464798
148,1.48,0.03147856451687403
149,1.49,0.029942871537059546
150,1.5,0.028108548067393713
151,1.51,0.026656744332285598
152,1.52,0.023875631541159237
153,1.53,0.021196715795667842
154,1.54,0.01830419449834153
155,1.55,0.015825981623493135
156,1.56,0.01371300918981433
157,1.57,0.011838674312457442
158,1.58,0.00993827567435801
159,1.59,0.007847557542845607
160,1.6,0.006262250244617462
161,1.61,0.00504783377982676
162,1.62,0.004192071733996272
163,1.6300000000000001,0.003213377669453621
164,1.6400000000000001,0.001979712164029479
165,1.6500000000000001,0.0007100810762494802
166,1.6600000000000001,-0.000781866954639554
167,1.67,-0.0015160776674747467
168,1.68,-0.0018474770477041602
169,1.69,-0.002032849006354809
170,1.7,-0.0026714089326560497
171,1.71,-0.002723720608628355
172,1.72,-0.0026152628124691546
173,1.73,-0.002226974698714912
174,1.74,-0.0023803174262866378
175,1.75,-0.002510928432457149
176,1.76,-0.003213351941667497
177,1.77,-0.0041770931566134095
178,1.78,-0.005362533498555422
179,1.79,-0.0069198759738355875
180,1.8,-0.009241185180144385
181,1.81,-0.011749950936064124
182,1.82,-0.013424879929516464
183,1.83,-0.014761684578843415
184,1.84,-0.015922739636152983
185,1.85,-0.01692001591436565
186,1.86,-0.017969352658838034
187,1.87,-0.01930113136768341
188,1.8800000000000001,-0.01984110870398581
189,1.8900000000000001,-0.0200270670466125
190,1.9000000000000001,-0.01960412273183465
191,1.9100000000000001,-0.01929498161189258
192,1.92,-0.019365656655281782
193,1.93,-0.018840451957657933
194,1.94,-0.018849025713279843
195,1.95,-0.018851947272196412
196,1.96,-0.018604876822791994
197,1.97,-0.018087773234583437
198,1.98,-0.017973003443330526
199,1.99,-0.01784414373105392
200,2.0,-0.01741605540155433
201,2.0100000000000002,-0.016655605533742346
202,2.02,-0.016470610979013145
203,2.0300000000000002,-0.01582921575754881
204,2.04,-0.015027209010440856
205,2.05,-0.013878552708774805
206,2.06,-0.012388767776428722
207,2.07,-0.010803338373079896
208,2.08,-0.009218396386131644
209,2.09,-0.007528684422140941
210,2.1,-0.005726963543565944
211,2.11,-0.004014627600554377
212,2.12,-0.002227832672360819
213,2.13,-0.000716396578354761
214,2.14,0.0012714769691228867
215,2.15,0.003347629972267896
216,2.16,0.0053781591122969985
217,2.17,0.0073434567311778665
218,2.18,0.009180368389934301
219,2.19,0.010919993044808507
220,2.2,0.012543430784717202
221,2.21,0.014146812725812197
222,2.22,0.01605316810309887
223,2.23,0.018315520137548447
224,2.24,0.020075393840670586
225,2.25,0.022371138446033
226,2.2600000000000002,0.02374580316245556
227,2.27,0.024558041244745255
228,2.2800000000000002,0.024860834702849388
229,2.29,0.02495390735566616
230,2.3000000000000003,0.024960093200206757
231,2.31,0.024550285190343857
232,2.32,0.023852386511862278
233,2.33,0.02301714662462473
234,2.34,0.022297292947769165
235,2.35,0.02203947864472866
236,2.36,0.022306182887405157
237,2.37,0.02270332258194685
238,2.38,0.022708035074174404
239,2.39,0.022999852895736694
240,2.4,0.023599196691066027
241,2.41,0.024319780059158802
242,2.42,0.024731699377298355
243,2.43,0.025103986263275146
244,2.44,0.025012277998030186
245,2.45,0.02448959182947874
246,2.46,0.023814011248759925
247,2.47,0.022878151095937937
248,2.48,0.022200687817530707
249,2.49,0.0220609400421381
250,2.5,0.02173808275256306
251,2.5100000000000002,0.021436703042127192
252,2.52,0.021636931400280446
253,2.5300000000000002,0.022196004169018124
254,2.54,0.02241131945629604
255,2.5500000000000003,0.022258665063418448
256,2.56,0.02192191337235272
257,2.57,0.021567217772826552
258,2.58,0.021301570115610957
259,2.59,0.02130394110281486
260,2.6,0.021170834777876735
261,2.61,0.020991267287172377
262,2.62,0.020422710804268718
263,2.63,0.020264791790395975
264,2.64,0.019642809871584177
265,2.65,0.01904930081218481
266,2.66,0.01853967411443591
267,2.67,0.01754114730283618
268,2.68,0.01613380527123809
269,2.69,0.01439293147996068
270,2.7,0.012338231783360243
271,2.71,0.010188940912485123
272,2.72,0.007592109963297844
273,2.73,0.0045897476375103
274,2.74,0.000422800425440073
275,2.75,-0.003421519882977009
276,2.7600000000000002,-0.007586736232042313
277,2.77,-0.011032432317733765
278,2.7800000000000002,-0.014647656120359898
279,2.79,-0.01754359109327197
280,2.8000000000000003,-0.020272256340831518
281,2.81,-0.02296003862284124
282,2.82,-0.02641737414523959
283,2.83,-0.02973744971677661
284,2.84,-0.03308035945519805
285,2.85,-0.03654104704037309
286,2.86,-0.040397777454927564
287,2.87,-0.04393457144033164
288,2.88,-0.047867989997030236
289,2.89,-0.052119155414402485
290,2.9,-0.05657016043551266
291,2.91,-0.060819189762696624
292,2.92,-0.06484319176524878
293,2.93,-0.06940250843763351
294,2.94,-0.0743192695081234
295,2.95,-0.07862117420881987
296,2.96,-0.08225676976144314
297,2.97,-0.08593128900974989
298,2.98,-0.08919785730540752
299,2.99,-0.09267025114968419
300,3.0,-0.09597020363435149
