step,env_id,time_s,wrench_magnitude
0,0,0.0,0.3367636203765869
0,1,0.0,0.47943389415740967
0,2,0.0,0.28115105628967285
0,3,0.0,0.33479437232017517
1,0,0.01,0.31550684571266174
1,1,0.01,0.2857273519039154
1,2,0.01,0.3894599974155426
1,3,0.01,0.2831327021121979
2,0,0.02,0.42144086956977844
2,1,0.02,0.5409343242645264
2,2,0.02,0.5308820009231567
2,3,0.02,0.4987717568874359
3,0,0.03,0.7500213384628296
3,1,0.03,0.4425584077835083
3,2,0.03,0.48586782813072205
3,3,0.03,0.4739204943180084
4,0,0.04,0.7279847860336304
4,1,0.04,0.6548569202423096
4,2,0.04,0.8004683256149292
4,3,0.04,0.43040475249290466
5,0,0.05,0.5597413778305054
5,1,0.05,0.6874440312385559
5,2,0.05,0.7553800940513611
5,3,0.05,0.5339717268943787
6,0,0.06,0.7034370303153992
6,1,0.06,1.1202188730239868
6,2,0.06,0.7615171670913696
6,3,0.06,0.2990342676639557
7,0,0.07,0.6237255930900574
7,1,0.07,1.3417645692825317
7,2,0.07,0.7401564121246338
7,3,0.07,0.4387359917163849
8,0,0.08,0.5076113343238831
8,1,0.08,1.5419416427612305
8,2,0.08,0.7050928473472595
8,3,0.08,0.6556981801986694
9,0,0.09,0.42385274171829224
9,1,0.09,1.1619817018508911
9,2,0.09,0.6071555614471436
9,3,0.09,0.5975976586341858
10,0,0.1,0.5954293012619019
10,1,0.1,1.3369102478027344
10,2,0.1,0.46326974034309387
10,3,0.1,0.7061333060264587
11,0,0.11,0.706019401550293
11,1,0.11,1.3193176984786987
11,2,0.11,0.1410127580165863
11,3,0.11,0.7967187166213989
12,0,0.12,0.90961092710495
12,1,0.12,1.204361915588379
12,2,0.12,0.5704770088195801
12,3,0.12,0.9163068532943726
13,0,0.13,0.9924809336662292
13,1,0.13,1.419771432876587
13,2,0.13,0.5545105338096619
13,3,0.13,0.9650859236717224
14,0,0.14,1.1548994779586792
14,1,0.14,1.2574546337127686
14,2,0.14,0.3095702826976776
14,3,0.14,1.1250964403152466
15,0,0.15,1.2135483026504517
15,1,0.15,1.1646387577056885
15,2,0.15,0.37599852681159973
15,3,0.15,1.1309306621551514
16,0,0.16,1.131659984588623
16,1,0.16,0.8757496476173401
16,2,0.16,0.41886788606643677
16,3,0.16,0.926689624786377
17,0,0.17,1.1630165576934814
17,1,0.17,1.1677639484405518
17,2,0.17,0.34012719988822937
17,3,0.17,1.1742342710494995
18,0,0.18,1.1800533533096313
18,1,0.18,1.111191749572754
18,2,0.18,0.39338868856430054
18,3,0.18,1.266139030456543
19,0,0.19,1.0076755285263062
19,1,0.19,1.1647111177444458
19,2,0.19,0.30691400170326233
19,3,0.19,1.1852983236312866
20,0,0.2,0.9345191717147827
20,1,0.2,1.2165911197662354
20,2,0.2,0.5105328559875488
20,3,0.2,1.1383646726608276
21,0,0.21,1.2604893445968628
21,1,0.21,1.4095052480697632
21,2,0.21,0.6898437738418579
21,3,0.21,0.9249257445335388
22,0,0.22,1.0084136724472046
22,1,0.22,1.273686408996582
22,2,0.22,0.43358314037323
22,3,0.22,0.8776803016662598
23,0,0.23,1.0973787307739258
23,1,0.23,1.3901606798171997
23,2,0.23,0.7180485725402832
23,3,0.23,1.1346701383590698
24,0,0.24,1.0975199937820435
24,1,0.24,1.2711101770401
24,2,0.24,0.760348379611969
24,3,0.24,1.273646593093872
25,0,0.25,0.9732658267021179
25,1,0.25,1.1558901071548462
25,2,0.25,0.7987871766090393
25,3,0.25,1.3063111305236816
26,0,0.26,0.9989066123962402
26,1,0.26,1.1808336973190308
