lag_steps,lag_s,autocorr
0,0.0,1.0
1,0.01,0.9821669608354568
2,0.02,0.9643583297729492
3,0.03,0.9467095285654068
4,0.04,0.9299025237560272
5,0.05,0.913325771689415
6,0.06,0.8976172655820847
7,0.07,0.8819720894098282
8,0.08,0.8666921257972717
9,0.09,0.8515876233577728
10,0.1,0.8374679088592529
11,0.11,0.8238429427146912
12,0.12,0.8102837055921555
13,0.13,0.7962517738342285
14,0.14,0.7824805080890656
15,0.15,0.769274577498436
16,0.16,0.7552683800458908
17,0.17,0.7418331950902939
18,0.18,0.7281918227672577
19,0.19,0.7145159691572189
20,0.2,0.7013952434062958
21,0.21,0.689479872584343
22,0.22,0.6778627634048462
23,0.23,0.6670377254486084
24,0.24,0.656783327460289
25,0.25,0.6462642997503281
26,0.26,0.6360927820205688
27,0.27,0.6264868527650833
28,0.28,0.6166195273399353
29,0.29,0.6069975048303604
30,0.3,0.5975292921066284
31,0.31,0.5889205485582352
32,0.32,0.5806120485067368
33,0.33,0.5725311785936356
34,0.34,0.5645339414477348
35,0.35000000000000003,0.5570202171802521
36,0.36,0.5495079010725021
37,0.37,0.5429853871464729
38,0.38,0.5358743816614151
39,0.39,0.5292490422725677
40,0.4,0.5221307799220085
41,0.41000000000000003,0.5151695162057877
42,0.42,0.5076061189174652
43,0.43,0.49975620955228806
44,0.44,0.4930337145924568
45,0.45,0.4860871583223343
46,0.46,0.47958802431821823
47,0.47000000000000003,0.47295810282230377
48,0.48,0.4664491042494774
49,0.49,0.4593902751803398
50,0.5,0.45148440450429916
51,0.51,0.44310685247182846
52,0.52,0.43519481271505356
53,0.53,0.42722320556640625
54,0.54,0.41945433616638184
55,0.55,0.4116568863391876
56,0.56,0.4042660892009735
57,0.5700000000000001,0.3973126634955406
58,0.58,0.3902962654829025
59,0.59,0.3832356929779053
60,0.6,0.37660569697618484
61,0.61,0.37070072442293167
62,0.62,0.36457500606775284
63,0.63,0.3593370243906975
64,0.64,0.3542353995144367
65,0.65,0.3487784303724766
66,0.66,0.3432520776987076
67,0.67,0.3378927409648895
68,0.68,0.33248207345604897
69,0.6900000000000001,0.32708991691470146
70,0.7000000000000001,0.3218213580548763
71,0.71,0.31687337532639503
72,0.72,0.31124281510710716
73,0.73,0.3055843561887741
74,0.74,0.2995992563664913
75,0.75,0.2932901158928871
76,0.76,0.28649014234542847
77,0.77,0.2796448953449726
78,0.78,0.27254917100071907
79,0.79,0.26605773717164993
80,0.8,0.25954027473926544
81,0.81,0.25246305763721466
82,0.8200000000000001,0.24567964673042297
83,0.8300000000000001,0.23836668767035007
84,0.84,0.2312729638069868
85,0.85,0.2241279799491167
86,0.86,0.21703539229929447
87,0.87,0.20987221971154213
88,0.88,0.2028299756348133
89,0.89,0.195172730833292
90,0.9,0.18753975443542004
91,0.91,0.180064944550395
92,0.92,0.1731962114572525
93,0.93,0.16614553146064281
94,0.9400000000000001,0.1595187485218048
95,0.9500000000000001,0.15330448001623154
96,0.96,0.14752023480832577
97,0.97,0.14266222901642323
98,0.98,0.13764743506908417
99,0.99,0.13289367407560349
100,1.0,0.1282343501225114
101,1.01,0.12358939554542303
102,1.02,0.11933376081287861
103,1.03,0.11572792241349816
104,1.04,0.11145812459290028
105,1.05,0.10772616206668317
106,1.06,0.10386584093794227
107,1.07,0.09988363378215581
108,1.08,0.09654665302514331
109,1.09,0.09429877519141883
110,1.1,0.09170131641440094
111,1.11,0.0889302003197372
112,1.12,0.08639768743887544
113,1.1300000000000001,0.08433065842837095
114,1.1400000000000001,0.08213766664266586
115,1.1500000000000001,0.08024976379238069
116,1.16,0.07836617645807564
117,1.17,0.07659031823277473
118,1.18,0.07493526511825621
119,1.19,0.07394577516242862
120,1.2,0.07255372358486056
121,1.21,0.0703696507262066
122,1.22,0.06849529559258372
123,1.23,0.06692657782696187
124,1.24,0.06611631624400616
125,1.25,0.0653594967443496
126,1.26,0.06519205053336918
127,1.27,0.06471519358456135
128,1.28,0.06391059514135122
129,1.29,0.06262788688763976
130,1.3,0.060937970178201795
131,1.31,0.0589594233315438
132,1.32,0.0576411074725911
133,1.33,0.05595498811453581
134,1.34,0.054816732998006046
135,1.35,0.05357230547815561
136,1.36,0.05239031952805817
137,1.37,0.05068396346177906
138,1.3800000000000001,0.048799309064634144
139,1.3900000000000001,0.04666185309179127
140,1.4000000000000001,0.04478608362842351
141,1.41,0.042662512394599617
142,1.42,0.040708061889745295
143,1.43,0.03887745912652463
144,1.44,0.03754495404427871
145,1.45,0.0359437617007643
146,1.46,0.03463343164185062
147,1.47,0.03348576260032132
148,1.48,0.03147857094882056
149,1.49,0.029942862573079765
150,1.5,0.02810856231371872
151,1.51,0.02665675649768673
152,1.52,0.023875623319327133
153,1.53,0.021196700108703226
154,1.54,0.01830419572070241
155,1.55,0.01582598453387618
156,1.56,0.013713003369048238
157,1.57,0.011838675825856626
158,1.58,0.009938285918906331
159,1.59,0.00784756918437779
160,1.6,0.006262233247980475
161,1.61,0.005047820508480072
162,1.62,0.00419207289814949
163,1.6300000000000001,0.0032133786007761955
164,1.6400000000000001,0.0019796905107796192
165,1.6500000000000001,0.0007100729271769524
166,1.6600000000000001,-0.0007818771991878748
167,1.67,-0.0015160703333094716
168,1.68,-0.0018474932294338942
169,1.69,-0.002032855059951544
170,1.7,-0.00267139685456641
171,1.71,-0.0027237398317083716
172,1.72,-0.0026152743957936764
173,1.73,-0.0022269992623478174
174,1.74,-0.0023803244112059474
175,1.75,-0.00251093995757401
176,1.76,-0.0032133597414940596
177,1.77,-0.004177106893621385
178,1.78,-0.005362531403079629
179,1.79,-0.00691987993195653
180,1.8,-0.009241208026651293
181,1.81,-0.011749981320463121
182,1.82,-0.013424904085695744
183,1.83,-0.01476169319357723
184,1.84,-0.015922758379019797
185,1.85,-0.01692003826610744
186,1.86,-0.017969358479604125
187,1.87,-0.019301130436360836
188,1.8800000000000001,-0.01984112150967121
189,1.8900000000000001,-0.020027093589305878
190,1.9000000000000001,-0.01960414508357644
191,1.9100000000000001,-0.019294984405860305
192,1.92,-0.019365680404007435
193,1.93,-0.018840469187125564
194,1.94,-0.01884904340840876
195,1.95,-0.01885197637602687
196,1.96,-0.018604906741529703
197,1.97,-0.018087801872752607
198,1.98,-0.017973021953366697
199,1.99,-0.017844165035057813
200,2.0,-0.017416081333067268
201,2.0100000000000002,-0.01665563067945186
202,2.02,-0.01647061935364036
203,2.0300000000000002,-0.015829238516744226
204,2.04,-0.015027231362182647
205,2.05,-0.013878581143217161
206,2.06,-0.012388779869070277
207,2.07,-0.010803352110087872
208,2.08,-0.009218415128998458
209,2.09,-0.0075287054060027
210,2.1,-0.005726976494770497
211,2.11,-0.004014640493551269
212,2.12,-0.0022278576652752236
213,2.13,-0.000716433598427102
214,2.14,0.0012714643380604684
215,2.15,0.0033475965610705316
216,2.16,0.005378127912990749
217,2.17,0.0073434284422546625
218,2.18,0.009180357679724693
219,2.19,0.010919970227405429
220,2.2,0.012543393997475505
221,2.21,0.014146788278594613
222,2.22,0.016053144354373217
223,2.23,0.018315495923161507
224,2.24,0.020075375214219093
225,2.25,0.022371105384081602
226,2.2600000000000002,0.023745777551084757
227,2.27,0.024558023549616337
228,2.2800000000000002,0.024860809557139874
229,2.29,0.02495389338582754
230,2.3000000000000003,0.024960068985819817
231,2.31,0.02455027448013425
232,2.32,0.023852363228797913
233,2.33,0.023017128463834524
234,2.34,0.022297285497188568
235,2.35,0.022039463743567467
236,2.36,0.022306146565824747
237,2.37,0.022703303955495358
238,2.38,0.022708015516400337
239,2.39,0.022999830078333616
240,2.4,0.0235991682857275
241,2.41,0.024319765623658895
242,2.42,0.02473167609423399
243,2.43,0.025103972293436527
244,2.44,0.02501224842853844
245,2.45,0.024489569943398237
246,2.46,0.023813997977413237
247,2.47,0.02287811500718817
248,2.48,0.02220066887093708
249,2.49,0.022060920717194676
250,2.5,0.021738081937655807
251,2.5100000000000002,0.021436684648506343
252,2.52,0.021636905788909644
253,2.5300000000000002,0.022195978761374136
254,2.54,0.022411288635339588
255,2.5500000000000003,0.022258629323914647
256,2.56,0.021921887760981917
257,2.57,0.021567193092778325
258,2.58,0.0213015474146232
259,2.59,0.02130390649108449
260,2.6,0.021170790074393153
261,2.61,0.02099123690277338
262,2.62,0.020422689616680145
263,2.63,0.02026475570164621
264,2.64,0.019642766565084457
265,2.65,0.01904925052076578
266,2.66,0.0185396377928555
267,2.67,0.017541117034852505
268,2.68,0.016133753582835197
269,2.69,0.014392900746315718
270,2.7,0.012338182423263788
271,2.71,0.010188896209001541
272,2.72,0.007592062000185251
273,2.73,0.0045897033996880054
274,2.74,0.0004227589815855026
275,2.75,-0.0034215617924928665
276,2.7600000000000002,-0.0075867800042033195
277,2.77,-0.011032472364604473
278,2.7800000000000002,-0.014647695235908031
279,2.79,-0.017543643712997437
280,2.8000000000000003,-0.020272319205105305
281,2.81,-0.022960091708227992
282,2.82,-0.026417418383061886
283,2.83,-0.029737506760284305
284,2.84,-0.033080411376431584
285,2.85,-0.03654109640046954
286,2.86,-0.040397839387878776
287,2.87,-0.04393462388543412
288,2.88,-0.04786803941533435
289,2.89,-0.05211921990849078
290,2.9,-0.056570216082036495
291,2.91,-0.060819256119430065
292,2.92,-0.06484324671328068
293,2.93,-0.06940257363021374
294,2.94,-0.074319320730865
295,2.95,-0.07862123195081949
296,2.96,-0.08225682936608791
297,2.97,-0.08593135233968496
298,2.98,-0.08919792529195547
299,2.99,-0.09267031261697412
300,3.0,-0.09597025252878666
